GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
140513	nuclear protein-containing complex	"36 out of 161 genes, 22.4%"	"639 out of 6473 background genes, 9.9%"	0.0003	0.00%	NRI2:ELA1:HTA2:HAT1:RRP6:SPT20:UBA2:RPA190:MSH6:NUP49:RSC8:PRP39:POB3:PRP3:NSP1:TAF14:C2_04620W_A:C2_07200W_A:C2_08380C_A:C2_09160W_A:HOS2:C3_02260C_A:C3_03100C_A:HTB1:MBP1:NOP14:C4_01650C_A:RAD2:BDF1:C5_02900W_A:SDC1:C7_00910C_A:C7_01400C_A:C7_02510W_A:TAF10:MCM2	5669:812:32040:5654:30692:31011:42555:5732:5671:500:1990251:16021:35101:70210:19908:16592:786:31261:16514:1990468:5688:32301:46540:112:243:70692:35861:1990467:33100:71004:177:5674:31463:178:46695:5737:124:31298:5847:34967:5829:36437:5736:30907:16586:44613:932:70449:5635:44615:5685:5656:1990726:123:30688:5657:5643:5730:5634:5665:176:31510:71162:34399:48188
5634	nucleus	"61 out of 161 genes, 37.9%"	"1410 out of 6473 background genes, 21.8%"	0.00034	0.00%	CDC5:NRI2:C1_01860W_A:SUA71:ELA1:HTA2:HAT1:RRP6:SPT20:C1_05800C_A:UBA2:LYS143:HCM1:RPA190:MSH6:NUP49:RSC8:NDT80:PRP39:POB3:PRP3:NSP1:TAF14:C2_04620W_A:C2_05900W_A:C2_07200W_A:C2_08160C_A:C2_08380C_A:C2_09160W_A:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTB1:MBP1:SFP1:NOP14:C3_05160C_A:APN1:UBA1:C4_00800W_A:C4_01650C_A:RAD2:TUB4:BDF1:C5_02900W_A:SDC1:RBF1:FGR17:C7_00910C_A:C7_01400C_A:C7_02510W_A:HHO1:NRG1:REP1:TAF10:MCM2:CR_06450W_A:ASF1:TRM9:TRX1	5669:5654:30692:5732:5671:785:500:5816:70210:19908:786:31261:16514:1990023:1990468:5688:923:32153:243:44732:1903561:922:5874:33100:71004:5674:31463:46695:5737:31298:5847:34967:61497:5736:97431:932:61499:19005:70449:5635:1990726:71782:123:30688:31934:930:5665:30915:31510:71162:43332:97356:48188:43596:72687:812:32040:31021:31011:794:42555:97550:30874:16021:1990251:35101:30687:16592:228:61496:72686:32301:928:46540:112:70692:5935:35861:776:1990467:178:177:71957:62040:5824:124:5829:5758:36437:5739:5783:30907:16586:5822:44613:44615:5685:5656:5657:5819:5643:5637:5730:5634:32541:176:35974:90619:34399
785	chromatin	"15 out of 161 genes, 9.3%"	"150 out of 6473 background genes, 2.3%"	0.00072	0.00%	NRI2:HTA2:HHT21:RSC8:NDT80:POB3:TAF14:C2_04620W_A:HOS2:HTB1:CBF1:BDF1:C7_00910C_A:HHO1:CR_06450W_A	5669:785:70210:786:775:16514:1990468:33100:5674:5737:31298:34967:31934:89713:97356:812:31011:30874:35101:16592:228:35861:776:1990467:5829:36437:16586:5634:34399
5694	chromosome	"22 out of 161 genes, 13.7%"	"334 out of 6473 background genes, 5.2%"	0.00421	0.00%	CDC5:NRI2:HTA2:HHT21:RSC8:NDT80:POB3:TAF14:C2_04620W_A:C2_05900W_A:C2_08380C_A:C3_00380C_A:HOS2:HTB1:C4_00800W_A:C4_06020C_A:CBF1:BDF1:C7_00910C_A:HHO1:MCM2:CR_06450W_A	5669:785:5816:70210:786:775:31261:16514:1990023:1990468:44732:922:33100:5674:5737:31298:34967:97431:19005:31934:89713:30915:71162:97356:43596:72687:812:794:31011:42555:30874:35101:16592:228:72686:35861:5935:1990467:776:5829:36437:5739:16586:5656:5657:5819:5634:35974:34399:90619
5654	nucleoplasm	"16 out of 161 genes, 9.9%"	"199 out of 6473 background genes, 3.1%"	0.00559	0.00%	ELA1:HAT1:RRP6:SPT20:POB3:TAF14:C2_07200W_A:C2_08380C_A:HOS2:C3_02260C_A:C3_03100C_A:BDF1:C5_02900W_A:SDC1:TAF10:MCM2	5669:5654:5671:70210:19908:31261:16514:1990468:33100:5674:31463:46695:5737:31298:34967:70449:123:5665:71162:48188:812:31011:42555:1990251:16021:35101:16592:70692:35861:1990467:178:124:5829:5656:5657:5730:5634:176:34399
31981	nuclear lumen	"30 out of 161 genes, 18.6%"	"591 out of 6473 background genes, 9.1%"	0.01948	0.00%	CDC5:ELA1:HTA2:HAT1:RRP6:SPT20:RPA190:NDT80:POB3:NSP1:TAF14:C2_05900W_A:C2_07200W_A:C2_08380C_A:C2_09160W_A:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTB1:NOP14:C3_05160C_A:BDF1:C5_02900W_A:SDC1:C7_01400C_A:C7_02510W_A:TAF10:MCM2:CR_06450W_A	5669:5654:30692:5732:5671:785:500:5816:70210:19908:786:31261:16514:1990023:1990468:5688:44732:922:33100:5674:31463:46695:5737:31298:34967:5736:97431:932:19005:70449:1990726:123:30688:31934:5665:71162:97356:48188:43596:72687:812:32040:794:31011:42555:30874:1990251:16021:35101:30687:16592:228:72686:46540:70692:35861:5935:1990467:776:177:178:124:5829:44613:44615:5656:5657:5643:5819:5730:5634:176:35974:34399:90619
43226	organelle	"98 out of 161 genes, 60.9%"	"3010 out of 6473 background genes, 46.5%"	0.02647	0.00%	C1_00410C_A:TUF1:CDC5:NRI2:C1_01860W_A:SEC62:SUA71:ELA1:HTA2:HHT21:HAT1:RRP6:SPT20:C1_05800C_A:UBA2:LYS143:MLS1:HCM1:RPA190:C1_10690W_A:C1_11600W_A:MRF1:SRT1:RPL27A:IRA2:MSH6:NUP49:RSC8:NDT80:PRP39:POB3:PRP3:NSP1:TAF14:C2_04620W_A:C2_05480C_A:C2_05900W_A:C2_07200W_A:C2_08160C_A:C2_08380C_A:C2_09160W_A:C3_00380C_A:HOS2:PMC1:GEA2:C3_02260C_A:C3_03100C_A:HTB1:MBP1:SFP1:NOP14:PHB2:C3_05160C_A:RPS19A:APN1:UBA1:C4_00420C_A:C4_00800W_A:C4_01300W_A:C4_01650C_A:ERV29:RAD2:TUB4:C4_06020C_A:CBF1:C4_06810C_A:BDF1:INT1:C5_02900W_A:SDC1:MAE1:CHC1:RBF1:C6_03180C_A:FGR17:C7_00910C_A:C7_01400C_A:CRN1:HSP90:C7_02510W_A:ECM39:HHO1:C7_03980W_A:NRG1:REP1:PXA1:TMA19:TAF10:HEM1:MCM2:SPT14:CR_06450W_A:CR_06740W_A:ASF1:TRM9:ARP2:CHS2:TRX1	9986:5669:30692:31966:51286:5671:785:329:5816:5759:5621:70210:19908:1904423:775:31261:1990023:5688:923:32153:22625:243:22627:31463:46695:31298:5940:932:71595:19005:70449:5635:1990726:30688:31227:930:89713:137:43332:1400:97356:30176:72687:812:139:5789:31021:794:31011:42555:97550:30134:30874:35101:30687:228:61496:32301:112:5935:1990467:776:178:71957:62040:124:31207:5794:16586:5782:44613:44615:5685:5656:5819:16020:5637:5634:176:10494:5885:30139:110085:5654:5732:500:5886:786:16514:1990468:19898:71627:44732:1903561:922:71004:33100:5874:5674:72546:31307:5622:5737:34967:5847:142:61497:5777:97431:5736:30173:61499:30132:123:71782:5743:9277:30130:31934:5665:30428:31510:30915:71162:61645:48188:43596:32040:5769:5934:144:16021:1990251:5770:16592:72686:46540:928:5811:35861:70692:45009:177:30446:5824:5829:5758:1990819:36437:5739:5783:30907:30479:5822:5779:5657:5643:5730:32541:1411:35974:90619:34399
786	nucleosome	"4 out of 161 genes, 2.5%"	"12 out of 6473 background genes, 0.2%"	0.02826	0.00%	HTA2:HHT21:HTB1:HHO1	31298:5634:786:31934:35861
44815	DNA packaging complex	"4 out of 161 genes, 2.5%"	"13 out of 6473 background genes, 0.2%"	0.04004	0.00%	HTA2:HHT21:HTB1:HHO1	31298:5634:786:31934:35861
43229	intracellular organelle	"94 out of 161 genes, 58.4%"	"2892 out of 6473 background genes, 44.7%"	0.05044	0.20%	C1_00410C_A:TUF1:CDC5:NRI2:C1_01860W_A:SEC62:SUA71:ELA1:HTA2:HHT21:HAT1:RRP6:SPT20:C1_05800C_A:UBA2:LYS143:MLS1:HCM1:RPA190:C1_10690W_A:C1_11600W_A:MRF1:SRT1:RPL27A:IRA2:MSH6:NUP49:RSC8:NDT80:PRP39:POB3:PRP3:NSP1:TAF14:C2_04620W_A:C2_05480C_A:C2_05900W_A:C2_07200W_A:C2_08160C_A:C2_08380C_A:C2_09160W_A:C3_00380C_A:HOS2:PMC1:GEA2:C3_02260C_A:C3_03100C_A:HTB1:MBP1:SFP1:NOP14:PHB2:C3_05160C_A:RPS19A:APN1:UBA1:C4_00420C_A:C4_00800W_A:C4_01300W_A:C4_01650C_A:RAD2:TUB4:C4_06020C_A:CBF1:C4_06810C_A:BDF1:INT1:C5_02900W_A:SDC1:MAE1:CHC1:RBF1:FGR17:C7_00910C_A:C7_01400C_A:CRN1:C7_02510W_A:ECM39:HHO1:C7_03980W_A:NRG1:REP1:PXA1:TMA19:TAF10:HEM1:MCM2:SPT14:CR_06450W_A:CR_06740W_A:ASF1:TRM9:ARP2:TRX1	9986:5669:30692:31966:51286:5671:785:329:5816:5759:5621:70210:19908:1904423:775:31261:1990023:5688:923:32153:22625:243:22627:31463:46695:31298:5940:932:71595:19005:70449:5635:1990726:30688:31227:930:89713:137:43332:1400:97356:30176:72687:812:139:5789:31021:794:31011:42555:97550:30134:30874:35101:30687:228:61496:32301:112:5935:1990467:776:178:71957:62040:124:31207:5794:16586:5782:44613:44615:5685:5656:5819:5637:5634:176:10494:5885:30139:110085:5654:5732:500:5886:786:16514:19898:1990468:71627:44732:1903561:922:5874:33100:71004:5674:72546:31307:5737:5622:5847:34967:142:61497:5777:5736:97431:30173:61499:30132:71782:123:5743:30130:31934:5665:30915:31510:71162:61645:48188:43596:32040:144:5934:1990251:16021:16592:72686:928:46540:5811:70692:35861:177:5824:5829:5758:1990819:36437:5783:5739:30907:30479:5822:5779:5657:5643:5730:32541:35974:34399:90619
