GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
22626	cytosolic ribosome	"19 out of 374 genes, 5.1%"	"85 out of 6473 background genes, 1.3%"	6.45E-05	0.00%	RPL16A:RPS21:RPL13:RPS1:RPS23A:C1_06890C_A:RPL29:RPL27A:RPL39:C2_05410W_A:RPL11:RPL18:RPL8B:YST1:RPL20B:UBI3:RPS13:C6_02230W_A:SIS1	5737:9986:5840:32040:16020:5634:22625:22627:10494:16021:5576:30446
43228	non-membrane-bounded organelle	"97 out of 374 genes, 25.9%"	"1065 out of 6473 background genes, 16.5%"	0.00027	0.00%	RPL16A:RPS21:RPB7:RSC2:TIF34:RPL13:RPS16A:RPS1:C1_03620C_A:ERB1:C1_04180W_A:CDC3:HHF1:CHL4:YBN5:RPS23A:C1_06890C_A:SUI2:C1_07340W_A:LHP1:ECO1:MRPL3:CCR4:C1_10130W_A:RPL29:GIN4:GAR1:RPL27A:TIF35:CKB1:RSC58:NRI1:ESC4:RPS26A:C2_02540W_A:RPL39:C2_04130W_A:C2_04790C_A:C2_04870C_A:MAK5:CDC15:C2_05160C_A:RPC40:RXT3:C2_05410W_A:IDP1:MAK16:SCP1:RPL11:RPN12:CDC47:C2_09540W_A:TIF11:RPS24:CSE4:CSC25:MAK21:RPL18:DYN1:RPL8B:YST1:RPL20B:C4_01780C_A:SAS10:ZUO1:TYS1:SPC34:BRN1:C4_06210C_A:NOP1:C4_06740C_A:PDA1:UBI3:C5_00320W_A:BUD23:C5_03370C_A:SFL2:NOP5:RPS13:SEC8:TRA1:C6_02230W_A:PSF3:RFC2:CR_01360W_A:CR_01950W_A:CR_04020C_A:SNP3:CR_05100W_A:SIS1:HHF22:HHT2:NOP10:CR_09490W_A:CR_09800C_A:SIK1:MCD1	5666:5763:5628:5956:9986:45254:942:42645:796:445:51286:5881:5967:5816:31261:775:5688:32153:5887:22625:779:22627:46695:16593:33698:31298:5940:5840:70823:36391:31511:8541:932:70545:32133:1990726:31389:1990904:34515:71958:30015:1400:30176:110115:1902716:5789:794:42555:71541:101031:5663:30874:30687:811:228:61496:31105:36436:5935:145:776:124:131:446:16586:5938:43614:34456:5656:71341:5819:31428:16020:5634:32168:10494:5576:31391:778:32160:43505:5654:110085:5619:5732:35361:5762:5886:16460:35267:15934:786:31429:5825:16282:44732:70209:5737:70390:31097:142:5777:5736:51233:5868:837:5729:31934:5665:42729:30428:5850:71162:43596:33290:33553:32040:839:30014:144:5934:16021:71540:5844:31390:120104:72686:61638:46540:5811:35861:5876:34990:818:30446:5829:1990819:36437:5739:30479:32151:235:5852:5730:1411:35974:34399:90619:30690:30286:781:97373
43232	intracellular non-membrane-bounded organelle	"97 out of 374 genes, 25.9%"	"1065 out of 6473 background genes, 16.5%"	0.00027	0.00%	RPL16A:RPS21:RPB7:RSC2:TIF34:RPL13:RPS16A:RPS1:C1_03620C_A:ERB1:C1_04180W_A:CDC3:HHF1:CHL4:YBN5:RPS23A:C1_06890C_A:SUI2:C1_07340W_A:LHP1:ECO1:MRPL3:CCR4:C1_10130W_A:RPL29:GIN4:GAR1:RPL27A:TIF35:CKB1:RSC58:NRI1:ESC4:RPS26A:C2_02540W_A:RPL39:C2_04130W_A:C2_04790C_A:C2_04870C_A:MAK5:CDC15:C2_05160C_A:RPC40:RXT3:C2_05410W_A:IDP1:MAK16:SCP1:RPL11:RPN12:CDC47:C2_09540W_A:TIF11:RPS24:CSE4:CSC25:MAK21:RPL18:DYN1:RPL8B:YST1:RPL20B:C4_01780C_A:SAS10:ZUO1:TYS1:SPC34:BRN1:C4_06210C_A:NOP1:C4_06740C_A:PDA1:UBI3:C5_00320W_A:BUD23:C5_03370C_A:SFL2:NOP5:RPS13:SEC8:TRA1:C6_02230W_A:PSF3:RFC2:CR_01360W_A:CR_01950W_A:CR_04020C_A:SNP3:CR_05100W_A:SIS1:HHF22:HHT2:NOP10:CR_09490W_A:CR_09800C_A:SIK1:MCD1	5666:5763:5628:5956:9986:45254:942:42645:796:445:51286:5881:5967:5816:31261:775:5688:32153:5887:22625:779:22627:46695:16593:33698:31298:5940:5840:70823:36391:31511:8541:932:70545:32133:1990726:31389:1990904:34515:71958:30015:1400:30176:110115:1902716:5789:794:42555:71541:101031:5663:30874:30687:811:228:61496:31105:36436:5935:145:776:124:131:446:16586:5938:43614:34456:5656:71341:5819:31428:16020:5634:32168:10494:5576:31391:778:43505:32160:110085:5654:5619:5732:35361:5762:16460:5886:35267:15934:31429:786:5825:16282:44732:70209:5737:70390:142:31097:5777:5736:51233:5868:837:5729:31934:42729:5665:30428:71162:5850:43596:33290:33553:839:32040:30014:5934:144:16021:71540:5844:31390:72686:120104:61638:46540:5811:35861:5876:34990:818:30446:5829:1990819:5739:36437:30479:32151:235:5852:5730:1411:35974:90619:34399:30286:30690:781:97373
1990904	ribonucleoprotein complex	"55 out of 374 genes, 14.7%"	"495 out of 6473 background genes, 7.6%"	0.00032	0.00%	RPL16A:RPS21:TIF34:RPL13:RPS1:ERB1:C1_04790W_A:RPS23A:C1_06890C_A:SUI2:LHP1:MRPL3:GCR3:C1_08660C_A:C1_10130W_A:RPL29:FGR16:GAR1:RPL27A:TIF35:CKB1:C2_02540W_A:RPL39:C2_04790C_A:C2_05160C_A:C2_05410W_A:C2_06300W_A:MAK16:RPL11:C2_09540W_A:TIF11:MAK21:RPL18:RPL8B:YST1:C3_07420W_A:MDN1:RPL20B:BFR1:SAS10:ZUO1:C4_06210C_A:NOP1:UBI3:NOP5:C6_00530C_A:RPS13:C6_02230W_A:C7_01030C_A:SUI3:SNP3:SIS1:NOP10:CR_09800C_A:SIK1	5763:5956:9986:5688:22625:243:22627:5840:932:70545:1990726:71014:30688:1990904:42175:71541:101031:30687:228:5686:5682:43614:34456:5685:31428:16020:5634:10494:5576:5654:5732:5762:15934:31429:16282:71004:5737:5850:33290:32040:16021:71540:5844:46540:30446:5783:5852:5730:5846:34399:30690
32991	protein-containing complex	"144 out of 374 genes, 38.5%"	"1808 out of 6473 background genes, 27.9%"	0.0009	0.40%	VPS53:RPL16A:RPS21:RPB7:C1_02300W_A:SNO1:RSC2:C1_02760W_A:TIF34:C1_02910C_A:RPL13:RPS1:ERB1:C1_04180W_A:CDC3:HHF1:CHL4:C1_04790W_A:SPT20:C1_05490C_A:GIM5:RPS23A:C1_06890C_A:SUI2:C1_07340W_A:LHP1:SMI1:MRPL3:CCR4:MED15:GCR3:CAF16:C1_08660C_A:SWI6:C1_10130W_A:RPL29:FGR16:GIN4:GAR1:RPL27A:NUP49:TIF35:CKB1:RSC58:BCY1:NRI1:ESC4:C2_02540W_A:PR26:NBN1:RPL39:C2_04130W_A:C2_04790C_A:C2_04870C_A:CRK1:C2_05160C_A:RPC40:RXT3:C2_05410W_A:YTH1:C2_06300W_A:MAK16:RPL11:RPN12:CDC47:C2_09310C_A:C2_09540W_A:GYP5:TIF11:CSE4:C3_01720C_A:APL5:C3_03310C_A:C3_03830W_A:MAK21:C3_04700W_A:RPL18:DYN1:RPL8B:YST1:CTA4:MNN9:C3_06440W_A:C3_07420W_A:C4_00330C_A:C4_00940W_A:MDN1:RPL20B:C4_01780C_A:BFR1:TIM13:SAS10:ZUO1:SPC34:C4_05230C_A:BRN1:C4_05820W_A:C4_06210C_A:SEC3:C4_06650W_A:NOP1:C4_06740C_A:PDA1:UBI3:RET2:C5_03370C_A:PFK1:C5_05230C_A:PRE1:NOP5:C6_00530C_A:RPS13:SEC8:TRA1:C6_02230W_A:C6_02310W_A:C6_03050C_A:PHO80:SNF4:GLE2:PSF3:RFC2:C7_01030C_A:LAT1:PFK2:PMT1:SUI3:CR_01360W_A:CR_01950W_A:VMA4:CR_04020C_A:SNP3:CR_05100W_A:SIS1:HHF22:HHT2:NOP10:CR_08430W_A:CDC23:CR_09490W_A:CR_09800C_A:BET2:SIK1:MCD1	5666:5763:5628:276:5956:9986:71819:45254:942:42645:407:796:445:51286:329:5881:5967:5816:5750:5759:31261:775:1903600:5688:5945:5887:32153:22625:243:779:22627:30123:30126:16593:46695:33698:30131:31298:44284:5940:5840:70823:36391:31511:19005:8541:932:70545:5635:32133:1990726:31389:71014:30688:5801:1990904:34515:30015:1990860:43332:1400:33588:43529:30176:42175:110115:1902716:5789:794:42555:71541:101031:5663:30874:30687:811:228:61496:42719:31105:36436:5935:145:776:5686:124:5768:131:446:307:1990316:5794:30905:16586:5682:5938:44613:43614:34456:5685:5656:71341:5680:159:5819:31428:16020:5634:61617:32168:10494:5576:31391:97583:5838:778:70772:43505:32160:110085:5654:31965:5619:30956:5732:35361:5762:16460:5886:35267:15934:31429:786:5825:16282:97582:5952:70209:5641:1990221:71004:938:5737:5847:70390:142:31097:8540:5736:51233:5868:837:32777:221:31588:5729:31934:42729:5798:5665:30428:31314:31080:71162:5850:306:120095:33290:33553:839:32040:30904:136:30014:44614:5934:144:16021:71540:5844:31390:120104:61638:46540:5811:35861:5876:34990:5968:818:30446:5829:5758:33309:5783:5739:36437:30907:89716:97344:32151:235:5852:19774:35657:5643:5730:16272:1411:12505:35974:5846:90619:34399:30286:30690:781:70847:97373
5840	ribosome	"28 out of 374 genes, 7.5%"	"193 out of 6473 background genes, 3.0%"	0.00132	0.33%	RPL16A:RPS21:RPL13:RPS16A:RPS1:C1_03620C_A:RPS23A:C1_06890C_A:MRPL3:RPL29:RPL27A:RPS26A:RPL39:C2_04790C_A:C2_05160C_A:C2_05410W_A:RPL11:RPS24:RPL18:RPL8B:YST1:RPL20B:ZUO1:UBI3:C5_00320W_A:RPS13:C6_02230W_A:SIS1	5763:9986:22625:22627:5840:101031:30687:16020:5634:10494:5576:5762:15934:5737:32040:16021:5844:30446:5730
22625	cytosolic large ribosomal subunit	"12 out of 374 genes, 3.2%"	"50 out of 6473 background genes, 0.8%"	0.00519	0.29%	RPL16A:RPL13:C1_06890C_A:RPL29:RPL27A:RPL39:C2_05410W_A:RPL11:RPL18:RPL8B:RPL20B:C6_02230W_A	9986:22625:16020:5737:32040
44815	DNA packaging complex	"6 out of 374 genes, 1.6%"	"13 out of 6473 background genes, 0.2%"	0.01183	0.25%	C1_04180W_A:HHF1:CSE4:BRN1:HHF22:HHT2	796:775:31298:776:5634:43505:786:5737:5729:31934:33553:61638
70993	translation preinitiation complex	"6 out of 374 genes, 1.6%"	"15 out of 6473 background genes, 0.2%"	0.03125	0.22%	TIF34:SUI2:TIF35:TIF11:C3_07420W_A:SUI3	71541:43614:10494:16282:5737:5850:33290:71540:5852:34399
44391	ribosomal subunit	"22 out of 374 genes, 5.9%"	"163 out of 6473 background genes, 2.5%"	0.04206	0.20%	RPL16A:RPS21:RPL13:RPS1:RPS23A:C1_06890C_A:MRPL3:RPL29:RPL27A:RPL39:C2_04790C_A:C2_05160C_A:C2_05410W_A:RPL11:RPL18:RPL8B:YST1:RPL20B:UBI3:RPS13:C6_02230W_A:SIS1	5763:9986:22625:22627:5840:101031:30687:16020:5634:10494:5576:5762:15934:5737:32040:16021:30446
