GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
5933	cellular bud	"87 out of 1614 genes, 5.4%"	"153 out of 6473 background genes, 2.4%"	8.51E-15	0.00%	KEL1:BNI4:TUS1:RGD1:SOG2:IST2:C1_07590C_A:SMI1:BUD6:C1_08540C_A:SWE1:CLA4:CBK1:PEA2:GIN4:CTA3:KIP4:MSO1:SPA2:BNI1:SEC2:KAR9:AMN1:ROM2:KIC1:C2_05040C_A:CDC15:BUD14:C2_05580W_A:RTS1:DBF2:LTE1:VRP1:C2_08020C_A:ASH1:C3_00790W_A:CAS4:RAX1:C3_05420W_A:YCK2:CHS4:PBS2:C3_06610W_A:C4_00420C_A:BEM1:RGA2:BEM3:AXL2:C4_04240C_A:PHR1:ZDS1:MYO5:C4_06130W_A:SEC3:BUD2:C5_00760W_A:SNF1:MYO1:INT1:HSL1:C5_03170C_A:C5_03960W_A:GRR1:C6_00260W_A:C6_02090C_A:HRR25:WSC2:SHE3:RVS167:C6_04100W_A:CSA1:C7_00410C_A:BEM2:IQG1:EXO70:SEC1:C7_03480W_A:BNR1:KIN2:LRG1:BOI2:RSR1:INN1:BUD5:AXL1:WAL1:CHT3	778:5628:9986:110085:31965:44853:30122:407:46658:32154:120155:324:30133:51286:1990528:329:5881:30427:5816:16460:5621:5886:35839:775:35838:35841:5887:32153:44732:1903561:5641:31560:44697:33698:5622:5737:5940:142:31097:5777:1990615:31561:31562:19005:5884:5635:31521:133:935:30688:31588:9277:5933:930:32177:5937:30428:71958:31201:43332:61645:90726:1400:45121:30176:110115:1902716:35842:33551:5774:144:5934:16021:70250:5875:120105:5770:228:120104:72686:5935:98753:145:776:30445:30446:51285:1990873:131:5829:71561:34973:5783:32178:45160:5794:5938:30479:33101:71944:71341:159:16020:5730:70319:5634:32541:140224:1411:12505:32168:35974:10494:5576:32174
30427	site of polarized growth	"102 out of 1614 genes, 6.3%"	"192 out of 6473 background genes, 3.0%"	9.22E-15	0.00%	KEL1:PHR2:ENG1:BNI4:TUS1:SOG2:C1_07590C_A:SMI1:BUD6:C1_08540C_A:SWE1:CBK1:PEA2:GIN4:CTA3:KIP4:MSO1:SPA2:BNI1:SEC2:KAR9:SLA1:MSB2:ROM2:PAN1:KIC1:C2_05040C_A:CDC15:BUD14:C2_05580W_A:RTS1:DBF2:ARP3:VRP1:C2_08020C_A:RAS1:C3_00790W_A:MSS4:CAS4:PKC1:RAX1:C3_05420W_A:YCK2:CHS4:KRE6:PBS2:C3_06610W_A:C4_00420C_A:BEM1:RGA2:BEM3:ABP1:AXL2:C4_04240C_A:ZDS1:FAV1:MYO5:C4_06130W_A:SEC3:CEK1:BUD2:C5_00570W_A:C5_00760W_A:SNF1:MYO1:RCY1:CST20:INT1:HSL1:C5_03170C_A:GRR1:C6_00260W_A:FIG1:ACF2:C6_02090C_A:HRR25:WSC2:SAC6:SHE3:RVS167:C6_04100W_A:C7_00410C_A:BEM2:IQG1:CRN1:EXO70:SEC1:C7_03480W_A:BNR1:KIN2:LRG1:BOI2:RSR1:INN1:HST7:SRV2:BUD5:CR_07190W_A:RGD3:AXL1:WAL1:CHT3	99079:5628:72324:9986:44853:30122:407:46658:30133:70867:51286:329:5881:30427:5816:5621:35839:1990964:775:120106:5887:32153:35841:31560:44697:5940:1990531:31562:19005:5635:935:30688:930:32177:71958:31201:43332:1400:30176:110115:1902716:32432:30134:5875:120105:228:5935:145:776:30445:1990873:5768:131:32178:5794:5938:5856:71944:71341:159:16020:70319:5634:32168:10494:32174:5576:5885:778:30139:110085:31965:324:120155:1990528:5886:16460:35838:44732:1903561:5641:71521:5622:5737:31097:142:936:5777:1990615:35840:31561:5884:31521:133:9277:31588:5933:30428:5937:61645:90726:45121:35842:5774:33551:5934:144:16021:70250:5770:120104:72686:5876:30446:51285:5829:34973:71561:1990819:5783:45160:30479:33101:5643:5730:1411:140224:12505:35974:34399
5938	cell cortex	"84 out of 1614 genes, 5.2%"	"162 out of 6473 background genes, 2.5%"	4.35E-11	0.00%	KEL1:CMP1:SIZ1:BNI4:C1_04200C_A:RGD1:C1_07440W_A:IST2:BBC1:BUD6:C1_10090C_A:CBK1:PEA2:C1_11250W_A:GIN4:CTA3:LCB4:SPA2:BNI1:SEC2:KAR9:C2_01390W_A:SLA1:ROM2:PAN1:SCP1:DBF2:LSP1:ARP3:VRP1:KAR3:RAS1:KIP2:C3_00790W_A:C3_01510W_A:CAS4:PIN3:TEA1:C3_06610W_A:EVP1:C4_00420C_A:C4_00780C_A:BEM1:RGA2:BEM3:ABP1:AXL2:C4_04800W_A:MYO5:C4_06130W_A:SEC3:C5_00760W_A:SNF1:MYO1:CST20:INT1:HSL1:C5_03170C_A:GRR1:C6_00260W_A:SLM2:SAC6:RVS167:C7_00410C_A:C7_00670C_A:BEM2:IQG1:CRN1:EXO70:C7_03480W_A:SLA2:BNR1:CR_00600C_A:RSR1:CR_02210W_A:INN1:SRV2:CR_06640C_A:CR_07190W_A:RGD3:CR_08290W_A:CR_08980C_A:CR_09520C_A:WAL1	99079:5628:9986:942:44853:36286:30133:51286:329:30427:5881:5816:5621:1990964:1990023:120106:5887:32153:9898:31560:44697:5940:110131:31562:19005:5635:5955:935:930:32177:43332:1400:30176:110115:1902716:32432:35371:36362:5875:5880:120105:5935:776:145:70850:5768:131:5794:97038:5938:71341:1990498:32126:5819:16020:70319:5634:32168:10494:32174:1903754:5885:778:99070:30139:110085:31965:32154:120155:1990528:16460:5886:1904511:35838:44732:1903561:922:5641:71521:5622:5737:142:31097:51233:1990615:31561:5884:31521:133:71782:9277:31588:5933:30428:61645:90726:15630:45121:55028:5774:144:5934:16021:5770:72686:120104:98753:5876:51285:5829:34973:1990819:5872:5739:5783:45160:30479:33101:235:5643:5730:32541:36449:140224:1411:12505:35974:61673
5935	cellular bud neck	"67 out of 1614 genes, 4.2%"	"121 out of 6473 background genes, 1.9%"	2.67E-10	0.00%	KEL1:BNI4:TUS1:C1_07590C_A:SMI1:BUD6:C1_08540C_A:SWE1:CBK1:PEA2:GIN4:CTA3:KIP4:MSO1:SPA2:BNI1:SEC2:KAR9:C2_05040C_A:CDC15:BUD14:C2_05580W_A:RTS1:DBF2:VRP1:C2_08020C_A:C3_00790W_A:RAX1:C3_05420W_A:YCK2:CHS4:PBS2:C3_06610W_A:C4_00420C_A:BEM1:RGA2:AXL2:C4_04240C_A:ZDS1:MYO5:SEC3:BUD2:C5_00760W_A:SNF1:MYO1:INT1:HSL1:C5_03170C_A:GRR1:C6_00260W_A:C6_02090C_A:HRR25:C6_04100W_A:C7_00410C_A:IQG1:EXO70:SEC1:C7_03480W_A:BNR1:KIN2:LRG1:BOI2:RSR1:INN1:BUD5:AXL1:CHT3	5628:9986:44853:30122:407:30133:51286:329:5881:30427:5816:5621:35839:775:35841:5887:32153:31560:44697:5940:31562:19005:5635:935:30688:930:32177:71958:31201:43332:1400:30176:110115:5875:120105:228:5935:145:776:1990873:131:32178:5794:5938:71944:71341:159:16020:70319:5634:32168:10494:5576:32174:778:110085:31965:120155:324:16460:5886:35838:44732:1903561:5641:5737:5622:142:31097:5777:1990615:31561:5884:31521:133:31588:9277:5933:5937:30428:61645:90726:35842:33551:5774:144:5934:16021:5770:72686:120104:51285:5829:71561:34973:5783:45160:30479:33101:5730:1411:35974
5634	nucleus	"449 out of 1614 genes, 27.8%"	"1410 out of 6473 background genes, 21.8%"	8.91E-09	0.00%	TUP1:RCA1:C1_00160C_A:PHR2:HGC1:NRM1:LRO1:C1_01130W_A:HOT1:ESP1:ARP8:SWI4:C1_01860W_A:SHA3:PSY2:C1_02450C_A:RSC2:C1_02850W_A:ORC1:ARO80:C1_03360W_A:C1_03370W_A:SUA71:WAR1:SKO1:HMG1:ELA1:C1_03830C_A:SEN15:C1_04120C_A:C1_04200C_A:RPN4:PHO85:CHL4:RPM2:C1_04960C_A:C1_05420W_A:SPT20:C1_05750C_A:C1_05930C_A:C1_06090C_A:HAC1:PUT3:C1_07050C_A:C1_07090C_A:TAF145:RME1:CPH1:C1_07490C_A:ZCF4:HAP2:C1_07690C_A:C1_07960W_A:IRE1:C1_07980C_A:CAT8:CCR4:MED15:DIP2:NOT5:SWI6:C1_08700W_A:MSN4:ARG81:ZCF28:CTA8:LYS143:PTC1:HCM1:CPP1:SWE1:C1_10080W_A:C1_10120C_A:WOR1:CLA4:C1_10330C_A:CBK1:APN2:RTG3:HAP43:C1_11250W_A:C1_11300C_A:GIN4:GIN1:ZCF3:C1_11900C_A:ZCF30:CDC6:SNT1:C1_12370W_A:C1_12750C_A:RPN1:STP2:C1_13380W_A:KEM1:KNS1:NUP49:C1_13560W_A:ROB1:CUP2:KAR9:SET3:C1_14190C_A:RIM101:RRN3:NDT80:ZCF9:NOT3:C2_01220W_A:RPN9:NRI1:SMP2:SLA1:HAP42:HSK3:C2_01820C_A:PRP39:RAD23:C2_01870C_A:CTF1:AMN1:SNF2:HEX3:OPI1:C2_02300W_A:SAC3:NSP1:PAN1:NBN1:RAD32:C2_03900C_A:SCH9:TAF14:SSN3:C2_04500W_A:C2_04620W_A:SNU114:YAK1:C2_04700C_A:C2_04770W_A:C2_04870C_A:SGO1:CDC7:RXT3:C2_05530C_A:C2_05540C_A:C2_05590C_A:C2_05860C_A:RTS1:C2_06650C_A:C2_06660W_A:C2_06780C_A:FHL1:RCK2:AFT2:TPK2:ZCF10:TOR1:MCM3:TAF4:SWR1:EAF3:STN1:GTR1:C2_08630C_A:MSH3:C2_08720W_A:PIR1:STB3:KIS1:KAR3:RHA1:C2_09930W_A:GCN4:RAP1:CWC22:UBP8:PHO23:SET2:PUS7:SPT23:ZSF1:SGS1:GAL4:ASH1:FKH2:C3_00940W_A:MSS4:UTP20:C3_01210C_A:ZCF8:ZCF7:C3_01800C_A:UTP4:CAP1:C3_02350W_A:MED7:STH1:DDC1:SMC3:C3_03100C_A:C3_03300C_A:C3_03670W_A:ZCF16:C3_04230W_A:SNF5:PKC1:TEC1:STP1:ZCF31:C3_04700W_A:SEN1:SFP1:NOP14:FGR44:C3_05060W_A:C3_05150W_A:WOR2:TEA1:KIP3:SSN8:CRZ1:C3_05800W_A:C3_05860C_A:C3_05880C_A:ZCF35:CTA4:HAL3:AHR1:CAM1:C3_06150W_A:C3_06440W_A:AAF1:TAF12:FCR1:SSN6:RRD1:ZFU2:TCC1:C3_07630C_A:WOR4:SWI1:PTC7:ZCF21:MDN1:MLP1:ASK1:CAS5:RLM1:C4_01280C_A:ZCF27:C4_01650C_A:C4_02400C_A:C4_02430W_A:ZCF15:ADR1:ARG83:RGT1:SAS10:RPC53:C4_03290W_A:DOT4:C4_03740W_A:C4_03850W_A:PTP2:MET4:C4_04120C_A:BAS1:FAV1:C4_04870C_A:CDL1:SRB8:HAP41:C4_05180C_A:C4_05220C_A:C4_05230C_A:C4_05330C_A:C4_05340W_A:PHO4:C4_05740C_A:CGT1:GAT1:MPH1:NUP60:C4_06410W_A:CEK1:PRI2:PDC11:CZF1:CTA6:C4_07220C_A:VID21:SKN7:RMT2:HAP5:CLN3:SNF1:HST3:SPO1:CCN1:RCY1:HAL9:TAC1:C5_01890W_A:LEU3:CST20:ZCF22:C5_02480W_A:CTA7:C5_02750C_A:MIG1:C5_03010W_A:SUT1:MED14:PCL1:ZCF14:ZCF13:C5_03550W_A:C5_03830C_A:GLN3:GRR1:C5_04640C_A:SFL2:C5_04840C_A:PPR1:GRF10:PRP22:CPH2:NOP5:RAD52:C6_00640C_A:CDC20:CIC1:C6_01220C_A:TRA1:C6_01590W_A:PTK2:RAD18:C6_01890C_A:C6_01920C_A:C6_02280W_A:C6_02300C_A:C6_02310W_A:IPL1:HRR25:C6_02350C_A:C6_02430W_A:PRP45:NAB3:C6_02690C_A:LYS14:RBF1:ARP4:C6_03420W_A:C6_03460W_A:C6_03550C_A:POP2:PHO80:SNF4:C6_04100W_A:CDC39:FLO8:GLE2:TSM1:RTF1:RIM15:C7_00780W_A:C7_00790W_A:MCM1:C7_00910C_A:YOX1:C7_01030C_A:PSF1:C7_01400C_A:LIG1:C7_02170C_A:C7_02860C_A:DBF4:HHO1:ZCF29:MED16:ENP2:ENP1:PLC1:OGG1:NRG1:SPT6:EPL1:SWC4:PHO81:TRM1:DAL81:CR_01080W_A:CDC27:CR_01490C_A:CR_01700C_A:IFU5:MCM6:SEF1:CR_02510W_A:CR_02550C_A:ASG1:CR_02590C_A:CR_02610C_A:CR_02680W_A:RRP9:CR_02770C_A:GZF3:CR_02890C_A:CR_02930W_A:SRP40:RPL28:DPS1-1:NOT4:MCM2:WOR3:HST7:TAF12L:MEX67:CR_04110W_A:CR_04450C_A:CR_04720C_A:MED5:CWT1:SRR1:SFL1:SOK1:PPZ1:BCR1:CR_06450W_A:RRN11:HSP60:ACE2:ECM22:EFG1:CR_08290W_A:PRP8:CR_08900C_A:MPS1:CR_08980C_A:CR_09480W_A:CR_09490W_A:CR_09520C_A:SSF1:MED21:UGA3:SPT7:PTP3:RPO21	5666:5673:5684:5669:9986:1990143:118:71819:46658:31533:51286:5881:5759:1990023:5688:33597:30685:32153:98562:22627:42272:46695:5681:33768:8541:1990726:1990131:71010:31262:34515:30015:5667:1990860:71008:97356:5853:812:5789:35371:31595:794:44612:30874:42406:5875:35327:811:120105:5880:783:70187:61672:776:1990467:34455:178:62040:30892:124:5768:131:30678:307:5794:16586:5782:5938:44613:5856:34388:71261:5685:1905754:1990498:5680:159:1990879:5637:10494:5741:778:99070:110085:5658:31965:324:31234:35267:786:1904511:1990385:16514:5825:44732:5952:1903561:70209:30686:922:5641:71004:71521:152:5737:5847:32221:34967:70390:8540:936:51233:35840:214:71007:71782:5729:31934:417:42729:30428:30289:31510:31080:45121:43596:16602:30014:144:44614:5934:71513:98745:90575:72380:34990:177:30446:5694:51285:5829:71561:33309:36437:31422:5783:30479:97344:235:32302:5730:32541:140224:439:33203:70847:61673:5628:942:30692:42645:407:445:31966:785:5671:30427:329:5816:31617:5621:34064:70860:1990964:31261:775:71006:43601:22625:43189:35841:5664:243:779:1990526:17053:31463:16593:33698:31298:5940:5840:97505:42764:31431:70823:31511:19005:932:70449:5635:32133:31931:5675:935:71014:30688:89713:43332:72687:42175:30176:110115:31011:42555:97550:30896:30134:30687:228:112:5935:30445:30870:5686:70850:446:48471:974:97038:5682:44615:5656:71341:90512:5773:48189:31428:5819:16020:5634:176:70822:32116:5576:5838:30139:5654:34448:35649:500:46809:5886:15934:19898:1990468:33100:5674:5622:142:31097:5777:31932:837:8623:32777:123:9277:31588:5933:5740:5828:5665:1990527:19897:71162:31902:15630:30677:33553:32040:55028:71021:33551:5774:16021:5844:16592:72686:46540:5811:35861:5876:5758:43224:5872:5739:30907:89716:941:5657:5643:111:70274:1411:36449:34399:5849:781:97373
131	incipient cellular bud site	"37 out of 1614 genes, 2.3%"	"60 out of 6473 background genes, 0.9%"	7.86E-07	0.00%	BNI4:TUS1:SOG2:SMI1:BUD6:CBK1:PEA2:GIN4:KIP4:SPA2:RPG1A:BNI1:ROM2:KIC1:BUD14:VRP1:CAS4:CHS4:BEM1:BEM3:CRH11:AXL2:C4_04240C_A:ZDS1:SEC3:BUD2:C5_00760W_A:MYO1:CST20:PCL1:C6_02090C_A:BEM2:EXO70:SLA2:LRG1:RSR1:BUD5	9986:46658:51286:5887:32153:31560:31562:930:1902716:5875:120105:145:131:307:5938:10494:110085:16460:44732:1903561:71521:5737:5884:31521:30428:144:5934:120104:30446:51285:5829:30479:5730:329:30427:5816:5940:935:43332:110115:71541:5935:30445:43614:71944:71341:16020:5634:32168:5576:32174:5886:16282:5622:142:31097:1990615:31561:133:9277:5933:90726:5774:16021:71540:5770:5876:5852:1411:12505
30863	cortical cytoskeleton	"41 out of 1614 genes, 2.5%"	"76 out of 6473 background genes, 1.2%"	2.49E-05	0.00%	CMP1:RGD1:BBC1:C1_10090C_A:C1_11250W_A:CTA3:BNI1:C2_01390W_A:SLA1:PAN1:SCP1:DBF2:LSP1:ARP3:VRP1:KAR3:KIP2:C3_01510W_A:PIN3:C4_00780C_A:RGA2:ABP1:MYO5:MYO1:CST20:INT1:GRR1:SAC6:RVS167:C7_00410C_A:C7_00670C_A:IQG1:CRN1:SLA2:BNR1:CR_00600C_A:INN1:SRV2:CR_08290W_A:CR_08980C_A:WAL1	99079:9986:44853:36286:51286:5881:1990023:120106:32153:44697:110131:5955:930:32177:35371:5875:5880:120105:5768:131:5794:5938:1903754:778:110085:120155:16460:35838:44732:922:71521:5737:51233:5884:31521:30428:5934:120104:98753:51285:5829:1990819:45160:30479:235:140224:61673:5628:30427:5816:5621:1990964:9898:5940:19005:935:43332:32432:36362:5935:71341:32126:5819:5634:5885:30139:32154:1990528:5886:5622:31097:142:133:5933:15630:55028:72686:5876:34973:5872:5643:36449:1411
32153	cell division site	"54 out of 1614 genes, 3.3%"	"113 out of 6473 background genes, 1.7%"	4.87E-05	0.00%	PHR2:CMP1:ENG1:BNI4:C1_04200C_A:RGD1:C1_06090C_A:SOG2:CBK1:GIN4:CTA3:BNI1:SEC2:ROM2:RTS1:DBF2:ARP3:RAS1:C3_00790W_A:MSS4:CAS4:PKC1:DNM1:C3_06610W_A:C4_00420C_A:BEM1:RGA2:AXL2:MYO5:SNF1:MYO1:RCY1:CST20:INT1:HSL1:C5_03170C_A:GRR1:C6_00260W_A:HRR25:SAC6:RVS167:C7_00410C_A:IQG1:CRN1:C7_03480W_A:BNR1:KIN2:RSR1:INN1:HST7:SRV2:CR_07190W_A:RGD3:WAL1	99079:9986:44853:46658:51286:120106:5887:32153:44697:5955:930:32177:1902716:120105:776:5768:131:5794:5938:5856:159:10494:5741:110085:31965:120155:16460:35838:44732:1903561:5641:71521:5737:936:35840:5884:31521:71782:30428:61645:45121:144:5934:120104:98753:30446:51285:5829:1990819:5783:45160:30479:5730:32541:140224:5628:407:30133:30427:5816:5621:35839:775:35841:5940:19005:5635:935:30688:43332:1400:110115:32432:30134:228:5935:30445:1990873:32178:71341:16020:70319:5634:32174:5576:5885:30139:32154:1990528:5886:5622:142:31097:5777:133:31588:9277:5933:90726:35842:33551:5774:16021:5876:34973:5739:5643:1411:35974:34399
5618	cell wall	"70 out of 1614 genes, 4.3%"	"163 out of 6473 background genes, 2.5%"	0.00013	0.00%	PHR2:ECM33:ENG1:PGA45:NOT5:PGA6:C1_13290W_A:HYR1:SIM1:RBE1:SOD4:SOD5:SSC1:DSE1:YWP1:IPP1:PIR1:IFF6:EAP1:MP65:IFF11:WSC1:RAX1:ALS6:ALS7:PHR3:MET15:PGA10:PGA62:CRH11:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:PGA31:PHR1:IFF5:PDC11:BUD2:IFF8:HYR3:INT1:C5_02500C_A:C5_03170C_A:SCW11:CHT2:PGA4:SUN41:FIG1:ALS5:ALS1:ALS4:ALS2:CSA1:SSR1:HSP90:RBR3:CHT1:IFF4:RSR1:IFF3:IFF9:ALS3:SSB1:CR_08380C_A:PGA13:CHT3:XYL2	9986:46658:32153:32177:30015:62040:131:5938:10494:1903561:5737:936:35840:5937:30428:45121:30014:70250:30446:5829:1990819:33101:5730:5628:42645:30427:5621:35841:5940:43332:32473:30134:5935:30445:16020:5634:32174:5576:5619:46809:5886:5622:142:5743:9277:5933:31314:5774:5844:1405:5739:1411:34399
9277	fungal-type cell wall	"70 out of 1614 genes, 4.3%"	"163 out of 6473 background genes, 2.5%"	0.00013	0.00%	PHR2:ECM33:ENG1:PGA45:NOT5:PGA6:C1_13290W_A:HYR1:SIM1:RBE1:SOD4:SOD5:SSC1:DSE1:YWP1:IPP1:PIR1:IFF6:EAP1:MP65:IFF11:WSC1:RAX1:ALS6:ALS7:PHR3:MET15:PGA10:PGA62:CRH11:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:PGA31:PHR1:IFF5:PDC11:BUD2:IFF8:HYR3:INT1:C5_02500C_A:C5_03170C_A:SCW11:CHT2:PGA4:SUN41:FIG1:ALS5:ALS1:ALS4:ALS2:CSA1:SSR1:HSP90:RBR3:CHT1:IFF4:RSR1:IFF3:IFF9:ALS3:SSB1:CR_08380C_A:PGA13:CHT3:XYL2	9986:46658:32153:32177:30015:62040:131:5938:10494:1903561:5737:936:35840:5937:30428:45121:30014:70250:30446:5829:1990819:33101:5730:5628:42645:30427:5621:35841:5940:43332:32473:30134:5935:30445:16020:5634:32174:5576:5619:46809:5886:5622:142:5743:9277:5933:31314:5774:5844:1405:5739:1411:34399
