GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
5622	intracellular anatomical structure	"434 out of 723 genes, 60.0%"	"3335 out of 6473 background genes, 51.5%"	0.00024	0.00%	VPS27:NMA111:TRS20:C1_01290C_A:VPS17:SIZ1:ESP1:UBC8:C1_01940C_A:C1_02040C_A:C1_02200C_A:PSY2:C1_02290C_A:MNN11:C1_03450C_A:AGE1:C1_03630W_A:BNI4:C1_04040C_A:C1_04090C_A:ERB1:BST1:C1_04280C_A:RPN4:C1_04640W_A:REC8:MRPL37:RPM2:C1_04960C_A:C1_04970W_A:RRP6:C1_05320C_A:C1_05420W_A:KOG1:C1_05930C_A:RGD1:ARC35:C1_06090C_A:NPL4:HAC1:BPH1:C1_06530C_A:C1_06590C_A:C1_06630W_A:ATC1:DHH1:RTT102:SEC34:C1_07360W_A:LHP1:IST2:C1_07590C_A:VRG4:IRE1:C1_08110W_A:C1_08340C_A:GCR3:C1_08800W_A:KEX2:C1_09070W_A:ARG81:AOX1:NUP188:SAC1:NTF2:MNN12:C1_10470W_A:C1_10620W_A:PET127:FGR16:HAP43:C1_11370C_A:CTA3:TRP3:SNT1:MRPS9:RIB3:IRA2:PEP1:CDC54:BNI1:SEC2:MON2:MSH6:ECM25:KEM1:GUP1:C1_13560W_A:C1_13650C_A:GCV3:NCR1:MLH3:MPP10:C2_00350W_A:RFA1:C2_00410C_A:C2_00490W_A:ZCF9:RSC4:VPS24:HGT7:REG1:C2_01240C_A:C2_01390W_A:SMP2:SLA1:C2_01870C_A:AMN1:FAB1:C2_02150C_A:C2_02180W_A:C2_02420C_A:UTP22:C2_02490C_A:C2_02540W_A:TOM1:PRP3:HOG1:C2_03910C_A:SCH9:DCK1:VPS36:CAK1:C2_04360W_A:C2_04500W_A:TPO5:C2_04790C_A:CKA2:DAD2:CDC7:C2_05590C_A:VPS35:RFC1:IDP1:RTS1:RTA2:C2_06620W_A:C2_06660W_A:DBF2:LSP1:FHL1:LTE1:C2_06950C_A:C2_07110C_A:ZCF10:YVC1:C2_07800W_A:KRE30:C2_08380C_A:C2_08420W_A:MSU1:SMC2:VPS28:STB3:C2_09180W_A:RHA1:PMS1:COE1:UBP8:CMK2:SPT23:C3_00630W_A:SWD1:SCT1:MNE1:PMC1:SGA1:ZCF8:GEA2:CAS4:CDC53:C3_02160C_A:C3_02210C_A:C3_02260C_A:C3_02290W_A:C3_02350W_A:PET111:APL2:CCP1:C3_02850C_A:IRS4:C3_03840C_A:CSC25:ZCF16:C3_04230W_A:SNF5:MEA1:ZCF32:FGR44:C3_05010C_A:C3_05160C_A:DYN1:C3_05290C_A:GPI1:TEA1:C3_05510W_A:DNM1:SSN8:C3_05790C_A:CTA4:REV3:CYM1:C3_06550C_A:C3_06970W_A:RRD1:C3_07170C_A:ZFU2:ECM29:C4_00260W_A:C4_00500W_A:C4_00740W_A:C4_00950C_A:MDN1:RAT1:CAS5:ZCF27:C4_01660W_A:C4_01670C_A:C4_02170C_A:BEM3:C4_02400C_A:C4_02430W_A:PRE7:ZCF15:ADR1:RGT1:EMP70:C4_02820W_A:C4_02850W_A:C4_02960W_A:UBR1:MGM1:IPK1:JAB1:MET4:C4_04120C_A:AXL2:C4_04180C_A:C4_04870C_A:C4_04930C_A:SRB8:C4_05220C_A:C4_05230C_A:C4_05330C_A:C4_05340W_A:PUF3:TUB4:BRN1:C4_05790W_A:C4_05870C_A:GAT1:VPS11:SEC3:C4_06370C_A:C4_06460C_A:CEK1:TOP2:C4_07150W_A:FET33:BUD2:SAM51:TFB3:C5_00760W_A:C5_01170W_A:GPR1:NUF2:C5_01350W_A:YBL053:ZCF20:MYO1:TAC1:ZNC1:C5_01870W_A:PTH1:INT1:C5_02500C_A:C5_02590C_A:RAD9:C5_02750C_A:C5_03010W_A:MED14:ZCF14:RPO26:FGR27:BUD7:C5_03950W_A:C5_04150C_A:C5_04170W_A:C5_04300C_A:PSD2:PPR1:C5_05000C_A:RIM13:PAN3:C6_00240C_A:DNA2:NHX1:C6_00640C_A:C6_00710W_A:C6_01050W_A:C6_01120C_A:EXO84:TRA1:HOC1:ANB1:MED19:C6_01850W_A:C6_01920C_A:C6_02180W_A:ALG11:C6_02310W_A:PRP45:C6_02470W_A:GCV1:NAB3:C6_02690C_A:C6_02900C_A:C6_02980C_A:C6_03040C_A:FGR17:NOG2:C6_03910C_A:C6_04120C_A:SPB1:SEC5:C6_04180W_A:ATM1:CDC39:C6_04340W_A:CST5:C6_04530C_A:SAC7:C7_00340C_A:C7_00410C_A:C7_00520W_A:GAC1:C7_00670C_A:YAE1:MDM12:C7_01360C_A:NBP2:C7_01480W_A:BEM2:IQG1:MSK1:EXO70:YCF1:C7_02470C_A:TEP1:C7_02660C_A:C7_02670W_A:C7_02930C_A:C7_03000C_A:LMO1:C7_03400C_A:GYP7:C7_03500W_A:ISY1:PLC1:YAF9:ATP9:NAD3:MKC1:MMS22:LRG1:CR_00490W_A:NTH1:CR_00570W_A:YRB1:CR_00600C_A:PWP2:CR_01080W_A:TAF10:CR_01130W_A:CPA2:PRS:PIN4:CR_01700C_A:SPC98:PRK1:MDL1:CR_02460W_A:DBP2:CR_02610C_A:DRE2:CR_02680W_A:CR_02890C_A:CR_03110W_A:SYN8:CR_03260W_A:CR_03300C_A:YKU80:CR_03400W_A:SMC1:CR_03860C_A:WOR3:CR_03940W_A:CR_03960C_A:CR_04300W_A:LAP3:DIT2:RPS3:MED5:CR_05730C_A:ACO2:CR_05970C_A:CDC28:PGI1:CR_06450W_A:RRN11:POL2:FLC2:ALK8:CR_07190W_A:CR_07350W_A:ACE2:RGD3:TSC11:CR_07600W_A:DCP2:CR_08300C_A:TSR1:SKI2:CR_08980C_A:ELF1:CR_09480W_A:CR_09520C_A:PCD1:SPT7:ZCF39:CR_10260W_A:PTP3:CTM1:CR_10440W_A	5666:5669:276:9986:5684:5655:71819:30122:36286:97047:16035:51286:70985:5881:5759:30894:19908:1990023:5688:30685:30906:5887:32153:98562:5662:22627:1990303:30121:46695:36266:33565:30131:5681:5797:70545:71020:1990726:5950:5960:32865:930:5778:31262:1990904:30015:5667:32299:71008:31251:97356:31520:31211:812:795:1902716:5789:31021:31415:31160:794:5827:35859:30874:5663:42406:35327:120105:61496:32301:36436:34098:61672:145:776:178:71957:30892:5761:62040:124:5768:131:30678:502:307:5794:16586:5938:44613:34388:34456:1990498:5680:159:30287:5637:43291:10494:31391:5741:778:99070:8180:70772:110085:31965:120155:324:5762:16460:35267:34274:31429:1904511:16514:5825:35838:71627:44732:1903561:922:70209:30686:5874:55087:1401:35658:72546:5737:5847:34967:61497:8540:5736:51233:5868:5884:5854:31521:8622:71007:31417:10008:32545:31934:417:42729:30428:30289:62092:31080:45121:43596:16602:120095:97002:5769:30014:506:136:144:5934:1990251:98745:120104:61638:928:98753:34990:5968:177:30446:32389:51285:70939:1990070:30061:5829:1990819:5783:31304:813:30479:5747:97587:97344:33101:235:5788:5730:17119:32541:5775:45025:140224:439:5846:70847:61908:5628:5763:5956:942:5786:42645:407:796:1990304:30133:70867:785:329:30427:5816:5621:31617:70860:1990964:31261:775:71006:97042:923:9898:243:1990072:16593:31298:5940:31431:19005:932:5635:31931:5675:935:71014:30688:138:5801:89713:137:31201:43332:31901:33588:31942:30176:42175:32473:36362:42555:814:5697:30687:228:90734:62128:112:5935:172:5776:30870:5686:70850:1990112:48471:974:30905:71944:1990071:5656:71341:90512:5773:32126:5819:16020:70319:5634:176:32174:5576:34506:5885:30139:5654:34424:35649:32154:31501:1990816:5886:43564:19898:32476:815:31307:5622:31097:142:31410:30897:5777:30173:61499:31932:837:133:31499:5743:9277:5933:5740:5665:5802:71162:31314:48188:30677:33553:839:32040:30904:5774:16021:5770:5844:16592:72686:61671:36464:46540:5811:70692:35861:5876:5951:110078:5824:44611:5758:34973:43224:5739:89716:5822:34457:30875:35339:19774:33263:5657:5643:1411:12505:35974:34044:164:34399:5849:30286:781:97373
5933	cellular bud	"36 out of 723 genes, 5.0%"	"153 out of 6473 background genes, 2.4%"	0.00316	0.00%	BNI4:RGD1:IST2:C1_07590C_A:CTA3:RAX2:BNI1:SEC2:AMN1:KIC1:C2_05580W_A:RTS1:DBF2:LTE1:CAS4:MEA1:BEM3:AXL2:SEC3:BUD2:C5_00760W_A:MYO1:INT1:EXO84:SHE3:SEC5:C7_00410C_A:BEM2:IQG1:EXO70:SEC1:MKC1:LRG1:BOI2:CDC28:AXL1	9986:30122:51286:1990023:5887:32153:930:1902716:120105:145:776:131:307:5794:5938:159:10494:110085:120155:16460:35838:44732:5737:5884:31521:30428:144:5934:120104:98753:51285:5829:5783:30479:33101:32541:5628:30133:30427:329:5816:5621:775:5940:935:43332:5935:71341:70319:5634:32174:32154:5886:5622:31097:142:133:9277:5933:5770:34973:5739:1411:12505:35974
5938	cell cortex	"37 out of 723 genes, 5.1%"	"162 out of 6473 background genes, 2.5%"	0.0049	0.00%	SIZ1:C1_03450C_A:BNI4:RGD1:IST2:SAC1:CTA3:BNI1:SEC2:C2_01390W_A:SLA1:DBF2:LSP1:CAS4:DYN1:TEA1:BEM3:AXL2:SEC3:C5_00760W_A:MYO1:INT1:EXO84:SEC5:SAC7:C7_00410C_A:C7_00670C_A:BEM2:IQG1:EXO70:CR_00600C_A:PRK1:CR_07190W_A:RGD3:TSC11:CR_08980C_A:CR_09520C_A	9986:36286:51286:5881:5887:32153:5797:930:1902716:5789:120105:776:145:131:5794:5938:1990498:778:99070:110085:120155:16460:1904511:35838:44732:5737:5868:5884:31521:30428:144:5934:120104:98753:51285:5829:5783:30479:33101:235:32541:140224:5628:942:30133:329:30427:5816:5621:1990964:9898:5940:935:43332:30176:36362:5935:70850:71341:32126:70319:5634:32174:32154:5886:31097:142:30173:31932:133:5933:5770:72686:5876:34973:35339:5643:1411:12505:35974:30286
5634	nucleus	"203 out of 723 genes, 28.1%"	"1410 out of 6473 background genes, 21.8%"	0.00497	0.00%	NMA111:ESP1:PSY2:C1_03630W_A:C1_04040C_A:C1_04090C_A:ERB1:RPN4:REC8:RPM2:C1_04960C_A:RRP6:C1_05420W_A:C1_05930C_A:C1_06090C_A:HAC1:C1_06530C_A:C1_06590C_A:C1_06630W_A:RTT102:C1_07360W_A:LHP1:IRE1:C1_08110W_A:GCR3:ARG81:NUP188:NTF2:C1_10620W_A:FGR16:HAP43:C1_11370C_A:SNT1:CDC54:MSH6:KEM1:C1_13560W_A:C1_13650C_A:MLH3:MPP10:RFA1:C2_00410C_A:ZCF9:RSC4:C2_01240C_A:SMP2:SLA1:C2_01870C_A:AMN1:C2_02150C_A:C2_02420C_A:UTP22:C2_02540W_A:PRP3:HOG1:SCH9:C2_04500W_A:CKA2:DAD2:CDC7:C2_05590C_A:RTS1:C2_06660W_A:FHL1:C2_07110C_A:ZCF10:KRE30:C2_08380C_A:C2_08420W_A:SMC2:STB3:C2_09180W_A:RHA1:PMS1:UBP8:SPT23:SWD1:ZCF8:CDC53:C3_02260C_A:C3_02350W_A:C3_03840C_A:CSC25:ZCF16:C3_04230W_A:SNF5:MEA1:ZCF32:FGR44:C3_05010C_A:C3_05160C_A:TEA1:SSN8:C3_05790C_A:CTA4:C3_06550C_A:RRD1:ZFU2:ECM29:C4_00740W_A:MDN1:RAT1:CAS5:ZCF27:C4_01660W_A:C4_02400C_A:C4_02430W_A:ZCF15:ADR1:RGT1:C4_02820W_A:C4_02850W_A:C4_02960W_A:IPK1:JAB1:MET4:C4_04120C_A:C4_04870C_A:C4_04930C_A:SRB8:C4_05220C_A:C4_05230C_A:C4_05330C_A:C4_05340W_A:TUB4:BRN1:C4_05870C_A:GAT1:CEK1:TOP2:C4_07150W_A:TFB3:NUF2:YBL053:ZCF20:TAC1:ZNC1:C5_02750C_A:C5_03010W_A:MED14:ZCF14:RPO26:FGR27:PPR1:C5_05000C_A:DNA2:C6_00640C_A:C6_01120C_A:TRA1:MED19:C6_01850W_A:C6_01920C_A:C6_02310W_A:PRP45:NAB3:C6_02690C_A:C6_02980C_A:C6_03040C_A:FGR17:NOG2:C6_03910C_A:C6_04120C_A:SPB1:CDC39:CST5:C7_00340C_A:C7_00520W_A:C7_03400C_A:ISY1:PLC1:YAF9:MKC1:MMS22:YRB1:PWP2:CR_01080W_A:TAF10:CR_01700C_A:DBP2:CR_02610C_A:CR_02680W_A:CR_02890C_A:YKU80:SMC1:WOR3:CR_03940W_A:CR_04300W_A:MED5:ACO2:CDC28:CR_06450W_A:RRN11:POL2:CR_07350W_A:ACE2:DCP2:TSR1:CR_08980C_A:CR_09480W_A:CR_09520C_A:SPT7:ZCF39:PTP3	5666:5669:5684:5655:71819:97047:51286:70985:5881:5759:19908:1990023:5688:30685:32153:98562:5662:22627:46695:5681:70545:71020:1990726:930:31262:1990904:30015:5667:32299:71008:97356:812:795:5789:31021:794:5827:30874:35327:61496:32301:36436:61672:776:178:71957:30892:124:30678:502:307:16586:5938:44613:34388:34456:1990498:5680:159:5637:10494:778:99070:8180:70772:31965:35267:31429:1904511:16514:5825:44732:30686:70209:5874:5737:5847:34967:61497:5736:51233:8622:71007:32545:31934:417:42729:30289:31080:43596:16602:30014:5934:1990251:98745:61638:928:34990:177:51285:32389:70939:5829:1990819:5783:30479:97587:97344:5730:140224:439:5846:70847:5956:942:796:1990304:70867:785:329:30427:5816:31617:70860:1990964:71006:775:31261:923:243:16593:31298:31431:932:19005:5635:5675:935:71014:30688:89713:43332:33588:30176:5697:42555:30687:228:90734:62128:112:172:5935:30870:5686:70850:974:90512:5656:5773:5819:16020:5634:176:5576:34506:30139:5654:35649:5886:43564:19898:5777:61499:31499:5743:5933:5665:71162:48188:30677:33553:32040:16021:16592:5844:72686:46540:5811:35861:70692:5876:110078:5824:44611:43224:5758:5739:89716:5822:34457:30875:5657:5643:1411:35974:34399:5849:781:97373
30427	site of polarized growth	"41 out of 723 genes, 5.7%"	"192 out of 6473 background genes, 3.0%"	0.00948	0.00%	BNI4:C1_07590C_A:CTA3:RAX2:BNI1:SEC2:SLA1:KIC1:C2_05580W_A:RTS1:DBF2:CAS4:CSC25:MEA1:DYN1:BEM3:AXL2:TUB4:SEC3:CEK1:BUD2:C5_00570W_A:C5_00760W_A:MYO1:INT1:EXO84:SHE3:SEC5:CST5:C7_00410C_A:BEM2:IQG1:EXO70:SEC1:MKC1:LRG1:BOI2:CDC28:CR_07190W_A:RGD3:AXL1	9986:30122:51286:5881:1990023:5887:32153:1990531:930:5789:1902716:31021:120105:61496:145:776:71957:131:307:5938:159:5637:10494:110085:120155:16460:35838:44732:5874:5737:61497:5868:5884:31521:30428:144:5934:120104:928:51285:5829:1990819:5783:30479:235:140224:5628:30133:70867:329:30427:5816:5621:1990964:775:923:5940:5635:935:43332:5935:71341:70319:5634:32174:5886:5622:31097:142:61499:133:9277:5933:16021:5770:5824:34973:5739:5822:5643:1411:12505:35974:30286
5768	endosome	"29 out of 723 genes, 4.0%"	"123 out of 6473 background genes, 1.9%"	0.02267	0.00%	VPS27:TRS20:VPS17:AGE1:C1_05320C_A:C1_08340C_A:PEP1:MON2:C2_00490W_A:VPS24:FAB1:VPS36:VPS35:VPS28:APL2:EMP70:C4_05790W_A:VPS11:C4_06460C_A:C5_00760W_A:C5_04150C_A:PSD2:RIM13:NHX1:C6_02180W_A:C6_04530C_A:TEP1:SYN8:CR_03960C_A	30906:32153:30121:33565:30131:131:5768:5794:70772:35658:5737:10008:5769:5934:1990070:5829:813:5628:329:1990072:31201:31901:814:5935:30905:1990071:34424:5886:19898:815:30897:133:5802:30904:5774:16021:5770:33263
43227	membrane-bounded organelle	"347 out of 723 genes, 48.0%"	"2700 out of 6473 background genes, 41.7%"	0.06334	0.29%	VPS27:NMA111:TRS20:C1_01290C_A:VPS17:ESP1:C1_02040C_A:C1_02200C_A:PSY2:C1_02290C_A:MNN11:C1_03450C_A:AGE1:C1_03630W_A:C1_04040C_A:C1_04090C_A:ERB1:BST1:C1_04280C_A:RPN4:REC8:SAP7:MRPL37:RPM2:C1_04960C_A:RRP6:C1_05320C_A:C1_05420W_A:KOG1:C1_05930C_A:RGD1:C1_06090C_A:NPL4:HAC1:C1_06530C_A:C1_06590C_A:C1_06630W_A:ATC1:RTT102:SEC34:C1_07360W_A:LHP1:IST2:C1_07590C_A:VRG4:IRE1:C1_08110W_A:C1_08340C_A:GCR3:C1_08800W_A:KEX2:ARG81:AOX1:NUP188:SAC1:NTF2:MNN12:C1_10470W_A:C1_10620W_A:PET127:FGR16:HAP43:C1_11370C_A:SNT1:MRPS9:RIB3:IRA2:PEP1:CDC54:SEC2:MON2:MSH6:KEM1:GUP1:C1_13560W_A:C1_13650C_A:GCV3:NCR1:MLH3:MPP10:RFA1:C2_00410C_A:C2_00490W_A:ZCF9:RSC4:VPS24:HGT7:C2_01240C_A:SMP2:SLA1:C2_01870C_A:AMN1:FAB1:C2_02150C_A:C2_02180W_A:C2_02420C_A:UTP22:C2_02490C_A:C2_02540W_A:PRP3:HOG1:C2_03910C_A:SCH9:DCK1:VPS36:C2_04500W_A:TPO5:C2_04790C_A:CKA2:DAD2:CDC7:C2_05590C_A:VPS35:IDP1:RTS1:RTA2:C2_06620W_A:C2_06660W_A:FHL1:C2_06950C_A:C2_07110C_A:ZCF10:YVC1:C2_07800W_A:KRE30:C2_08380C_A:C2_08420W_A:MSU1:SMC2:VPS28:STB3:C2_09180W_A:RHA1:PMS1:COE1:UBP8:SPT23:SWD1:SCT1:MNE1:PMC1:SGA1:ZCF8:GEA2:CDC53:C3_02260C_A:C3_02290W_A:C3_02350W_A:PET111:APL2:CCP1:C3_02850C_A:C3_03840C_A:CSC25:ZCF16:C3_04230W_A:SNF5:MEA1:ZCF32:FGR44:C3_05010C_A:C3_05160C_A:GPI1:TEA1:DNM1:SSN8:C3_05790C_A:CTA4:REV3:CYM1:C3_06550C_A:RRD1:ZFU2:ECM29:C4_00740W_A:MDN1:RAT1:CAS5:ZCF27:C4_01660W_A:C4_02400C_A:C4_02430W_A:ZCF15:ADR1:RGT1:EMP70:C4_02820W_A:C4_02850W_A:C4_02960W_A:MGM1:IPK1:JAB1:MET4:C4_04120C_A:C4_04180C_A:C4_04870C_A:C4_04930C_A:SRB8:C4_05220C_A:C4_05230C_A:C4_05330C_A:C4_05340W_A:PUF3:TUB4:BRN1:C4_05790W_A:C4_05870C_A:GAT1:VPS11:C4_06370C_A:C4_06460C_A:CEK1:TOP2:C4_07150W_A:FET33:SAM51:TFB3:C5_00760W_A:C5_01170W_A:GPR1:NUF2:C5_01350W_A:YBL053:ZCF20:TAC1:ZNC1:PTH1:C5_02500C_A:C5_02590C_A:C5_02750C_A:C5_03010W_A:MED14:ZCF14:RPO26:FGR27:BUD7:C5_04150C_A:C5_04170W_A:PSD2:PPR1:C5_05000C_A:RIM13:C6_00240C_A:DNA2:NHX1:C6_00640C_A:C6_00710W_A:C6_01050W_A:C6_01120C_A:TRA1:HOC1:MED19:C6_01850W_A:C6_01920C_A:PLB1:C6_02180W_A:ALG11:C6_02310W_A:PRP45:NAB3:C6_02690C_A:C6_02900C_A:C6_02980C_A:C6_03040C_A:FGR17:NOG2:C6_03910C_A:C6_04120C_A:ALS4:SPB1:ATM1:CDC39:C6_04340W_A:ALS2:CST5:C6_04530C_A:C7_00340C_A:C7_00520W_A:MDM12:C7_01360C_A:C7_01480W_A:MSK1:YCF1:C7_02470C_A:TEP1:C7_02670W_A:C7_03000C_A:LMO1:C7_03400C_A:C7_03500W_A:ISY1:PLC1:YAF9:ATP9:NAD3:MKC1:MMS22:CR_00490W_A:CR_00570W_A:YRB1:PWP2:CR_01080W_A:TAF10:CR_01130W_A:CR_01700C_A:MDL1:DBP2:CR_02610C_A:DRE2:CR_02680W_A:CR_02890C_A:CR_03110W_A:SYN8:YKU80:CR_03400W_A:SMC1:CR_03860C_A:WOR3:CR_03940W_A:CR_03960C_A:CR_04300W_A:DIT2:MED5:CR_05730C_A:ACO2:CR_05970C_A:CDC28:PGI1:CR_06450W_A:RRN11:POL2:ALS3:FLC2:ALK8:CR_07350W_A:ACE2:DCP2:CR_08300C_A:TSR1:CR_08980C_A:CR_09480W_A:CR_09520C_A:PCD1:SPT7:ZCF39:CR_10260W_A:PTP3	5666:5669:276:9986:5684:5655:71819:30122:97047:16035:51286:70985:5881:5759:30894:19908:1990023:5688:30685:30906:5887:32153:98562:5662:22627:30121:46695:36266:33565:30131:5681:5797:70545:71020:1990726:5960:32865:930:5778:31262:1990904:30015:5667:32299:71008:97356:31520:31211:812:795:5789:31021:31160:794:5827:35859:30874:42406:35327:61496:32301:36436:34098:61672:776:178:71957:30892:5761:62040:124:131:5768:30678:502:307:5794:16586:5938:44613:34388:34456:1990498:5680:159:30287:5637:10494:5741:778:99070:8180:70772:110085:31965:324:5762:35267:34274:31429:1904511:16514:5825:71627:44732:1903561:30686:70209:5874:1401:35658:72546:5737:5847:34967:61497:5736:51233:31521:8622:71007:10008:32545:31934:417:42729:30289:31080:45121:43596:16602:120095:97002:5769:30014:506:136:5934:1990251:98745:120104:61638:928:98753:34990:177:30446:32389:51285:70939:1990070:30061:5829:1990819:5783:31304:813:30479:5747:97587:97344:33101:5788:17119:5730:32541:5775:45025:140224:439:5846:70847:61908:5763:5628:5956:942:42645:407:796:1990304:30133:70867:785:30427:329:5816:31617:70860:1990964:71006:775:31261:97042:923:243:1990072:16593:31298:31431:932:19005:5635:5675:31931:935:71014:30688:138:5801:89713:137:31201:43332:31901:33588:31942:42175:30176:32473:5697:814:42555:30687:228:90734:62128:112:172:5935:30445:5776:30870:5686:70850:1990112:974:30905:71944:90512:71341:5656:1990071:5773:5819:70319:16020:5634:176:5576:34506:30139:5654:34424:35649:32154:31501:1990816:5886:43564:19898:32476:815:31307:5622:31410:30897:5777:30173:61499:837:133:31499:5743:9277:5933:5740:5665:5802:31314:71162:48188:30677:33553:32040:839:30904:5774:16021:16592:5770:5844:61671:72686:46540:5811:35861:70692:5876:110078:5824:44611:43224:5758:5739:89716:5822:34457:30875:35339:33263:5657:5643:1411:35974:34044:34399:5849:781:97373
140535	intracellular protein-containing complex	"67 out of 723 genes, 9.3%"	"391 out of 6473 background genes, 6.0%"	0.06373	0.25%	TRS20:PSY2:MNN11:BNI4:C1_04280C_A:C1_04960C_A:C1_05320C_A:KOG1:NPL4:C1_06910C_A:GCR3:BNI1:KIC1:CKA2:CDC7:RTS1:C2_09180W_A:UBP8:CAS4:CDC53:C3_02210C_A:C3_05790C_A:C3_05850W_A:REV3:C3_06550C_A:ECM29:C4_00500W_A:C4_00940W_A:BEM3:PRE7:C4_02850W_A:C4_02960W_A:UBR1:C4_04120C_A:AXL2:C4_05220C_A:C4_05340W_A:C4_05790W_A:SEC3:C4_06460C_A:BUD2:TFB3:C5_00760W_A:MYO1:C5_01870W_A:RPO26:C6_00640C_A:EXO84:TRA1:HOC1:C6_02310W_A:C6_03780C_A:SEC5:CDC39:C7_00520W_A:BEM2:EXO70:YAF9:LRG1:TAF10:CR_02460W_A:CR_02890C_A:CDC43:POL2:TSC11:CR_09520C_A:SPT7	5666:5669:71819:16035:51286:70985:5881:30894:5887:32153:1990303:46695:36266:930:30015:32299:812:1902716:31415:794:35327:34098:145:776:124:131:502:5794:5938:34456:1990498:5680:159:10494:778:99070:110085:16460:35267:1904511:44732:70209:5737:8540:5736:5884:31521:8622:31417:30428:30289:5769:30014:136:144:5934:120104:1990070:5829:5783:439:5846:5956:942:5953:1990304:785:30427:329:5816:775:243:1990072:16593:5940:31431:19005:5675:31931:935:43332:33588:42175:30176:112:5935:70850:1990112:71341:1990071:5634:32174:34657:31501:5886:5622:31097:142:31932:837:133:9277:5933:5665:5802:839:5770:5844:72686:5876:43224:5739:19774:5657:1411:12505
51286	cell tip	"28 out of 723 genes, 3.9%"	"125 out of 6473 background genes, 1.9%"	0.07744	0.22%	RGD1:CTA3:RAX2:BNI1:SEC2:KIC1:RTS1:CAS4:CSC25:DYN1:TEA1:BEM3:TUB4:SEC3:CEK1:BUD2:C5_00570W_A:EXO84:CST5:SAC7:BEM2:EXO70:MKC1:LRG1:FLC2:CR_07190W_A:RGD3:AXL1	9986:51286:5881:5887:32153:1990531:930:31520:5789:1902716:31021:61496:145:776:71957:131:5794:5938:159:5637:10494:110085:35838:44732:5874:5737:61497:5868:5884:31521:30428:5934:120104:928:98753:51285:5829:1990819:5783:30479:235:5628:30133:70867:30427:5816:5621:775:923:5635:935:43332:5935:71341:70319:5634:32154:5886:5622:31097:142:61499:133:9277:5933:16021:5824:5739:5822:1411:12505:35974:30286
60187	cell pole	"28 out of 723 genes, 3.9%"	"125 out of 6473 background genes, 1.9%"	0.07744	0.20%	RGD1:CTA3:RAX2:BNI1:SEC2:KIC1:RTS1:CAS4:CSC25:DYN1:TEA1:BEM3:TUB4:SEC3:CEK1:BUD2:C5_00570W_A:EXO84:CST5:SAC7:BEM2:EXO70:MKC1:LRG1:FLC2:CR_07190W_A:RGD3:AXL1	9986:51286:5881:5887:32153:1990531:930:31520:5789:1902716:31021:61496:145:776:71957:131:5794:5938:159:5637:10494:110085:35838:44732:5874:5737:61497:5868:5884:31521:30428:5934:120104:928:98753:51285:5829:1990819:5783:30479:235:5628:30133:70867:30427:5816:5621:775:923:5635:935:43332:5935:71341:70319:5634:32154:5886:5622:31097:142:61499:133:9277:5933:16021:5824:5739:5822:1411:12505:35974:30286
