GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
2253	activation of immune response	"2 out of 5 genes, 40.0%"	"2 out of 6473 background genes, 0.0%"	3.29E-05	0.00%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
50778	positive regulation of immune response	"2 out of 5 genes, 40.0%"	"2 out of 6473 background genes, 0.0%"	3.29E-05	0.00%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
2376	immune system process	"2 out of 5 genes, 40.0%"	"3 out of 6473 background genes, 0.0%"	9.87E-05	0.00%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
2684	positive regulation of immune system process	"2 out of 5 genes, 40.0%"	"3 out of 6473 background genes, 0.0%"	9.87E-05	0.00%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
50776	regulation of immune response	"2 out of 5 genes, 40.0%"	"4 out of 6473 background genes, 0.1%"	0.00019	0.40%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
2682	regulation of immune system process	"2 out of 5 genes, 40.0%"	"5 out of 6473 background genes, 0.1%"	0.00032	0.33%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
44406	adhesion of symbiont to host	"3 out of 5 genes, 60.0%"	"68 out of 6473 background genes, 1.1%"	0.00075	0.29%	SAP6:SAP5:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
22610	biological adhesion	"3 out of 5 genes, 60.0%"	"133 out of 6473 background genes, 2.1%"	0.00567	0.75%	SAP6:SAP5:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
44403	biological process involved in symbiotic interaction	"3 out of 5 genes, 60.0%"	"134 out of 6473 background genes, 2.1%"	0.0058	0.67%	SAP6:SAP5:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
44010	single-species biofilm formation	"3 out of 5 genes, 60.0%"	"135 out of 6473 background genes, 2.1%"	0.00593	0.60%	TRY5:SAP6:SAP5	52391:8643:44406:30163:44011:19538:44010:44270:15893:6807:422:44416:44419:10811:55085:6508:6357:1900189:2253:6465
42710	biofilm formation	"3 out of 5 genes, 60.0%"	"146 out of 6473 background genes, 2.3%"	0.0075	0.55%	TRY5:SAP6:SAP5	52391:8643:44406:30163:44011:19538:44010:44270:15893:6807:422:44416:44419:10811:55085:6508:6357:1900189:2253:6465
98630	aggregation of unicellular organisms	"3 out of 5 genes, 60.0%"	"146 out of 6473 background genes, 2.3%"	0.0075	0.50%	TRY5:SAP6:SAP5	52391:8643:44406:30163:44011:19538:44010:44270:15893:6807:422:44416:44419:10811:55085:6508:6357:1900189:2253:6465
98743	cell aggregation	"3 out of 5 genes, 60.0%"	"146 out of 6473 background genes, 2.3%"	0.0075	0.46%	TRY5:SAP6:SAP5	52391:8643:44406:30163:44011:19538:44010:44270:15893:6807:422:44416:44419:10811:55085:6508:6357:1900189:2253:6465
44270	cellular nitrogen compound catabolic process	"3 out of 5 genes, 60.0%"	"156 out of 6473 background genes, 2.4%"	0.00914	0.57%	SAP6:SAP5:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
8643	carbohydrate transport	"4 out of 5 genes, 80.0%"	"585 out of 6473 background genes, 9.0%"	0.02116	0.80%	TRY5:SAP6:SAP5:SAP4	52391:8643:44406:30163:44011:19538:44010:44270:15893:6807:422:44416:44419:10811:55085:6508:6357:1900189:42783:2253:6465
52173	response to defenses of other organism	"2 out of 5 genes, 40.0%"	"46 out of 6473 background genes, 0.7%"	0.03363	1.00%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
52200	response to host defenses	"2 out of 5 genes, 40.0%"	"46 out of 6473 background genes, 0.7%"	0.03363	0.94%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
75136	response to host	"2 out of 5 genes, 40.0%"	"46 out of 6473 background genes, 0.7%"	0.03363	0.89%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
43207	response to external biotic stimulus	"2 out of 5 genes, 40.0%"	"47 out of 6473 background genes, 0.7%"	0.03511	0.95%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
51707	response to other organism	"2 out of 5 genes, 40.0%"	"47 out of 6473 background genes, 0.7%"	0.03511	0.90%	SAP6:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
48518	positive regulation of biological process	"4 out of 5 genes, 80.0%"	"743 out of 6473 background genes, 11.5%"	0.05402	0.95%	PCL1:TRY5:SAP6:SAP4	52391:8643:44406:30163:32878:44011:19538:79:44010:31106:34605:44270:6487:70887:15893:6807:422:6696:44416:44419:10811:55085:36171:6508:6357:1900189:42783:35690:2253:16239:6465
44419	biological process involved in interspecies interaction between organisms	"3 out of 5 genes, 60.0%"	"340 out of 6473 background genes, 5.3%"	0.09157	1.64%	SAP6:SAP5:SAP4	8643:52391:44406:30163:19538:44010:44270:15893:6807:44416:44419:55085:6508:42783:2253:6465
