GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
30427	site of polarized growth	"122 out of 2105 genes, 5.8%"	"192 out of 6473 background genes, 3.0%"	2.20E-16	0.00%	KEL1:PHR2:MOB2:SEP7:GSC1:ENG1:BNI4:TUS1:SOG2:C1_07590C_A:SMI1:BUD6:C1_08180C_A:C1_08540C_A:PCL2:SWE1:CBK1:C1_10540C_A:PEA2:GIN4:CTA3:KIP4:MSO1:RAX2:SPA2:BNI1:SEC2:CHS3:KAR9:SLA1:MSB2:ROM2:PAN1:STE11:KIC1:C2_05040C_A:CDC15:BUD14:C2_05270W_A:C2_05580W_A:MKK2:RTS1:DBF2:ARP3:VRP1:C2_08020C_A:RSP5:RAS1:C3_00790W_A:MSS4:CAS4:PKC1:RAX1:C3_05420W_A:YCK2:CHS4:KRE6:PBS2:HST6:C3_06610W_A:C4_00420C_A:BEM1:RGA2:BEM3:ABP1:C4_03110W_A:AXL2:C4_04240C_A:ZDS1:FAV1:SSK2:MYO5:C4_06130W_A:SEC3:CEK1:BUD2:C5_00570W_A:C5_00760W_A:SNF1:MYO1:RCY1:CDC24:CST20:INT1:HSL1:C5_03170C_A:GRR1:SSD1:C6_00260W_A:FIG1:ACF2:C6_02090C_A:HRR25:WSC2:SAC6:SHE3:RVS167:C6_04100W_A:C7_00410C_A:BEM2:IQG1:CRN1:EXO70:SEC1:C7_03480W_A:BNR1:KIN2:LRG1:CR_01180W_A:BOI2:RSR1:INN1:RHO1:HST7:SRV2:BUD5:CR_07190W_A:RGD3:CHS2:AXL1:WAL1:CHT3	99079:5628:72324:9986:44853:30122:407:46658:30133:70867:51286:329:5881:30427:5816:5621:35839:1990964:775:1990023:120106:5887:35841:32153:151:31560:148:44697:5940:1990531:31562:932:19005:5635:935:30140:30688:930:32177:71958:31201:43332:1400:31520:30176:110115:1902716:32432:30134:5875:120105:228:5935:145:776:30445:1990873:5768:131:307:32178:5794:5938:5856:71944:71341:159:70319:16020:5634:32168:10494:5576:32174:5885:778:30139:110085:31965:32154:120155:324:8290:1990528:31234:5886:16460:35838:44732:1903561:5641:71521:5622:5737:31097:142:936:5777:1990615:35840:31561:5884:31521:133:10008:9277:31588:5933:30428:5937:5802:61645:90726:45121:35842:33551:5774:144:5934:16021:70250:5770:120104:72686:5876:45009:30446:51285:1990315:5829:71561:34973:1990819:5783:45160:120171:30479:33101:5643:5730:32541:1411:140224:12505:35974:34399
5933	cellular bud	"102 out of 2105 genes, 4.8%"	"153 out of 6473 background genes, 2.4%"	1.28E-15	0.00%	KEL1:MOB2:SEP7:BNI4:TUS1:RGD1:SOG2:IST2:C1_07590C_A:SMI1:BUD6:C1_08180C_A:C1_08540C_A:PCL2:SWE1:CLA4:CBK1:C1_10540C_A:PEA2:GIN4:CTA3:KIP4:MSO1:RAX2:SPA2:BNI1:SEC2:CHS3:KAR9:AMN1:ROM2:KIC1:C2_05040C_A:CDC15:BUD14:C2_05270W_A:C2_05580W_A:MKK2:RTS1:DBF2:LTE1:VRP1:C2_08020C_A:RSP5:ASH1:C3_00790W_A:CAS4:RAX1:C3_05420W_A:YCK2:CHS4:PBS2:C3_06610W_A:C4_00420C_A:BEM1:RGA2:BEM3:AXL2:C4_04240C_A:PHR1:ZDS1:SSK2:MYO5:C4_06130W_A:SEC3:BUD2:C5_00760W_A:SNF1:MYO1:CDC24:INT1:HSL1:C5_03170C_A:C5_03960W_A:GRR1:SSD1:C6_00260W_A:C6_02090C_A:HRR25:WSC2:SHE3:RVS167:C6_04100W_A:CSA1:C7_00410C_A:BEM2:IQG1:EXO70:SEC1:C7_03480W_A:BNR1:KIN2:LRG1:CR_01180W_A:BOI2:RSR1:INN1:RHO1:BUD5:AXL1:WAL1:CHT3	5628:9986:44853:30122:407:46658:30133:51286:329:5881:30427:5816:5621:35839:775:1990023:35841:5887:32153:151:31560:148:44697:33698:5940:31562:932:19005:5635:935:30688:930:32177:71958:31201:43332:1400:30176:110115:1902716:5875:120105:228:5935:145:776:30445:1990873:131:307:32178:5794:5938:71944:71341:159:70319:16020:5634:32168:10494:5576:32174:778:110085:31965:32154:120155:324:8290:1990528:31234:16460:5886:35838:44732:1903561:5641:5737:5622:142:31097:5777:1990615:31561:5884:31521:133:10008:31588:9277:5933:5937:30428:61645:90726:45121:35842:33551:5774:144:5934:16021:70250:5770:72686:120104:98753:45009:30446:51285:1990315:5829:71561:34973:5783:120171:45160:30479:33101:5730:32541:140224:1411:12505:35974:34399
5935	cellular bud neck	"80 out of 2105 genes, 3.8%"	"121 out of 6473 background genes, 1.9%"	1.33E-11	0.00%	KEL1:MOB2:SEP7:BNI4:TUS1:C1_07590C_A:SMI1:BUD6:C1_08180C_A:C1_08540C_A:PCL2:SWE1:CBK1:C1_10540C_A:PEA2:GIN4:CTA3:KIP4:MSO1:RAX2:SPA2:BNI1:SEC2:CHS3:KAR9:C2_05040C_A:CDC15:BUD14:C2_05270W_A:C2_05580W_A:MKK2:RTS1:DBF2:VRP1:C2_08020C_A:C3_00790W_A:RAX1:C3_05420W_A:YCK2:CHS4:PBS2:C3_06610W_A:C4_00420C_A:BEM1:RGA2:AXL2:C4_04240C_A:ZDS1:SSK2:MYO5:SEC3:BUD2:C5_00760W_A:SNF1:MYO1:CDC24:INT1:HSL1:C5_03170C_A:GRR1:SSD1:C6_00260W_A:C6_02090C_A:HRR25:C6_04100W_A:C7_00410C_A:IQG1:EXO70:SEC1:C7_03480W_A:BNR1:KIN2:LRG1:BOI2:RSR1:INN1:RHO1:BUD5:AXL1:CHT3	5628:9986:44853:30122:407:30133:51286:329:5881:30427:5816:5621:35839:775:1990023:35841:5887:32153:31560:148:44697:5940:31562:932:19005:5635:935:30688:930:32177:71958:31201:43332:1400:30176:110115:1902716:5875:120105:228:5935:145:776:1990873:131:307:32178:5794:5938:71944:71341:159:70319:16020:5634:32168:10494:5576:32174:778:110085:31965:32154:120155:324:16460:5886:35838:44732:1903561:5641:5737:5622:142:31097:5777:1990615:31561:5884:31521:133:31588:9277:5933:5937:30428:61645:90726:35842:33551:5774:144:5934:16021:5770:72686:120104:45009:51285:1990315:5829:71561:34973:5783:120171:45160:30479:33101:5730:32541:1411:35974:34399
5634	nucleus	"577 out of 2105 genes, 27.4%"	"1410 out of 6473 background genes, 21.8%"	2.07E-11	0.00%	TUP1:RCA1:C1_00160C_A:PHR2:APC1:MOB2:UGA32:HGC1:NRM1:LRO1:NMA111:C1_01130W_A:ZCF17:C1_01180C_A:HOT1:C1_01470W_A:ESP1:ARP8:SWI4:C1_01820C_A:C1_01860W_A:C1_01890C_A:SHA3:PSY2:C1_02450C_A:RSC2:C1_02850W_A:CDC73:ORC1:ARO80:C1_03360W_A:C1_03370W_A:SUA71:HFL1:WAR1:SKO1:HMG1:ELA1:C1_03830C_A:SEN15:C1_04120C_A:C1_04200C_A:RPN4:PHO85:CHL4:RPM2:C1_04960C_A:RRP6:C1_05420W_A:SPT20:C1_05750C_A:C1_05930C_A:C1_06030C_A:C1_06090C_A:HAC1:PUT3:C1_07050C_A:RTT102:C1_07090C_A:TAF145:RME1:CPH1:C1_07490C_A:LHP1:C1_07660W_A:ZCF4:HAP2:C1_07690C_A:C1_07850C_A:C1_07960W_A:IRE1:C1_07980C_A:C1_08180C_A:CAT8:CCR4:MED15:DIP2:NOT5:UPC2:PCL2:SWI6:C1_08700W_A:MSN4:HST1:ARG81:ZCF28:CTA8:LYS143:PTC1:TFA1:HCM1:CPP1:SWE1:C1_10080W_A:C1_10120C_A:WOR1:CLA4:C1_10330C_A:CBK1:APN2:RTG3:C1_11150W_A:HAP43:C1_11250W_A:C1_11300C_A:TOS4:GIN4:GIN1:ZCF3:C1_11900C_A:ZCF30:CDC6:SNT1:C1_12350W_A:C1_12370W_A:C1_12750C_A:C1_12840W_A:RPN1:STP2:C1_13380W_A:KEM1:KNS1:NUP49:C1_13560W_A:ROB1:CUP2:KAR9:C1_14080W_A:SET3:C1_14190C_A:RSC8:RIM101:MLH3:C1_14470W_A:RRN3:NDT80:HIR1:CDH1:ZCF9:BCY1:NOT3:C2_01220W_A:RPN9:NRI1:C2_01490C_A:C2_01530C_A:SMP2:SLA1:HAP42:HSK3:C2_01730W_A:C2_01820C_A:PRP39:RAD23:C2_01870C_A:CTF1:AMN1:SNF2:C2_02150C_A:HEX3:OPI1:C2_02300W_A:SAC3:C2_02500W_A:NSP1:PAN1:NBN1:RAD32:STE11:C2_03900C_A:SCH9:TAF14:SSN3:C2_04500W_A:C2_04620W_A:SNU114:YAK1:C2_04700C_A:C2_04770W_A:C2_04870C_A:SGO1:C2_05220C_A:C2_05270W_A:CDC7:RXT3:C2_05530C_A:C2_05540C_A:C2_05590C_A:C2_05860C_A:MAK16:RTS1:C2_06490W_A:C2_06650C_A:C2_06660W_A:C2_06780C_A:FHL1:SNF12:C2_07110C_A:RCK2:AFT2:TPK2:ZCF10:TOR1:MCM3:TAF4:C2_07520C_A:SWR1:MAF1:EAF3:STN1:RSP5:GTR1:C2_08630C_A:MSH3:C2_08720W_A:PIR1:STB3:CDC47:C2_09180W_A:KIS1:KAR3:RHA1:PMS1:C2_09930W_A:GCN4:C2_09970C_A:C2_10050W_A:RAP1:CWC22:UBP8:PHO23:SET2:PUS7:SPT23:ZSF1:SGS1:GAL4:ASH1:C2_10740C_A:ESA1:FKH2:C3_00940W_A:MSS4:UTP20:C3_01210C_A:ZCF8:C3_01560W_A:ZCF7:PPT1:C3_01800C_A:UTP4:CAP1:C3_02260C_A:C3_02350W_A:MED7:STH1:DDC1:ZCF1:SMC3:C3_03100C_A:C3_03300C_A:C3_03560W_A:C3_03670W_A:ZCF16:MBP1:C3_04230W_A:SNF5:POL1:PKC1:TEC1:STP1:ZCF31:C3_04700W_A:SEN1:SFP1:C3_04870W_A:NOP14:C3_04920C_A:C3_04970C_A:FGR44:C3_05060W_A:C3_05150W_A:WOR2:TEA1:KIP3:SSN8:CRZ1:C3_05800W_A:C3_05860C_A:C3_05880C_A:ZCF35:CTA4:ASE1:HAL3:AHR1:CAM1:C3_06150W_A:ISW2:C3_06440W_A:AAF1:C3_06550C_A:TAF12:FCR1:SSN6:RRD1:ZFU2:NOP13:TCC1:C3_07630C_A:WOR4:SWI1:PTC7:C4_00460C_A:ZCF21:MDN1:MLP1:C4_01130C_A:ASK1:CAS5:RLM1:C4_01280C_A:ZCF27:C4_01650C_A:C4_01720C_A:TFG1:C4_02400C_A:C4_02430W_A:ZCF15:ADR1:ARG83:RGT1:C4_02600C_A:HFL2:SAS10:RPC53:C4_03290W_A:DOT4:RAD2:C4_03740W_A:NUP84:C4_03850W_A:PTP2:MET4:C4_04120C_A:BAS1:FAV1:CSR1:C4_04870C_A:CDL1:SRB8:HAP41:NBP35:C4_05180C_A:C4_05220C_A:C4_05230C_A:C4_05260W_A:C4_05330C_A:C4_05340W_A:PHO4:C4_05740C_A:CGT1:GAT1:MPH1:NUP60:C4_06410W_A:C4_06450W_A:CEK1:PRI2:CDC68:PDC11:TOP2:CZF1:CTA6:C4_07100C_A:C4_07150W_A:C4_07220C_A:VID21:BDF1:SKN7:RMT2:HAP5:CLN3:SNF1:HST3:SPO1:SPB4:C5_01610W_A:CCN1:RCY1:HAL9:TAC1:C5_01890W_A:CDC24:LEU3:CST20:ZCF22:C5_02480W_A:CTA7:C5_02750C_A:MIG1:C5_03010W_A:SUT1:MED14:PCL1:ZCF14:ZCF13:C5_03550W_A:C5_03560W_A:C5_03830C_A:GLN3:GRR1:C5_04640C_A:SSD1:SFL2:C5_04840C_A:PPR1:GRF10:PRP22:CPH2:NOP5:RAD52:C6_00640C_A:CDC20:CIC1:C6_01220C_A:TRA1:C6_01590W_A:PTK2:RAD18:ZCF18:C6_01890C_A:C6_01920C_A:C6_02280W_A:C6_02300C_A:C6_02310W_A:IPL1:HRR25:C6_02350C_A:C6_02430W_A:PRP45:NAB3:C6_02690C_A:LYS14:RBF1:C6_02930W_A:C6_02980C_A:C6_03290W_A:ARP4:C6_03420W_A:C6_03460W_A:C6_03550C_A:POP2:PHO80:NUP82:SNF4:PBP2:C6_04100W_A:C6_04120C_A:CDC39:NOP8:FLO8:GLE2:TSM1:GBP2:C7_00520W_A:RTF1:RIM15:C7_00780W_A:C7_00790W_A:MCM1:C7_00910C_A:YOX1:C7_01030C_A:DBP7:PSF1:C7_01400C_A:RAD14:LIG1:C7_02170C_A:C7_02860C_A:DBF4:SAP190:HHO1:ZCF29:MED16:ENP2:ENP1:PLC1:YAF9:OGG1:NRG1:SPT6:EPL1:REP1:CR_00230W_A:SWC4:PHO81:VHR1:PWP2:TRM1:DAL81:CR_01050C_A:CR_01080W_A:TAF10:CDC27:CR_01490C_A:SAS3:CR_01700C_A:IFU5:CET1:MCM6:SEF1:CR_02510W_A:CR_02550C_A:ASG1:CR_02590C_A:CR_02610C_A:CR_02680W_A:RRP9:CR_02770C_A:GZF3:CR_02890C_A:CR_02930W_A:SRP40:RPL28:ZCF11:DPS1-1:NOT4:CR_03700C_A:TAL1:ULP2:MCM2:WOR3:HST7:TAF12L:CR_04020C_A:MEX67:CR_04110W_A:EAF7:CR_04450C_A:CR_04720C_A:MED5:CWT1:CR_05560W_A:SRR1:SFL1:SOK1:PPZ1:BCR1:CR_06450W_A:RRN11:HSP60:CR_06840W_A:DSL1:CR_06970C_A:ACE2:ECM22:EFG1:DCP2:CR_08290W_A:CR_08330W_A:PRP8:CR_08900C_A:MPS1:CR_08980C_A:CR_09480W_A:CR_09490W_A:CR_09520C_A:SSF1:MED21:CR_09800C_A:UGA3:SPT7:CR_10230W_A:PTP3:MCD1:RPO21	5666:5673:5684:5669:9986:1990143:118:71819:46658:97047:31533:51286:70985:5881:70210:5759:19908:1990023:5688:33597:30685:32153:98562:22627:42272:46695:5681:33768:8541:1990726:1990131:71010:8287:31262:1990904:34515:30015:5667:32299:1990860:71008:97356:1904564:5853:795:812:1902716:5789:35371:31595:794:44612:30874:42406:35101:5875:35327:811:120105:5880:8023:61496:783:70187:36436:61672:776:1990467:34455:178:62040:30892:124:5768:131:30678:307:5794:16586:5782:5938:44613:5856:34388:71261:5685:1905754:1990498:159:5680:1990879:5637:10494:5741:778:99070:110085:5658:31965:324:31234:35267:786:1904511:1990385:16514:5825:44732:5952:1903561:70209:30686:922:5641:71004:71521:152:5737:5847:32221:34967:70390:8540:936:51233:35840:214:71007:8622:10008:71782:5729:31934:417:42729:30289:30428:31510:31080:45121:43596:16602:30014:144:44614:5934:1990251:71513:98745:90575:72380:800:34990:177:17054:30446:5694:32389:51285:70939:5829:71561:33309:36437:31422:5783:120171:30479:97587:97344:235:32302:5730:32541:140224:439:33203:70847:61673:5628:942:30692:42645:407:445:31966:785:5671:30427:329:5816:31617:5621:34064:70860:1990964:31261:775:71006:43601:22625:43189:35841:5664:243:779:1990526:17053:31463:151:16593:33698:31298:5940:5840:97505:42764:31431:70823:31511:19005:932:70449:5635:32133:5675:31931:935:71014:30688:89713:43332:33588:72687:42175:30176:110115:31011:42555:97550:30896:30134:110:30687:228:112:5935:5639:30445:30870:5686:70850:446:48471:974:97038:5682:44615:71944:5656:71341:90512:5773:48189:31428:5819:16020:5634:176:70822:32116:5576:34506:5838:33186:30139:5654:34448:35649:32154:500:46809:5886:15934:19898:1990468:33100:5674:5622:142:31097:5777:31932:837:8623:32777:71821:123:30684:9277:31588:5933:5740:5828:5665:1990527:19897:71162:31314:31902:90726:15630:48188:30677:33553:32040:55028:71021:33551:5774:16021:5844:16592:72686:46540:5811:35861:70692:5876:44611:5758:43224:5872:5739:30907:89716:941:5657:5643:111:70274:1411:36449:35974:34399:5849:781:97373
5938	cell cortex	"98 out of 2105 genes, 4.7%"	"162 out of 6473 background genes, 2.5%"	7.44E-11	0.00%	KEL1:MOB2:CMP1:SIZ1:SEP7:GSC1:BNI4:C1_04200C_A:RGD1:C1_07440W_A:IST2:BBC1:BUD6:C1_08180C_A:C1_10090C_A:CBK1:C1_10540C_A:PEA2:C1_11250W_A:GIN4:CTA3:LCB4:SPA2:BNI1:SEC2:KAR9:C2_01390W_A:SLA1:SPR3:ROM2:PAN1:SCP1:DBF2:LSP1:ARP3:VRP1:KAR3:RAS1:KIP2:C3_00790W_A:C3_01510W_A:CAS4:PIN3:TEA1:HST6:C3_06610W_A:EVP1:C4_00420C_A:C4_00780C_A:BEM1:RGA2:BEM3:ABP1:OSH3:AXL2:C4_04800W_A:SSK2:MYO5:C4_06130W_A:SEC3:C5_00760W_A:SNF1:MYO1:CDC24:CST20:INT1:HSL1:C5_03170C_A:GRR1:C6_00260W_A:SLM2:SAC6:RVS167:NAG6:SAC7:C7_00410C_A:C7_00670C_A:BEM2:IQG1:CRN1:EXO70:C7_03480W_A:SLA2:BNR1:CR_00600C_A:CR_01180W_A:RSR1:CR_02210W_A:INN1:SRV2:CR_06640C_A:CR_07190W_A:RGD3:TSC11:CR_08290W_A:CR_08980C_A:CR_09520C_A:WAL1	99079:9986:44853:36286:51286:5881:1990023:120106:5887:32153:31560:44697:110131:31562:5955:930:32177:31520:1902716:35371:5875:5880:120105:776:145:5768:131:5794:5938:1990498:10494:1903754:778:99070:110085:31965:120155:16460:1904511:35838:44732:1903561:922:5641:71521:5737:936:51233:5884:31521:71782:30428:61645:45121:144:5934:120104:98753:51285:1990315:5829:1990819:5783:120171:45160:30479:33101:235:5730:32541:140224:61673:5628:942:30133:329:30427:5816:5621:1990964:35841:9898:148:5940:19005:5635:935:43332:1400:30176:110115:32432:36362:31105:5935:70850:97038:71341:32126:5819:70319:16020:5634:32168:32174:5885:30139:5619:32154:8290:1990528:5886:5622:142:31097:1990615:31561:31932:133:9277:31588:5933:90726:15630:55028:5774:16021:5770:72686:5876:34973:5872:5739:5643:36449:1411:12505:35974
131	incipient cellular bud site	"43 out of 2105 genes, 2.0%"	"60 out of 6473 background genes, 0.9%"	2.97E-07	0.00%	BNI4:TUS1:SOG2:SMI1:BUD6:PCL2:CBK1:PEA2:GIN4:KIP4:SPA2:RPG1A:BNI1:CHS3:ROM2:KIC1:BUD14:VRP1:CAS4:CHS4:BEM1:BEM3:CRH11:AXL2:C4_04240C_A:ZDS1:SSK2:SEC3:BUD2:C5_00760W_A:MYO1:CDC24:CST20:PCL1:C6_02090C_A:BEM2:EXO70:SLA2:LRG1:CR_01180W_A:RSR1:RHO1:BUD5	9986:46658:51286:5887:32153:31560:31562:930:1902716:5875:120105:145:131:307:5794:5938:10494:110085:16460:44732:1903561:71521:5737:5884:31521:30428:144:5934:120104:45009:30446:51285:1990315:5829:120171:30479:5730:5628:329:30427:5816:148:5940:935:43332:110115:71541:5935:30445:43614:71944:71341:16020:5634:32168:5576:32174:32154:8290:5886:16282:5622:142:31097:5777:1990615:31561:133:9277:5933:90726:5774:16021:71540:5770:72686:5876:5852:1411:12505
5934	cellular bud tip	"45 out of 2105 genes, 2.1%"	"66 out of 6473 background genes, 1.0%"	1.56E-06	0.00%	KEL1:MOB2:BUD6:PCL2:CBK1:C1_10540C_A:PEA2:CTA3:KIP4:MSO1:SPA2:BNI1:SEC2:KAR9:ROM2:BUD14:C2_05270W_A:MKK2:RSP5:PBS2:C4_00420C_A:BEM1:BEM3:C4_04240C_A:ZDS1:SSK2:MYO5:C4_06130W_A:SEC3:C5_00760W_A:CDC24:C6_00260W_A:C6_02090C_A:HRR25:SHE3:RVS167:C6_04100W_A:BEM2:EXO70:SEC1:C7_03480W_A:KIN2:LRG1:CR_01180W_A:RHO1	44853:51286:5881:1990023:32153:31560:31562:32177:1902716:5875:145:131:307:5794:5938:10494:778:110085:31965:31234:35838:44732:1903561:5737:5884:31521:10008:30428:61645:144:5934:120104:51285:1990315:5829:71561:5783:120171:45160:30479:33101:5628:407:30133:329:30427:5816:35839:775:35841:151:148:5635:935:30688:31201:43332:1400:30176:228:5935:1990873:32178:71944:71341:70319:16020:5634:32168:32154:8290:1990528:5886:5622:31097:142:5777:1990615:31561:133:5933:90726:35842:33551:16021:5770:72686:1411:12505:35974:34399
785	chromatin	"80 out of 2105 genes, 3.8%"	"150 out of 6473 background genes, 2.3%"	4.75E-05	0.00%	RCA1:ARP8:RSC2:CDC73:C1_03360W_A:BRG1:C1_05750C_A:C1_06400C_A:RTT102:C1_08700W_A:HST1:WOR1:C1_10330C_A:SNT1:ROB1:C1_14080W_A:SET3:RSC8:NDT80:NRI1:SNF2:C2_03900C_A:SCH9:TBF1:TAF14:C2_04620W_A:C2_04770W_A:CDC7:RXT3:FHL1:SNF12:C2_07110C_A:SWR1:EAF3:C2_08630C_A:C2_08720W_A:RAP1:PHO23:ASH1:CSE4:C3_01210C_A:STH1:C3_03670W_A:SNF5:TEC1:SEN1:ISW2:SWI1:C4_01130C_A:C4_02600C_A:C4_06450W_A:CDC68:TOP2:BDF1:HST3:IFH1:C5_03560W_A:C6_01220C_A:TRA1:C6_02280W_A:C6_02430W_A:C6_03290W_A:ARP4:C6_03550C_A:C7_00520W_A:RTF1:MCM1:C7_00910C_A:DBF4:HHO1:YAF9:SPT6:SWC4:CR_04720C_A:BCR1:CR_06450W_A:CR_06970C_A:EFG1:CR_09490W_A:CTA26	5666:5669:118:97047:70210:46695:97356:795:812:30874:35101:35327:5880:8023:70187:36436:776:1990467:34455:124:16586:35267:786:16514:70209:30686:5737:32221:34967:5729:31934:5829:33309:36437:5730:785:329:775:43189:16593:33698:31298:31431:70823:30688:31011:228:5682:48189:5634:70822:34506:33186:43505:35649:1990468:33100:5674:8623:123:5933:1990527:33553:32040:16592:35861:30907:5657:34399
32153	cell division site	"62 out of 2105 genes, 2.9%"	"113 out of 6473 background genes, 1.7%"	0.00037	0.00%	PHR2:MOB2:CMP1:SEP7:GSC1:ENG1:BNI4:C1_04200C_A:RGD1:C1_06090C_A:SOG2:CBK1:GIN4:CTA3:BNI1:SEC2:ROM2:STE11:MKK2:RTS1:DBF2:ARP3:RAS1:C3_00790W_A:MSS4:CAS4:PKC1:DNM1:C3_06610W_A:C4_00420C_A:BEM1:RGA2:AXL2:MYO5:SNF1:MYO1:RCY1:CDC24:CST20:INT1:HSL1:C5_03170C_A:GRR1:C6_00260W_A:HRR25:SAC6:RVS167:SAC7:C7_00410C_A:IQG1:CRN1:C7_03480W_A:BNR1:KIN2:RSR1:INN1:RHO1:HST7:SRV2:CR_07190W_A:RGD3:WAL1	99079:9986:44853:46658:51286:120106:5887:32153:44697:5955:930:32177:31520:1902716:120105:776:5768:131:5794:5938:5856:159:10494:5741:110085:31965:120155:16460:35838:44732:1903561:5641:71521:5737:936:35840:5884:31521:71782:30428:61645:45121:144:5934:120104:98753:30446:51285:5829:1990819:5783:120171:45160:30479:5730:32541:140224:5628:407:30133:329:30427:5816:5621:35839:775:35841:148:5940:19005:5635:935:30688:43332:1400:110115:32432:30134:228:5935:30445:1990873:32178:71341:70319:16020:5634:32174:5576:5885:30139:32154:1990528:5886:5622:142:31097:5777:133:31588:9277:5933:90726:35842:33551:5774:16021:72686:5876:34973:5739:5643:1411:35974:34399
140535	intracellular protein-containing complex	"172 out of 2105 genes, 8.2%"	"391 out of 6473 background genes, 6.0%"	0.00038	0.00%	APC1:RPO41:CMP1:C1_01130W_A:C1_01820C_A:PSY2:MNN11:CDC73:C1_03360W_A:HFL1:ELA1:BNI4:C1_04280C_A:TUS1:TCO89:C1_04960C_A:SPT20:KOG1:RTT101:NPL4:TAF145:SOG2:C1_07490C_A:C1_07850C_A:SMI1:BUD6:CCR4:NOT5:PCL2:TFA1:C1_10120C_A:CBK1:PEA2:GIN4:KIP4:GSG1:C1_12570C_A:SPA2:RPG1A:BNI1:CHS3:RPN1:KIS2:DOA4:CDH1:BCY1:NOT3:RPN9:C2_01490C_A:HEX3:C2_02500W_A:ROM2:NBN1:TAF14:KIC1:BUD14:CDC7:PMT4:RTS1:TPK2:TOR1:TAF4:VRP1:EAF3:RSP5:C2_08630C_A:C2_08920W_A:C2_09180W_A:KIS1:SGT1:UBP8:ESA1:CAS4:PPH21:C3_03100C_A:POL1:C3_04870W_A:C3_04970C_A:CHS4:MUB1:C3_06550C_A:C3_06560W_A:TAF12:C4_00940W_A:BEM1:C4_01470W_A:C4_01560C_A:TFG1:BEM3:RPC53:CRH11:RPN6:C4_03920W_A:C4_04120C_A:AXL2:C4_04240C_A:ZDS1:SSK2:C4_05220C_A:C4_05250W_A:C4_05260W_A:C4_05340W_A:C4_05790W_A:SEC3:C4_06460C_A:PRI2:CTA6:VID21:BUD2:C5_00760W_A:SNF1:MYO1:CDC24:CST20:C5_02450W_A:PCL1:C5_03570W_A:C5_03830C_A:GRR1:C6_00640C_A:CDC20:TRA1:C6_01550C_A:C6_01590W_A:RAD18:C6_02090C_A:C6_02300C_A:C6_02310W_A:C6_03050C_A:ARP4:POP2:C6_03780C_A:SNF4:CDC39:TSM1:C7_00520W_A:RTF1:GCN3:BEM2:EXO70:C7_02860C_A:DBF4:C7_03240W_A:YAF9:SLA2:C7_03840W_A:EPL1:CR_00370W_A:SWC4:LRG1:TAF10:CR_01180W_A:CDC27:SAS3:RSR1:RHO1:CR_02890C_A:NOT4:TAF12L:EAF7:CR_04450C_A:CR_05460W_A:CR_05560W_A:CR_06470W_A:BUD5:TSC11:CR_07920W_A:CR_09520C_A:SPT7:CR_10230W_A:CR_10290C_A:RPO21	5666:5673:9986:5669:71819:46658:51286:70985:5881:5759:30894:33597:5887:32153:31560:36266:46695:33768:97586:31562:8541:5955:930:34515:30015:32299:812:1902716:5789:31595:794:30874:34245:5875:35327:30136:120105:34098:145:776:1990467:44695:124:5768:131:502:307:5794:5938:1905754:1990498:159:5680:5637:10494:778:99070:110085:5658:324:31234:16460:35267:1904511:16514:44732:5952:1903561:70209:5641:71521:152:5737:32221:8540:5884:31521:8622:10008:31934:30428:30289:31225:43596:5769:30014:136:144:5934:838:120104:45009:30446:51285:1990315:5829:328:5783:120171:30479:5730:439:5628:942:42645:407:1990304:5671:785:30427:329:5816:34064:775:5851:43189:1990072:151:31463:148:16593:5940:97505:31431:932:70449:19005:5635:31931:5675:935:43332:33588:42175:30176:110115:31011:71541:97550:112:5935:30445:70850:1990112:48471:43614:71944:1990071:71341:16020:5634:32168:5576:32174:34657:5838:32154:35361:31501:8290:5886:19898:1990468:16282:33100:5674:32045:5622:142:31097:31410:5777:1990615:31561:31932:837:32777:133:123:9277:31588:5933:5665:5802:90726:306:839:5774:16021:71540:5770:16592:72686:35861:5876:43224:5760:5739:5852:5657:1411:12505:34399
