GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
16020	membrane	"148 out of 434 genes, 34.1%"	"1316 out of 6473 background genes, 20.3%"	7.29E-10	0.00%	ENA2:RIC1:C1_01050C_A:HSP31:C1_02490C_A:DIP5:PUT4:YKT6:C1_03470C_A:C1_04200C_A:C1_04280C_A:GPI7:GPT1:KOG1:C1_05490C_A:GSL1:HAK1:PGA63:GAP4:IST2:C1_07590C_A:OPY2:ENO1:C1_08780W_A:TPO3:KEX2:C1_09210C_A:VPS41:SAC1:IRA2:CHS3:HSP70:KIS2:MYO2:C2_00190C_A:POM152:C2_00540W_A:HGT7:HGT8:HGT6:C2_02440W_A:C2_02490C_A:C2_02570W_A:EFT2:CHK1:DCK1:ITR1:PEX2:VPS35:CNT:PMT4:GSP1:SPF1:OPT5:C2_09620W_A:C2_10790C_A:GLO3:C3_00390W_A:C3_00570C_A:ERG4:MNT1:MNT2:MEP1:C3_02690C_A:C3_03760W_A:AAP1:MEA1:C3_04780C_A:NCE102:HGT4:ATG9:DIE2:GPI1:C3_06050C_A:HST6:C3_06520C_A:JEN1:PMT2:C3_07170C_A:C3_07230W_A:EVP1:CNH1:ATP2:TOK1:HGT17:ERG251:CLC1:GPI14:C4_03110W_A:AXL2:C4_04230W_A:SAP10:PMT6:SEC23:VPS11:VPS13:ZRT101:C5_00570W_A:PET9:TFS1:C5_01170W_A:SGE1:CFL5:C5_01410C_A:C5_01420W_A:CEF3:C5_03080C_A:C5_03940C_A:C5_03960W_A:MAL31:GNP1:ATG15:SEC12:COQ3:C6_01870C_A:CHC1:SEC20:C6_03620C_A:HGT10:SNQ2:C6_04440C_A:C6_04470C_A:NAG6:HGT12:PHM5:KCH1:NUC2:C7_01990C_A:YCF1:C7_03040W_A:C7_03050W_A:TIM54:C7_04160W_A:GSL2:ATP3:CR_01770C_A:OPT1:GEF2:CR_03730C_A:HGT3:SEC26:GPI2:CR_04610C_A:ADP1:CR_07350W_A:CR_07660C_A:GNP3:FAA4	97584:5628:9986:30122:407:46658:31966:30133:70867:51286:329:71563:30906:5887:32153:43541:148:30126:44284:5840:5797:45261:97586:1990531:5635:31931:1990529:935:30140:31227:31982:5801:5778:15:44232:43332:31201:42175:30176:31211:139:5789:1902716:32432:30134:42406:5935:30445:44695:62040:5768:131:5794:5938:32126:31305:16020:5634:61617:10494:5576:30117:31965:324:31501:1990816:16459:5886:5756:1990429:19898:35838:97582:71627:1903561:5641:72546:32045:5737:5622:31941:31097:31410:34066:30897:5777:30173:31521:9365:30132:71782:5743:9277:31588:30130:5754:97575:5937:5802:30428:22626:31225:1990530:30127:90726:70762:45121:30904:5774:506:30659:5934:144:16021:70250:5770:5811:45009:5968:30446:51285:70939:5829:328:71561:1990819:30137:5739:5783:30479:5779:33101:35339:33263:5643:32541:5775:12505:5785:42721:34993:61908
5886	plasma membrane	"68 out of 434 genes, 15.7%"	"467 out of 6473 background genes, 7.2%"	8.70E-08	0.00%	ENA2:DIP5:GPI7:KOG1:GSL1:GAP4:IST2:C1_07590C_A:OPY2:ENO1:TPO3:C1_09210C_A:HSP70:C2_00190C_A:POM152:HGT7:HGT8:HGT6:EFT2:DCK1:ITR1:CNT:PMT4:SPF1:OPT5:C3_00570C_A:MNT1:MEP1:MEA1:NCE102:HGT4:HST6:JEN1:PMT2:C3_07170C_A:EVP1:CNH1:ATP2:TOK1:HGT17:ERG251:CLC1:C4_03110W_A:AXL2:SAP10:C5_00570W_A:PET9:CFL5:C5_01420W_A:CEF3:C5_03960W_A:GNP1:CHC1:C6_03620C_A:HGT10:SNQ2:C6_04440C_A:HGT12:KCH1:NUC2:GSL2:ATP3:OPT1:GEF2:HGT3:SEC26:CR_07660C_A:FAA4	5628:97584:9986:30122:46658:31966:70867:329:32153:5887:148:30126:5840:5797:45261:97586:1990531:31931:30140:5801:15:43332:30176:139:5789:5935:30445:62040:131:5768:5794:32126:16020:5634:10494:5576:30117:324:5886:5756:35838:97582:1903561:5641:5622:5737:31410:5777:30132:71782:5743:9277:30130:5754:5937:5802:22626:90726:45121:70762:144:16021:70250:5811:5968:30446:51285:5829:328:5783:5739:30479:5779:33101:5643:32541:12505:5785
16021	integral component of membrane	"67 out of 434 genes, 15.4%"	"480 out of 6473 background genes, 7.4%"	7.50E-07	0.00%	ENA2:C1_01050C_A:C1_02490C_A:YKT6:C1_04200C_A:C1_04280C_A:GPI7:C1_05490C_A:GSL1:GAP4:OPY2:TPO3:KEX2:C1_09210C_A:SAC1:C2_00190C_A:HGT7:HGT8:HGT6:C2_02490C_A:C2_02570W_A:ITR1:CNT:SPF1:C2_10790C_A:MNT1:MNT2:C3_03760W_A:C3_04780C_A:HGT4:ATG9:DIE2:GPI1:HST6:JEN1:C3_07230W_A:CNH1:HGT17:GPI14:AXL2:C4_04230W_A:PMT6:C5_00570W_A:SGE1:C5_01410C_A:C5_01420W_A:MAL31:GNP1:ATG15:SEC12:C6_01870C_A:SEC20:HGT10:SNQ2:HGT12:KCH1:YCF1:C7_03040W_A:C7_03050W_A:GSL2:OPT1:CR_03730C_A:HGT3:GPI2:CR_04610C_A:ADP1:CR_07660C_A	407:31966:70867:329:5887:32153:43541:148:44284:5797:1990531:5635:1990529:31227:5801:43332:31201:42175:30176:139:5789:30134:5935:131:5768:5794:5938:31305:16020:61617:5576:31965:324:31501:1990816:5886:71627:1903561:72546:5737:5777:30173:71782:5937:5802:1990530:90726:45121:506:30659:144:16021:5811:5739:5783:5779:35339:5643:32541:5775:5785:61908
31224	intrinsic component of membrane	"70 out of 434 genes, 16.1%"	"513 out of 6473 background genes, 7.9%"	8.43E-07	0.00%	ENA2:C1_01050C_A:C1_02490C_A:YKT6:C1_04200C_A:C1_04280C_A:GPI7:C1_05490C_A:GSL1:GAP4:OPY2:TPO3:KEX2:C1_09210C_A:SAC1:KIS2:MYO2:C2_00190C_A:HGT7:HGT8:HGT6:C2_02490C_A:C2_02570W_A:ITR1:CNT:SPF1:C2_10790C_A:MNT1:MNT2:C3_03760W_A:C3_04780C_A:HGT4:ATG9:DIE2:GPI1:HST6:JEN1:C3_07230W_A:CNH1:HGT17:GPI14:AXL2:C4_04230W_A:SAP10:PMT6:C5_00570W_A:SGE1:C5_01410C_A:C5_01420W_A:MAL31:GNP1:ATG15:SEC12:C6_01870C_A:SEC20:HGT10:SNQ2:HGT12:KCH1:YCF1:C7_03040W_A:C7_03050W_A:GSL2:OPT1:CR_03730C_A:HGT3:GPI2:CR_04610C_A:ADP1:CR_07660C_A	9986:407:46658:31966:30133:70867:51286:329:71563:5887:32153:43541:148:44284:5797:1990531:5635:1990529:31227:5801:31982:43332:31201:42175:30176:139:1902716:5789:32432:30134:5935:131:5768:5794:5938:31305:16020:61617:5576:31965:324:31501:1990816:16459:5886:71627:1903561:72546:5737:31941:31097:5777:30173:31521:71782:9277:31588:97575:5937:5802:1990530:31225:90726:45121:506:5774:30659:144:5934:16021:5811:51285:5829:1990819:5739:5783:30479:5779:35339:5643:32541:5775:5785:34993:61908
5887	integral component of plasma membrane	"15 out of 434 genes, 3.5%"	"43 out of 6473 background genes, 0.7%"	1.44E-05	0.00%	GPI7:OPY2:HGT7:HGT8:HGT6:ITR1:CNT:HGT4:HGT17:AXL2:HGT10:HGT12:KCH1:OPT1:HGT3	31966:32153:5887:30176:5935:131:5794:16020:324:5886:1903561:5937:144:16021
12505	endomembrane system	"74 out of 434 genes, 17.1%"	"628 out of 6473 background genes, 9.7%"	0.00015	0.00%	RIC1:C1_01050C_A:YKT6:C1_04200C_A:C1_04280C_A:GPI7:C1_05660C_A:PGA63:IST2:C1_07590C_A:KEX2:NUP188:SAC1:C1_10840C_A:IRA2:AKR1:OSM2:MYO2:C2_00190C_A:C2_00320W_A:POM152:NSP1:CHS5:VPS35:PMT4:SPF1:LPT1:C2_09620W_A:C2_10790C_A:GLO3:C3_00390W_A:ERG4:AYR1:MNT1:MNT2:C3_02690C_A:C3_04780C_A:DIE2:GPI1:HST6:C3_06520C_A:PMT2:C3_07230W_A:ATP2:CLC1:GPI14:C4_03110W_A:NUP84:C4_04230W_A:PMT6:SEC23:C4_05790W_A:VPS11:NUP60:C5_01170W_A:C5_01410C_A:SEC12:CHC1:SEC20:C6_04470C_A:C6_04530C_A:NAG6:C7_00340C_A:KEX1:C7_03050W_A:CHS6:CR_00230W_A:ATP3:OPT1:SEC26:GPI2:CR_07350W_A:CR_07660C_A:CR_10290C_A	97584:9986:30122:30133:70867:51286:329:71563:30906:5887:32153:43541:30126:5797:45261:97586:5635:1990529:30140:31227:31982:5801:43332:31201:43529:42175:30176:31211:1902716:5789:139:32432:30134:42406:5935:44695:131:5768:5794:5938:44613:44615:1990071:16020:5634:5576:30117:31965:324:31501:16459:5886:5756:97582:1903561:5641:72546:32045:5737:31941:31097:31410:30897:5777:34066:30173:31521:30132:71782:30130:5754:97575:5802:31080:1990530:90726:30127:70762:5769:30904:506:5934:16021:5770:5811:51285:70939:44611:5829:30137:1990819:5739:5783:30479:5779:33101:35339:33263:5643:32541:12505:5785:34044:34399:34993
71944	cell periphery	"85 out of 434 genes, 19.6%"	"762 out of 6473 background genes, 11.8%"	0.0002	0.00%	ENA2:SEP7:DIP5:C1_04200C_A:GPI7:KOG1:GSL1:GAP4:IST2:C1_07590C_A:OPY2:ENO1:TPO3:C1_09210C_A:SAC1:PKH2:HSP70:MYO2:C2_00190C_A:POM152:HGT7:HGT8:HGT6:EFT2:DCK1:ITR1:CNT:PMT4:SPF1:UCF1:OPT5:C3_00570C_A:IFF11:MNT1:MEP1:MEA1:NCE102:HGT4:DYN1:HST6:JEN1:PMT2:C3_07170C_A:EVP1:CNH1:ATP2:TOK1:HGT17:ERG251:CLC1:C4_03110W_A:AXL2:SAP10:C5_00570W_A:PET9:HYR3:CFL5:C5_01420W_A:CEF3:MYO1:C5_03960W_A:GNP1:CHC1:C6_03620C_A:HGT10:SNQ2:C6_04440C_A:NAG6:HGT12:C7_00670C_A:KCH1:NUC2:HYR4:GSL2:ATP3:OPT1:GEF2:IFF3:HGT3:IFF9:SEC26:CR_07660C_A:ACO1:FAA4:XYL2	5628:97584:9986:42645:30122:46658:31966:30133:70867:51286:5881:329:5816:5759:71563:5887:32153:148:30126:5940:5840:5797:45261:97586:1990531:5635:31931:30140:930:5801:31982:15:43332:30176:139:1902716:5789:32432:5935:30445:62040:5768:131:5794:5938:71944:32126:16020:5634:10494:5576:30117:110085:31965:324:16459:16460:5886:5756:35838:97582:1903561:5641:5622:5737:31941:142:31097:31410:5777:30173:5868:31521:30132:71782:5743:9277:30130:5754:97575:5937:5802:30428:22626:90726:45121:70762:5934:144:16021:70250:120104:5811:5968:30446:51285:5829:328:1990819:5739:5783:30479:5779:33101:235:35339:5643:32541:1411:12505:5785:30286:34993
31226	intrinsic component of plasma membrane	"16 out of 434 genes, 3.7%"	"65 out of 6473 background genes, 1.0%"	0.00107	0.00%	GPI7:OPY2:HGT7:HGT8:HGT6:ITR1:CNT:HGT4:HGT17:AXL2:SAP10:HGT10:HGT12:KCH1:OPT1:HGT3	9986:46658:31966:32153:5887:30176:5935:131:5794:16020:5576:324:5886:1903561:9277:5937:144:16021
31984	organelle subcompartment	"38 out of 434 genes, 8.8%"	"264 out of 6473 background genes, 4.1%"	0.00132	0.00%	RIC1:C1_01050C_A:C1_04200C_A:C1_04280C_A:GPI7:IST2:KEX2:SAC1:IRA2:C2_00190C_A:PMT4:SPF1:C2_09620W_A:C2_10790C_A:C3_00390W_A:MNT1:MNT2:C3_02690C_A:C3_04780C_A:DIE2:GPI1:PMT2:C3_07230W_A:CLC1:GPI14:C4_03110W_A:PMT6:C4_05790W_A:C5_01170W_A:C5_01410C_A:SEC12:NAG6:KEX1:C7_03050W_A:GPI2:CR_07350W_A:CR_07660C_A:CR_10290C_A	97584:70867:5887:32153:43541:5797:97586:5635:1990529:30140:31227:5801:42175:30176:31211:5789:139:30134:42406:5768:5794:5938:1990071:16020:5576:31965:324:31501:5886:97582:1903561:72546:32045:31410:5777:34066:30173:30132:71782:30130:5802:1990530:5769:506:16021:5770:70939:5829:5739:5783:30479:5779:33101:35339:5643:32541:12505:5785
98827	endoplasmic reticulum subcompartment	"27 out of 434 genes, 6.2%"	"182 out of 6473 background genes, 2.8%"	0.01923	0.20%	C1_01050C_A:C1_04200C_A:C1_04280C_A:GPI7:IST2:SAC1:IRA2:C2_00190C_A:PMT4:SPF1:C2_09620W_A:C2_10790C_A:C3_02690C_A:C3_04780C_A:DIE2:GPI1:PMT2:GPI14:PMT6:C5_01170W_A:C5_01410C_A:SEC12:NAG6:C7_03050W_A:GPI2:CR_07350W_A:CR_07660C_A	97584:5887:32153:43541:5797:97586:5635:1990529:31227:5801:42175:30176:31211:5789:30134:42406:5938:16020:31965:324:31501:5886:97582:1903561:72546:5777:30173:71782:506:16021:70939:5829:5739:5783:5779:33101:35339:5643:32541:12505:5785
