GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
43228	non-membrane-bounded organelle	"145 out of 589 genes, 24.6%"	"1066 out of 6473 background genes, 16.5%"	2.27E-05	0.00%	RPL16A:RPS21:RPB7:C1_02100W_A:RSC2:TIF34:RPL13:RPS16A:RPS1:C1_03620C_A:PDR16:ERB1:HTA2:C1_04180W_A:CDC3:HHF1:CHL4:YBN5:RAD10:RPS23A:C1_06700W_A:C1_06890C_A:SUI2:DHH1:C1_07340W_A:LHP1:ECO1:MRPL3:CCR4:IDH1:C1_10130W_A:C1_10330C_A:CDC48:RPL29:RPL37B:NEP1:GIN4:GAR1:RPL27A:SET3:TIF35:CKB1:RSC58:NRI1:C2_01390W_A:ESC4:CLB2:RPS26A:SNF2:UTP21:C2_02540W_A:C2_03950W_A:RPL39:C2_04130W_A:C2_04790C_A:C2_04850C_A:C2_04870C_A:MAK5:CDC15:C2_05160C_A:RPC40:RXT3:C2_05410W_A:IDP1:ECM17:MAK16:SCP1:RPL11:C2_08720W_A:TIF4631:RPN12:CDC47:C2_09540W_A:C2_10700C_A:TIF11:RPS24:CSE4:KGD1:RPS7A:STH1:CSC25:MAK21:RPS15:RPL18:DYN1:RPL8B:YST1:NOG1:RLP24:MLP1:ASK1:NIP1:RPL20B:C4_01780C_A:SAS10:ZUO1:TYS1:SPC34:BRN1:C4_06210C_A:C4_06450W_A:NOP1:C4_06740C_A:PDA1:UBI3:C5_00320W_A:BUD23:SNF1:C5_01540W_A:HSL1:C5_03370C_A:C5_03410C_A:RPS25B:SFL2:NOP5:C6_00560W_A:RPS13:CDC14:SEC8:ILV5:TRA1:C6_02230W_A:C6_02420W_A:NOP8:PSF3:RFC2:MRE11:C7_01400C_A:SFI1:ENP2:CR_01360W_A:CR_01950W_A:CR_04020C_A:SNP3:CR_05100W_A:SIS1:HHF22:HHT2:RPS27:NOP10:CR_08480C_A:CR_09490W_A:CR_09800C_A:SIK1:MCD1	5666:5763:5628:5956:9986:45254:942:9337:42645:796:445:51286:5881:5967:5816:5759:30894:31261:775:1990023:5688:32153:5887:22625:98562:779:22627:9353:44697:46695:36266:16593:33698:31298:5940:5840:70823:36391:31511:8541:932:70545:5635:32133:1990726:935:31389:1990904:34515:71958:30015:1400:30176:72687:110115:812:1902716:5789:794:31011:42555:71541:101031:5663:30874:5875:30687:110:811:5880:120105:228:61496:31105:36436:34098:5935:145:776:30445:15935:30870:124:131:1990112:446:16586:5938:43614:34388:34456:44615:71944:5656:71341:31428:5819:16020:5634:32168:10494:5576:31391:16281:778:32160:43505:110085:5654:5619:5732:35361:5762:500:16460:5886:35267:15934:786:31429:16514:5825:16282:44732:70209:30686:5641:5737:34967:70390:31097:142:5777:5736:51233:5868:837:31588:5729:31934:42729:5665:30428:5850:71162:70762:43596:33290:33553:32040:839:5774:30014:5934:144:16021:71540:5844:31390:120104:72686:61638:46540:5811:35861:5962:70692:5876:34990:818:30446:51285:5829:71561:1990819:36437:5739:30479:32151:235:5852:5643:5730:1411:35974:30869:90619:34399:30286:30690:781:97373
43232	intracellular non-membrane-bounded organelle	"145 out of 589 genes, 24.6%"	"1066 out of 6473 background genes, 16.5%"	2.27E-05	0.00%	RPL16A:RPS21:RPB7:C1_02100W_A:RSC2:TIF34:RPL13:RPS16A:RPS1:C1_03620C_A:PDR16:ERB1:HTA2:C1_04180W_A:CDC3:HHF1:CHL4:YBN5:RAD10:RPS23A:C1_06700W_A:C1_06890C_A:SUI2:DHH1:C1_07340W_A:LHP1:ECO1:MRPL3:CCR4:IDH1:C1_10130W_A:C1_10330C_A:CDC48:RPL29:RPL37B:NEP1:GIN4:GAR1:RPL27A:SET3:TIF35:CKB1:RSC58:NRI1:C2_01390W_A:ESC4:CLB2:RPS26A:SNF2:UTP21:C2_02540W_A:C2_03950W_A:RPL39:C2_04130W_A:C2_04790C_A:C2_04850C_A:C2_04870C_A:MAK5:CDC15:C2_05160C_A:RPC40:RXT3:C2_05410W_A:IDP1:ECM17:MAK16:SCP1:RPL11:C2_08720W_A:TIF4631:RPN12:CDC47:C2_09540W_A:C2_10700C_A:TIF11:RPS24:CSE4:KGD1:RPS7A:STH1:CSC25:MAK21:RPS15:RPL18:DYN1:RPL8B:YST1:NOG1:RLP24:MLP1:ASK1:NIP1:RPL20B:C4_01780C_A:SAS10:ZUO1:TYS1:SPC34:BRN1:C4_06210C_A:C4_06450W_A:NOP1:C4_06740C_A:PDA1:UBI3:C5_00320W_A:BUD23:SNF1:C5_01540W_A:HSL1:C5_03370C_A:C5_03410C_A:RPS25B:SFL2:NOP5:C6_00560W_A:RPS13:CDC14:SEC8:ILV5:TRA1:C6_02230W_A:C6_02420W_A:NOP8:PSF3:RFC2:MRE11:C7_01400C_A:SFI1:ENP2:CR_01360W_A:CR_01950W_A:CR_04020C_A:SNP3:CR_05100W_A:SIS1:HHF22:HHT2:RPS27:NOP10:CR_08480C_A:CR_09490W_A:CR_09800C_A:SIK1:MCD1	5666:5763:5628:5956:9986:45254:942:9337:42645:796:445:51286:5881:5967:5816:5759:30894:31261:775:1990023:5688:32153:5887:22625:98562:779:22627:9353:44697:46695:36266:16593:33698:31298:5940:5840:70823:36391:31511:8541:932:70545:5635:32133:1990726:935:31389:1990904:34515:71958:30015:1400:30176:72687:110115:812:1902716:5789:794:31011:42555:71541:101031:5663:30874:110:30687:5875:811:5880:120105:228:61496:31105:36436:34098:5935:145:776:30445:15935:30870:124:131:1990112:446:16586:5938:43614:34388:34456:44615:71944:5656:71341:31428:5819:16020:5634:32168:10494:5576:31391:16281:778:43505:32160:5654:110085:5619:5732:35361:5762:500:16460:5886:35267:15934:31429:786:16514:5825:16282:44732:70209:30686:5641:5737:34967:70390:142:31097:5777:5736:51233:5868:837:31588:5729:31934:42729:5665:30428:71162:5850:70762:43596:33290:33553:839:32040:5774:30014:5934:144:16021:71540:5844:31390:72686:120104:61638:46540:5811:70692:5962:35861:5876:34990:818:30446:51285:5829:71561:1990819:5739:36437:30479:32151:235:5852:5643:5730:1411:35974:30869:90619:34399:30286:30690:781:97373
22626	cytosolic ribosome	"24 out of 589 genes, 4.1%"	"85 out of 6473 background genes, 1.3%"	9.87E-05	0.00%	RPL16A:RPS21:RPL13:RPS1:RPS23A:C1_06890C_A:RPL29:RPL37B:RPL27A:RPL39:C2_05410W_A:RPL11:RPL18:RPL8B:YST1:RPL20B:UBI3:C5_01540W_A:RPS25B:RPS13:C6_02230W_A:SIS1:RPS27:CR_08480C_A	9986:22625:22627:5840:30687:30445:16020:5634:10494:5576:5737:32040:16021:30446
32991	protein-containing complex	"216 out of 589 genes, 36.7%"	"1808 out of 6473 background genes, 27.9%"	0.00027	0.00%	VPS53:RPL16A:RPS21:RPB7:C1_02100W_A:C1_02300W_A:SNO1:RSC2:C1_02760W_A:TIF34:C1_02910C_A:RPL13:RPS1:ERB1:HTA2:C1_04180W_A:CDC3:HHF1:CHL4:C1_04790W_A:SPT20:C1_05490C_A:C1_05610W_A:GIM5:RAD10:C1_06050C_A:MSI3:RPS23A:C1_06700W_A:C1_06890C_A:SUI2:C1_07340W_A:LHP1:SMI1:MRPL3:UBA2:CCR4:MED15:GCR3:CAF16:C1_08660C_A:SWI6:IDH1:C1_10130W_A:C1_10330C_A:CDC48:C1_10960W_A:RPL29:FGR16:RPL37B:NEP1:GIN4:GAR1:RPL27A:ATP20:SPA2:SPC3:NUP49:C1_13950C_A:SET3:TIF35:CKB1:RSC58:BCY1:NRI1:ESC4:SNF2:SAM37:UTP21:C2_02540W_A:PR26:RNR1:NBN1:C2_03950W_A:RPL39:ACP12:C2_04130W_A:C2_04790C_A:C2_04870C_A:CRK1:C2_05160C_A:RPC40:RXT3:C2_05410W_A:YTH1:ECM17:C2_06300W_A:MAK16:RPL11:C2_08720W_A:TIF4631:RPN12:CDC47:C2_09310C_A:C2_09540W_A:GYP5:C2_10700C_A:TIF11:CSE4:KGD1:RPS7A:CDC53:C3_01720C_A:STH1:APL5:SEC13:C3_03310C_A:C3_03830W_A:MBP1:MAK21:RPS15:C3_04700W_A:RPL18:DYN1:RPL8B:YST1:CTA4:MNN9:NOG1:MUB1:C3_06440W_A:C3_07420W_A:C4_00330C_A:RLP24:MMM1:PCT1:C4_00940W_A:MDN1:MLP1:ASK1:C4_01280C_A:NIP1:RPL20B:C4_01780C_A:BFR1:TIM13:SEN2:SAS10:ZUO1:C4_04240C_A:SPC34:C4_05230C_A:BRN1:C4_05820W_A:C4_06210C_A:SEC3:C4_06450W_A:C4_06650W_A:NOP1:C4_06740C_A:PDA1:UBI3:C5_00570W_A:SNF1:C5_01540W_A:MAS2:RET2:TIF5:C5_02660C_A:C5_03370C_A:C5_03410C_A:RPS25B:PFK1:C5_05230C_A:PRE1:NOP5:C6_00530C_A:C6_00560W_A:RPS13:CDC14:SEC8:TRA1:GPD2:SAR1:C6_02230W_A:SEC27:C6_02310W_A:C6_02680W_A:C6_03050C_A:PHO80:SNF4:GLE2:PSF3:RFC2:C7_01030C_A:MRE11:C7_01400C_A:LAT1:PFK2:PMT1:ENP2:SUI3:ATP8:LAG1:CR_01360W_A:CR_01950W_A:VMA4:CR_02970C_A:CR_03530W_A:CR_04020C_A:SEC63:SNP3:CR_05100W_A:SIS1:HHF22:HHT2:RPS27:NOP10:CR_08430W_A:CR_08480C_A:CDC23:CR_09490W_A:CR_09800C_A:BET2:SIK1:MCD1	5666:276:9986:71819:45254:51286:5881:5759:30894:1990023:5688:5887:32153:22627:31560:44697:36266:46695:30131:1990531:31562:8541:70545:1990726:31389:32865:1990904:34515:30015:1990860:812:1902716:5789:794:35859:101031:61576:5663:30874:5875:811:5880:120105:61496:36436:34098:145:776:124:5768:131:307:1990316:5794:16586:5938:44613:34388:34456:5685:5680:159:10494:31391:30117:5741:97583:778:70772:32160:110085:31965:30956:5762:16460:35267:34274:31429:786:16514:5825:97582:44732:1903561:5952:70209:30686:5641:1990221:71004:1401:5737:5847:34967:70390:8540:5736:51233:5868:214:221:5729:31934:42729:30428:31510:31080:5850:17087:30127:120095:136:30014:44614:5934:144:42564:31390:5787:120104:61638:5962:34990:5968:30446:9331:51285:30061:5829:33309:5783:36437:97344:235:35657:5730:16272:439:30869:5846:90619:70847:5628:5763:5956:942:9337:42645:407:445:1990304:796:70867:329:30427:5816:5967:5750:775:31261:1903600:5945:22625:243:5971:779:30123:9353:16593:30126:33698:31298:5940:44284:5840:70823:36391:31511:932:19005:5635:32133:5675:935:70971:71014:30688:5801:43332:31201:1400:43529:33588:30176:42175:110115:31011:42555:97550:71541:30687:110:228:42719:31105:112:5935:30445:15935:30870:5686:1990112:446:31207:30905:5682:43614:44615:71944:71341:5656:5819:31428:16020:5634:61617:32168:5576:16281:5838:43505:5654:5619:5732:35361:99128:500:5886:15934:16282:938:5622:31097:142:30173:31561:837:133:32777:5743:31588:44233:5665:5798:71162:31314:70762:306:33290:33553:32040:839:30904:5774:16021:71540:5844:72686:46540:71458:5811:35861:70692:5876:818:43224:5758:5739:30907:89716:32151:5852:19774:5643:1411:12505:35974:34399:30690:30286:70916:781:97373
70993	translation preinitiation complex	"9 out of 589 genes, 1.5%"	"15 out of 6473 background genes, 0.2%"	0.00042	0.00%	TIF34:SUI2:TIF35:TIF11:C3_07420W_A:NIP1:TIF5:C5_02660C_A:SUI3	10494:5737:5850:71541:43614:16282:33290:71540:5852:34399
1990904	ribonucleoprotein complex	"74 out of 589 genes, 12.6%"	"495 out of 6473 background genes, 7.6%"	0.00263	0.00%	RPL16A:RPS21:TIF34:RPL13:RPS1:ERB1:C1_04790W_A:MSI3:RPS23A:C1_06890C_A:SUI2:LHP1:MRPL3:GCR3:C1_08660C_A:C1_10130W_A:RPL29:FGR16:RPL37B:NEP1:GAR1:RPL27A:TIF35:CKB1:UTP21:C2_02540W_A:C2_03950W_A:RPL39:C2_04790C_A:C2_05160C_A:C2_05410W_A:C2_06300W_A:MAK16:RPL11:C2_09540W_A:TIF11:RPS7A:MAK21:RPS15:RPL18:RPL8B:YST1:NOG1:C3_07420W_A:RLP24:MDN1:C4_01280C_A:NIP1:RPL20B:BFR1:SAS10:ZUO1:C4_06210C_A:NOP1:UBI3:C5_01540W_A:TIF5:C5_02660C_A:C5_03410C_A:RPS25B:NOP5:C6_00530C_A:RPS13:C6_02230W_A:C7_01030C_A:ENP2:SUI3:SNP3:SIS1:RPS27:NOP10:CR_08480C_A:CR_09800C_A:SIK1	9986:5688:22627:70545:1990726:1990904:101031:5880:34388:34456:5685:10494:5762:31429:30686:71004:5737:5850:30446:5783:5730:5846:5763:5956:22625:243:5840:932:71014:30688:42175:71541:30687:228:30445:15935:5686:5682:43614:31428:16020:5634:5576:5654:5732:15934:16282:33290:32040:16021:71540:5844:46540:5852:34399:30690
5840	ribosome	"37 out of 589 genes, 6.3%"	"193 out of 6473 background genes, 3.0%"	0.00282	0.00%	RPL16A:RPS21:RPL13:RPS16A:RPS1:C1_03620C_A:RPS23A:C1_06890C_A:MRPL3:RPL29:RPL37B:RPL27A:RPS26A:C2_03950W_A:RPL39:C2_04790C_A:C2_05160C_A:C2_05410W_A:RPL11:RPS24:RPS7A:RPS15:RPL18:RPL8B:YST1:RPL20B:ZUO1:UBI3:C5_00320W_A:C5_01540W_A:C5_03410C_A:RPS25B:RPS13:C6_02230W_A:SIS1:RPS27:CR_08480C_A	9986:22627:101031:10494:5762:5737:30446:5730:5763:22625:5840:30687:30445:15935:16020:5634:5576:15934:32040:16021:5844
22627	cytosolic small ribosomal subunit	"11 out of 589 genes, 1.9%"	"29 out of 6473 background genes, 0.4%"	0.00842	0.00%	RPS21:RPS1:RPS23A:YST1:UBI3:C5_01540W_A:RPS25B:RPS13:SIS1:RPS27:CR_08480C_A	22627:10494:30446:5840:30445:16020:5634:5576:32040:16021
16282	eukaryotic 43S preinitiation complex	"7 out of 589 genes, 1.2%"	"12 out of 6473 background genes, 0.2%"	0.00912	0.00%	TIF34:TIF35:TIF11:C3_07420W_A:NIP1:C5_02660C_A:SUI3	10494:5737:5850:71541:43614:16282:33290:71540:5852:34399
44815	DNA packaging complex	"7 out of 589 genes, 1.2%"	"13 out of 6473 background genes, 0.2%"	0.01822	0.00%	HTA2:C1_04180W_A:HHF1:CSE4:BRN1:HHF22:HHT2	776:786:5737:5729:31934:61638:796:775:31298:5634:43505:33553
