GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
50794	regulation of cellular process	"92 out of 258 genes, 35.7%"	"1535 out of 6473 background genes, 23.7%"	0.00782	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HHT21:HAT1:SPT20:C1_05800C_A:PCL7:SPO22:LYS143:HCM1:PDC2:SFU1:ECM21:MRF1:IRA2:MSH6:RSC8:NDT80:REG1:SNF2:C2_02150C_A:POB3:NCB2:NSP1:TAF14:C2_04620W_A:SPO7:C2_05900W_A:AFT2:MCM3:C2_08380C_A:PST2:C2_08920W_A:C3_00380C_A:HOS2:GEA2:C3_02260C_A:C3_03100C_A:HTA3:NPR2:HTB1:MBP1:SFP1:RDI1:PHB2:C3_05250C_A:AHR1:C4_01300W_A:BEM1:POL30:C4_04510W_A:FAV1:TUB4:C4_06280C_A:CBF1:C4_06810C_A:BDF1:COF1:BUD2:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:AIP5:RBF1:C6_03180C_A:FGR17:NBP2:CRN1:HSP90:RBP1:DBF4:HHO1:C7_03840W_A:C7_03980W_A:NRG1:REP1:TMA19:HEM1:MCM2:SPT14:CR_05100W_A:ASF1:VPS21:TRM9:ARP2:TRX1	2000601:51014:1900409:6261:6974:1410:32889:30042:5979:60258:6890:6279:1900443:45944:1903490:1193:71071:46580:55:30447:51417:1932:6281:463:55085:43409:1902542:6333:1402:71846:70417:1901901:6325:2000767:42766:11:492:7039:30950:33523:45899:45185:742:1902117:7114:1207:51666:8361:1905775:7121:71285:31497:43248:1903459:76:33138:1900239:6334:44182:6662:45793:90173:71619:46827:727:33696:7155:31929:70785:1903833:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:31385:71168:90180:7266:34599:8643:1558:2000221:1904262:6267:6302:1934:60303:34314:31936:747:36177:71257:98789:10973:70783:31452:10507:1902408:71072:90054:51097:34613:70301:7038:6879:30518:33314:71963:9060:1903353:51568:15840:43982:723:1902394:1990355:34316:31578:433:51256:9372:1905779:2000220:2000769:6337:35066:43547:35753:447:2000679:103:6891:6348:1904789:6888:61709:1900231:43087:42149:480:6303:9303:32012:6979:70987:18105:45827:48280:422:1905339:51321:30150:10468:6915:31670:60963:7033:43486:6457:188:1903022:70784:1:9058:31031:7005:43708:83:34614:9652:1904530:51455:2000397:6506:6998:31440:6470:43624:755:122:6895:22:1903740:45903:1403:43983:6810:51654:70816:6448:436:6409:44419:7015:6384:43044:30261:1902917:31124:2000219:472:6357:43618:7533:6362:7064:45861:36178:1900439:45010:1900445:51701:43709:30036:31454:6270:30011:16579:97316:6913:61408:27:32508:72715:45807:42797:45454:71280:7052:6338:71931:753:6468:30476:51056:43111:51445:1900051:7193:19379:71467:1990813:34605:6336:6995:8152:6887:60903:34087:6607:42981:1900436:1903468:70914:35025:1900189:45892:36166:36244:16575:97064:43161:44406:2000134:6301:42744:7154:289:6368:7094:6383:7059:33235:16567:1900461:1903475:43981:6696:710:10811:15824:6355:6904:2001172:1900237:32786:32258:52032:36010:9267:6986:7130:6298:44011:30488:282:7264:16573:2181:6412:79:6896:45143:10458:6606:1902425:7129:2000185:42273:32233:1900233:36171:34728:7120:31564:36170:6271:6378:1902977:61412:16236:35973:1900743:45943:51123:920:30448:7131:71248:6413:31496:45893:32968:45898:42144:44114:36086:1903098:31938:36267:70194:42791:34983:110083:6367:32048:462:71852:71216:45910:61641:9301:6275:1900442:2000785:10971:7163:71281:44396:36297:7017:725:15893:32386:1904750:712:80058:31505:36498:1174:6289:35556:5981:56:6623:1903364:1900430:6272:34727:2001196:6783:2001038:7095:36180:32874:31122:1900429:31146:70086:16973:35543:71902:45835:7020:43001:6335:1902975:278:36003:2098:43570:1901710:98781:61587:33363:10508:9086:10389:51300:1900264:31134:43433:36258:16925:42493:6897:90306:1100:32511:7165:45860:1903466:45842:72423:43392:71171:35690:1902597:34724
1903506	regulation of nucleic acid-templated transcription	"48 out of 258 genes, 18.6%"	"637 out of 6473 background genes, 9.8%"	0.00921	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HAT1:LYS143:HCM1:PDC2:SFU1:RSC8:NDT80:REG1:SNF2:POB3:NCB2:TAF14:C2_04620W_A:AFT2:MCM3:PST2:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:HTB1:MBP1:SFP1:AHR1:POL30:C4_04510W_A:CBF1:BDF1:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:RBF1:FGR17:HHO1:C7_03840W_A:NRG1:REP1:SPT14:ASF1	6261:6974:1410:60258:1900443:1903490:45944:1193:55:30447:1932:6281:463:1902542:6333:1402:6325:42766:7039:33523:45899:1207:51666:8361:71285:31497:1903459:1900239:6334:44182:45793:71619:727:46827:33696:7155:70785:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:71168:90180:34599:8643:2000221:6267:6302:60303:31936:36177:10973:70783:31452:90054:51097:34613:6879:1903353:51568:43982:1902394:433:9372:1905779:2000220:6337:35066:35753:447:2000679:103:6348:1904789:1900231:42149:6303:480:9303:6979:70987:18105:45827:422:51321:1905339:10468:31670:60963:43486:1903022:70784:9058:7005:31031:43708:34614:83:51455:6506:31440:43624:122:45903:1403:43983:70816:436:44419:6384:43044:30261:31124:2000219:472:6357:43618:6362:7064:36178:1900439:1900445:43709:6270:97316:16579:27:61408:32508:72715:42797:71280:6338:71931:6468:51445:1900051:71467:1990813:6336:6887:34087:1900436:70914:35025:45892:1900189:16575:36244:36166:43161:2000134:6301:289:6368:6383:7059:16567:1900461:43981:710:10811:6355:2001172:1900237:32786:32258:6986:9267:6298:44011:16573:6412:6896:45143:10458:1902425:2000185:42273:34728:36171:31564:6271:36170:61412:35973:45943:1900743:51123:30448:6413:31496:45893:45898:32968:44114:1903098:36086:31938:36267:70194:42791:34983:110083:6367:32048:71852:71216:45910:9301:6275:1900442:10971:71281:1904750:712:1174:6289:35556:6623:1903364:1900430:6272:34727:2001196:2001038:36180:32874:1900429:31146:16973:45835:6335:1902975:278:36003:98781:61587:9086:51300:1900264:43433:90306:7165:45842:35690:34724
6355	"regulation of transcription, DNA-templated"	"48 out of 258 genes, 18.6%"	"637 out of 6473 background genes, 9.8%"	0.00921	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HAT1:LYS143:HCM1:PDC2:SFU1:RSC8:NDT80:REG1:SNF2:POB3:NCB2:TAF14:C2_04620W_A:AFT2:MCM3:PST2:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:HTB1:MBP1:SFP1:AHR1:POL30:C4_04510W_A:CBF1:BDF1:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:RBF1:FGR17:HHO1:C7_03840W_A:NRG1:REP1:SPT14:ASF1	6261:6974:1410:60258:1900443:1903490:45944:1193:55:30447:1932:6281:463:1902542:6333:1402:6325:42766:7039:33523:45899:1207:51666:8361:71285:31497:1903459:1900239:6334:44182:45793:71619:727:46827:33696:7155:70785:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:71168:90180:34599:8643:2000221:6267:6302:60303:31936:36177:10973:70783:31452:90054:51097:34613:6879:1903353:51568:43982:1902394:433:9372:1905779:2000220:6337:35066:35753:447:2000679:103:6348:1904789:1900231:42149:6303:480:9303:6979:70987:18105:45827:422:51321:1905339:10468:31670:60963:43486:1903022:70784:9058:7005:31031:43708:34614:83:51455:6506:31440:43624:122:45903:1403:43983:70816:436:44419:6384:43044:30261:31124:2000219:472:6357:43618:6362:7064:36178:1900439:1900445:43709:6270:97316:16579:27:61408:32508:72715:42797:71280:6338:71931:6468:51445:1900051:71467:1990813:6336:6887:34087:1900436:70914:35025:45892:1900189:16575:36244:36166:43161:2000134:6301:289:6368:6383:7059:16567:1900461:43981:710:10811:6355:2001172:1900237:32786:32258:6986:9267:6298:44011:16573:6412:6896:45143:10458:1902425:2000185:42273:34728:36171:31564:6271:36170:61412:35973:45943:1900743:51123:30448:6413:31496:45893:45898:32968:44114:1903098:36086:31938:36267:70194:42791:34983:110083:6367:32048:71852:71216:45910:9301:6275:1900442:10971:71281:1904750:712:1174:6289:35556:6623:1903364:1900430:6272:34727:2001196:2001038:36180:32874:1900429:31146:16973:45835:6335:1902975:278:36003:98781:61587:9086:51300:1900264:43433:90306:7165:45842:35690:34724
2001141	regulation of RNA biosynthetic process	"48 out of 258 genes, 18.6%"	"638 out of 6473 background genes, 9.9%"	0.00961	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HAT1:LYS143:HCM1:PDC2:SFU1:RSC8:NDT80:REG1:SNF2:POB3:NCB2:TAF14:C2_04620W_A:AFT2:MCM3:PST2:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:HTB1:MBP1:SFP1:AHR1:POL30:C4_04510W_A:CBF1:BDF1:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:RBF1:FGR17:HHO1:C7_03840W_A:NRG1:REP1:SPT14:ASF1	6261:6974:1410:60258:1900443:1903490:45944:1193:55:30447:1932:6281:463:1902542:6333:1402:6325:42766:7039:33523:45899:1207:51666:8361:71285:31497:1903459:1900239:6334:44182:45793:71619:727:46827:33696:7155:70785:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:71168:90180:34599:8643:2000221:6267:6302:60303:31936:36177:10973:70783:31452:90054:51097:34613:6879:1903353:51568:43982:1902394:433:9372:1905779:2000220:6337:35066:35753:447:2000679:103:6348:1904789:1900231:42149:6303:480:9303:6979:70987:18105:45827:422:51321:1905339:10468:31670:60963:43486:1903022:70784:9058:7005:31031:43708:34614:83:51455:6506:31440:43624:122:45903:1403:43983:70816:436:44419:6384:43044:30261:31124:2000219:472:6357:43618:6362:7064:36178:1900439:1900445:43709:6270:97316:16579:27:61408:32508:72715:42797:71280:6338:71931:6468:51445:1900051:71467:1990813:6336:6887:34087:1900436:70914:35025:45892:1900189:16575:36244:36166:43161:2000134:6301:289:6368:6383:7059:16567:1900461:43981:710:10811:6355:2001172:1900237:32786:32258:6986:9267:6298:44011:16573:6412:6896:45143:10458:1902425:2000185:42273:34728:36171:31564:6271:36170:61412:35973:45943:1900743:51123:30448:6413:31496:45893:45898:32968:44114:1903098:36086:31938:36267:70194:42791:34983:110083:6367:32048:71852:71216:45910:9301:6275:1900442:10971:71281:1904750:712:1174:6289:35556:6623:1903364:1900430:6272:34727:2001196:2001038:36180:32874:1900429:31146:16973:45835:6335:1902975:278:36003:98781:61587:9086:51300:1900264:43433:90306:7165:45842:35690:34724
51252	regulation of RNA metabolic process	"49 out of 258 genes, 19.0%"	"668 out of 6473 background genes, 10.3%"	0.01529	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HAT1:LYS143:HCM1:PDC2:SFU1:RSC8:NDT80:REG1:SNF2:C2_02150C_A:POB3:NCB2:TAF14:C2_04620W_A:AFT2:MCM3:PST2:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:HTB1:MBP1:SFP1:AHR1:POL30:C4_04510W_A:CBF1:BDF1:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:RBF1:FGR17:HHO1:C7_03840W_A:NRG1:REP1:SPT14:ASF1	6261:6974:1410:60258:1900443:1903490:45944:1193:55:30447:1932:6281:463:1902542:6333:1402:6325:42766:7039:33523:45899:1207:51666:8361:71285:31497:1903459:1900239:6334:44182:45793:71619:727:46827:33696:7155:70785:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:71168:90180:34599:8643:2000221:6267:6302:60303:31936:36177:98789:10973:70783:31452:90054:51097:34613:6879:1903353:51568:43982:1902394:433:9372:1905779:2000220:6337:35066:35753:447:2000679:103:6348:1904789:1900231:42149:6303:480:9303:6979:70987:18105:45827:422:51321:1905339:10468:31670:60963:43486:1903022:70784:9058:7005:31031:43708:34614:83:51455:6506:31440:43624:122:45903:1403:43983:70816:436:44419:6384:43044:30261:31124:2000219:472:6357:43618:6362:7064:36178:1900439:1900445:43709:6270:97316:16579:27:61408:32508:72715:42797:71280:6338:71931:6468:51445:1900051:71467:1990813:6336:6887:34087:1900436:70914:35025:45892:1900189:16575:36244:36166:43161:2000134:6301:289:6368:6383:7059:16567:1900461:43981:710:10811:6355:2001172:1900237:32786:32258:6986:9267:6298:44011:16573:6412:6896:45143:10458:1902425:2000185:42273:34728:36171:31564:6271:36170:6378:61412:35973:45943:1900743:51123:30448:6413:31496:45893:45898:32968:44114:1903098:36086:31938:36267:70194:42791:34983:110083:6367:32048:71852:71216:45910:9301:6275:1900442:10971:71281:1904750:712:1174:6289:35556:6623:1903364:1900430:6272:34727:2001196:2001038:36180:32874:1900429:31146:16973:45835:6335:1902975:278:36003:98781:61587:9086:51300:1900264:43433:90306:7165:45842:72423:35690:34724
31326	regulation of cellular biosynthetic process	"56 out of 258 genes, 21.7%"	"811 out of 6473 background genes, 12.5%"	0.02003	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HAT1:PCL7:LYS143:HCM1:PDC2:SFU1:MSH6:RSC8:NDT80:REG1:SNF2:POB3:NCB2:TAF14:C2_04620W_A:SPO7:AFT2:MCM3:PST2:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:HTB1:MBP1:SFP1:AHR1:C4_01300W_A:POL30:C4_04510W_A:TUB4:CBF1:BDF1:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:RBF1:FGR17:RBP1:DBF4:HHO1:C7_03840W_A:NRG1:REP1:SPT14:ASF1:TRM9	6261:6974:1410:5979:60258:6279:1900443:1903490:45944:1193:55:71071:30447:51417:1932:6281:463:1902542:6333:1402:6325:2000767:42766:7039:33523:45899:1207:51666:8361:71285:31497:1903459:1900239:6334:44182:45793:71619:727:46827:33696:7155:31929:70785:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:71168:90180:34599:8643:2000221:6267:6302:60303:31936:747:36177:10973:70783:31452:1902408:71072:90054:51097:34613:6879:33314:1903353:51568:43982:1902394:433:51256:9372:1905779:2000220:6337:35066:35753:447:2000679:103:6348:1904789:61709:1900231:42149:6303:480:9303:6979:70987:18105:45827:422:51321:1905339:10468:31670:60963:43486:6457:1903022:70784:9058:7005:31031:43708:34614:83:51455:6506:6998:31440:6470:43624:122:1903740:45903:1403:43983:70816:6448:436:44419:6384:43044:30261:31124:2000219:472:6357:43618:6362:7064:36178:1900439:1900445:43709:6270:97316:16579:27:61408:32508:72715:42797:45454:71280:7052:6338:71931:6468:43111:51445:1900051:71467:1990813:6336:6887:60903:34087:1900436:1903468:70914:35025:45892:1900189:16575:36244:36166:43161:2000134:6301:289:6368:6383:7059:16567:1900461:43981:10811:710:6355:2001172:1900237:32786:32258:6986:9267:44011:6298:30488:16573:79:6412:6896:45143:10458:1902425:2000185:42273:34728:36171:31564:6271:36170:61412:35973:45943:1900743:51123:30448:6413:31496:45893:45898:32968:44114:1903098:36086:31938:36267:70194:42791:34983:110083:6367:32048:462:71852:71216:45910:9301:6275:1900442:10971:71281:36297:1904750:712:1174:6289:35556:5981:6623:1903364:1900430:6272:34727:2001196:2001038:36180:32874:31122:1900429:31146:16973:71902:45835:7020:6335:1902975:278:36003:2098:43570:1901710:98781:61587:9086:51300:1900264:43433:90306:1100:7165:45860:1903466:45842:43392:35690:34724
9889	regulation of biosynthetic process	"56 out of 258 genes, 21.7%"	"814 out of 6473 background genes, 12.6%"	0.02234	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HAT1:PCL7:LYS143:HCM1:PDC2:SFU1:MSH6:RSC8:NDT80:REG1:SNF2:POB3:NCB2:TAF14:C2_04620W_A:SPO7:AFT2:MCM3:PST2:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:HTB1:MBP1:SFP1:AHR1:C4_01300W_A:POL30:C4_04510W_A:TUB4:CBF1:BDF1:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:RBF1:FGR17:RBP1:DBF4:HHO1:C7_03840W_A:NRG1:REP1:SPT14:ASF1:TRM9	6261:6974:1410:5979:60258:6279:1900443:1903490:45944:1193:55:71071:30447:51417:1932:6281:463:1902542:6333:1402:6325:2000767:42766:7039:33523:45899:1207:51666:8361:71285:31497:1903459:1900239:6334:44182:45793:71619:727:46827:33696:7155:31929:70785:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:71168:90180:34599:8643:2000221:6267:6302:60303:31936:747:36177:10973:70783:31452:1902408:71072:90054:51097:34613:6879:33314:1903353:51568:43982:1902394:433:51256:9372:1905779:2000220:6337:35066:35753:447:2000679:103:6348:1904789:61709:1900231:42149:6303:480:9303:6979:70987:18105:45827:422:51321:1905339:10468:31670:60963:43486:6457:1903022:70784:9058:7005:31031:43708:34614:83:51455:6506:6998:31440:6470:43624:122:1903740:45903:1403:43983:70816:6448:436:44419:6384:43044:30261:31124:2000219:472:6357:43618:6362:7064:36178:1900439:1900445:43709:6270:97316:16579:27:61408:32508:72715:42797:45454:71280:7052:6338:71931:6468:43111:51445:1900051:71467:1990813:6336:6887:60903:34087:1900436:1903468:70914:35025:45892:1900189:16575:36244:36166:43161:2000134:6301:289:6368:6383:7059:16567:1900461:43981:10811:710:6355:2001172:1900237:32786:32258:6986:9267:44011:6298:30488:16573:79:6412:6896:45143:10458:1902425:2000185:42273:34728:36171:31564:6271:36170:61412:35973:45943:1900743:51123:30448:6413:31496:45893:45898:32968:44114:1903098:36086:31938:36267:70194:42791:34983:110083:6367:32048:462:71852:71216:45910:9301:6275:1900442:10971:71281:36297:1904750:712:1174:6289:35556:5981:6623:1903364:1900430:6272:34727:2001196:2001038:36180:32874:31122:1900429:31146:16973:71902:45835:7020:6335:1902975:278:36003:2098:43570:1901710:98781:61587:9086:51300:1900264:43433:90306:1100:7165:45860:1903466:45842:43392:35690:34724
50789	regulation of biological process	"95 out of 258 genes, 36.8%"	"1648 out of 6473 background genes, 25.5%"	0.0278	0.00%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HHT21:HAT1:RRP6:SPT20:C1_05800C_A:PCL7:SPO22:LYS143:HCM1:PDC2:SFU1:ECM21:MRF1:IRA2:MSH6:RSC8:NDT80:REG1:SNF2:C2_02150C_A:POB3:NCB2:NSP1:TAF14:C2_04620W_A:SPO7:C2_05900W_A:AFT2:MCM3:C2_08380C_A:PST2:C2_08920W_A:C3_00380C_A:HOS2:GEA2:C3_02260C_A:C3_03100C_A:HTA3:NPR2:HTB1:MBP1:SFP1:RDI1:PHB2:C3_05250C_A:AHR1:C4_01300W_A:BEM1:POL30:C4_04510W_A:FAV1:TUB4:C4_06280C_A:CBF1:C4_06810C_A:BDF1:COF1:BUD2:C5_00790C_A:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:AIP5:RBF1:C6_03180C_A:FGR17:NBP2:CRN1:HSP90:RBP1:DBF4:HHO1:C7_03840W_A:C7_03980W_A:NRG1:REP1:TMA19:HEM1:MCM2:SPT14:CR_05100W_A:CR_06740W_A:ASF1:VPS21:TRM9:ARP2:TRX1	2000601:51014:1900409:6261:6974:1410:32889:30042:5979:60258:6890:6279:1900443:1903490:45944:1193:71071:46580:55:30447:51417:1932:6281:463:55085:43409:1902542:6333:1402:71846:70417:1901901:6325:2000767:42766:11:492:7039:30950:71040:33523:45899:45185:742:1902117:7114:1207:51666:8361:1905775:7121:71285:31497:43248:1903459:76:33138:1900239:6334:44182:6662:45793:90173:71619:727:46827:33696:7155:31929:70785:1903833:71033:6511:6273:140434:1113:70481:42276:42780:42148:34476:16480:6351:1900464:6366:10696:30466:31385:71168:90180:7266:34599:8643:1558:2000221:1904262:6267:6302:1934:60303:34314:71042:31936:747:36177:71257:98789:10973:70783:31452:10507:1902408:71072:90054:51097:34613:70301:7038:6879:30518:33314:71963:9060:34472:1903353:51568:15840:43982:723:1902394:1990355:34316:31578:433:51256:9372:1905779:2000220:2000769:6337:35066:43547:35753:447:2000679:103:6891:6348:1904789:6888:61709:1900231:43087:42149:6303:480:9303:32012:467:6979:70987:18105:45827:48280:422:51321:1905339:30150:10468:6915:31670:60963:71049:7033:71041:43486:6457:188:1903022:70784:1:9058:34475:7005:31031:43708:6369:34614:83:33621:71034:9652:71046:98863:1904530:51455:2000397:6506:31126:6998:31440:6470:43624:755:122:6895:22:1903740:45903:1403:6810:43983:51654:70816:6448:436:6409:44419:7015:6384:43044:30261:1902917:31124:2000219:472:6357:43618:7533:6362:7064:45861:34473:36178:1900439:45010:1900445:51701:43709:30036:31454:6270:30011:97316:16579:6913:27:61408:32508:72715:45807:42797:45454:71280:7052:6338:71931:753:71038:6468:30476:51056:43111:51445:1900051:7193:110064:19379:71467:1990813:34605:6336:6995:8152:6887:60903:34087:6607:42981:1900436:1903468:70914:35025:71036:45892:1900189:16575:36244:36166:30847:97064:71035:43161:44406:2000134:6301:42744:7154:289:6368:7094:6383:7059:90307:16567:33235:1900461:1903475:43981:6696:973:10811:710:15824:30846:6355:6904:2001172:1900237:32786:32258:52032:36010:1990734:6986:9267:7130:44011:6298:30488:282:7264:16573:2181:71044:79:6412:6896:45143:6606:10458:7129:1902425:2000185:42273:32233:34728:36171:1900233:7120:31564:6271:36170:1902977:6378:16236:61412:35973:45943:1900743:51123:920:7131:30448:6413:71248:31496:45893:45898:32968:42144:44114:1903098:36086:31938:36267:71028:70194:42791:34983:71039:110083:6367:32048:462:71852:71216:45910:61641:9301:6275:1900442:2000785:10971:7163:71281:71051:44396:36297:7017:725:15893:32386:1904750:712:80058:31505:36498:1174:6289:35556:5981:56:71037:6623:1903364:1900430:6272:34727:2001196:6783:7095:2001038:36180:32874:31122:1900429:31146:70086:16973:35543:71902:45835:7020:43001:6335:1902975:278:36003:2098:43570:1901710:98781:61587:10508:33363:9086:10389:51300:1900264:31134:43433:36258:16925:42493:6897:90306:1100:32511:7165:45860:1903466:45842:72423:43392:1902597:71171:35690:34724
2000112	regulation of cellular macromolecule biosynthetic process	"53 out of 258 genes, 20.5%"	"772 out of 6473 background genes, 11.9%"	0.04186	0.22%	CDC5:SWI4:C1_01860W_A:C1_02440C_A:SUA71:ELA1:HTA2:HAT1:PCL7:LYS143:HCM1:PDC2:SFU1:MSH6:RSC8:NDT80:REG1:SNF2:POB3:NCB2:TAF14:C2_04620W_A:AFT2:MCM3:PST2:C3_00380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:HTB1:MBP1:SFP1:AHR1:POL30:C4_04510W_A:TUB4:CBF1:BDF1:C5_02620C_A:C5_02900W_A:ZCF14:SDC1:RBF1:FGR17:DBF4:HHO1:C7_03840W_A:NRG1:REP1:SPT14:ASF1:TRM9	6261:6974:1410:5979:60258:6279:1900443:1903490:45944:1193:55:30447:51417:1932:6281:463:1902542:6333:1402:6325:2000767:42766:7039:33523:45899:1207:51666:8361:71285:31497:1903459:1900239:6334:44182:45793:71619:727:46827:33696:7155:70785:6511:6273:140434:1113:70481:42276:42148:16480:6351:1900464:6366:10696:30466:71168:90180:34599:8643:2000221:6267:6302:60303:31936:36177:10973:70783:31452:1902408:90054:51097:34613:6879:33314:1903353:51568:43982:1902394:433:51256:9372:1905779:2000220:6337:35066:35753:447:2000679:103:6348:1904789:1900231:42149:6303:480:9303:6979:70987:18105:45827:422:51321:1905339:10468:31670:60963:43486:1903022:70784:9058:7005:31031:43708:34614:83:51455:6506:31440:43624:122:45903:1403:43983:70816:6448:436:44419:6384:43044:30261:31124:2000219:472:6357:43618:6362:7064:36178:1900439:1900445:43709:6270:97316:16579:27:61408:32508:72715:42797:71280:7052:6338:71931:6468:43111:51445:1900051:71467:1990813:6336:6887:60903:34087:1900436:1903468:70914:35025:45892:1900189:16575:36244:36166:43161:2000134:6301:289:6368:6383:7059:16567:1900461:43981:10811:710:6355:2001172:1900237:32786:32258:6986:9267:44011:6298:30488:16573:79:6412:6896:45143:10458:1902425:2000185:42273:34728:36171:31564:6271:36170:61412:35973:45943:1900743:51123:30448:6413:31496:45893:45898:32968:44114:1903098:36086:31938:36267:70194:42791:34983:110083:6367:32048:462:71852:71216:45910:9301:6275:1900442:10971:71281:36297:1904750:712:1174:6289:35556:5981:6623:1903364:1900430:6272:34727:2001196:2001038:36180:32874:31122:1900429:31146:16973:71902:45835:7020:6335:1902975:278:36003:2098:43570:98781:61587:9086:51300:1900264:43433:90306:1100:7165:45860:1903466:45842:43392:35690:34724
48522	positive regulation of cellular process	"48 out of 258 genes, 18.6%"	"676 out of 6473 background genes, 10.4%"	0.04487	0.20%	CDC5:SWI4:C1_01860W_A:SPO22:LYS143:HCM1:PDC2:SFU1:ECM21:IRA2:NDT80:SNF2:POB3:NCB2:TAF14:C2_04620W_A:SPO7:AFT2:C2_08380C_A:HOS2:C3_02260C_A:C3_03100C_A:HTA3:NPR2:MBP1:SFP1:AHR1:C4_01300W_A:BEM1:POL30:TUB4:CBF1:C4_06810C_A:BDF1:COF1:C5_02900W_A:AIP5:RBF1:C6_03180C_A:CRN1:DBF4:HHO1:C7_03840W_A:REP1:HEM1:ASF1:ARP2:TRX1	2000601:51014:1900409:6261:30042:60258:6890:6279:1900443:1903490:45944:1193:55:71071:46580:30447:51417:1932:6281:463:1902542:1402:71846:70417:1901901:6325:2000767:42766:11:33523:45899:45185:1902117:7114:1207:51666:8361:71285:31497:1903459:76:33138:1900239:6334:44182:6662:45793:90173:71619:727:46827:33696:7155:1903833:6511:6273:140434:70481:42276:42148:16480:6366:10696:30466:90180:34599:8643:1904262:6302:1934:60303:34314:31936:747:36177:10973:31452:1902408:71072:90054:34613:70301:6879:33314:71963:1903353:15840:1902394:1990355:34316:51256:1905779:2000220:6337:2000769:35066:43547:35753:103:6348:6888:1904789:61709:1900231:42149:480:9303:6979:70987:18105:48280:422:51321:1905339:30150:10468:31670:60963:43486:1903022:1:7005:31031:43708:34614:83:1904530:51455:2000397:6998:31440:6470:122:1903740:45903:1403:6810:51654:70816:436:44419:7015:43044:30261:1902917:31124:2000219:472:6357:43618:7533:6362:7064:36178:1900439:45010:1900445:30036:51701:43709:6270:97316:27:61408:72715:45807:42797:45454:71280:7052:6338:71931:753:6468:30476:51445:1900051:7193:19379:71467:1990813:6336:6995:6887:60903:34087:1900436:1903468:70914:35025:1900189:36166:16575:36244:43161:44406:6301:2000134:42744:7154:289:6368:6383:7059:33235:1900461:1903475:6696:710:10811:15824:6355:6904:2001172:1900237:32786:32258:52032:9267:6298:44011:16573:6412:6896:45143:10458:1902425:2000185:42273:32233:34728:36171:1900233:31564:6271:36170:1902977:61412:35973:45943:1900743:51123:920:30448:6413:71248:31496:45893:45898:32968:42144:1903098:36086:31938:36267:70194:34983:110083:6367:32048:462:71852:71216:45910:9301:1900442:2000785:10971:71281:44396:7017:725:15893:32386:1904750:712:80058:31505:6289:35556:6623:1903364:1900430:6272:34727:2001196:6783:7095:2001038:36180:32874:31122:1900429:16973:70086:35543:71902:45835:43001:7020:6335:278:36003:98781:10508:9086:51300:1900264:42493:6897:90306:1100:7165:45860:1903466:45842:43392:1902597:35690:34724
