GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
9986	cell surface	"81 out of 1272 genes, 6.4%"	"200 out of 6473 background genes, 3.1%"	2.00E-09	0.00%	PHR2:XOG1:ECM33:SSA2:PGA26:RBT4:PHO100:TKL1:ENO1:PGA6:FGR41:CDC48:SAM2:CHS3:ACT1:SIM1:RPL4B:RBE1:SOD4:KAR2:DCW1:PLB4.5:MSB2:EFT2:GPM1:PGA17:PGA33:SSC1:YWP1:PGA55:DDR48:RPL3:MP65:IFF11:TOS1:UTR2:PGA18:KRE9:ALS6:TDH3:TPI1:ATP2:PGA53:BGL2:PGA59:PGA62:PGA54:DOT4:HWP2:RBT1:HWP1:PGA30:SAP10:EFB1:PGA49:PGA15:PDC11:PRA1:PGA14:CEF3:ECM331:PGA58:PGA56:SCW11:CHT2:PGA4:PGA25:PGK1:SUN41:ALS9:IHD1:CHS1:UGP1:SDH2:STE2:ALS3:SSB1:HSP104:PGA13:CHS2:CHT3	5628:9986:31965:42645:30864:46658:324:31966:30427:329:46809:5621:5886:35267:30894:15629:1990023:120106:5887:22625:35841:32153:1903561:36266:5737:5622:142:5840:936:45261:35840:5884:837:935:5743:9277:5933:5749:5754:15:5937:30428:22626:31314:43332:5853:45121:812:99020:32040:99021:839:5789:32432:31011:30134:144:16021:120105:5844:72380:120104:34099:5811:34098:5935:30445:45009:30446:62040:1405:131:1990112:5829:5758:1990819:5783:5739:48471:30479:30287:5788:5730:16020:5634:1411:9897:34399:10494:5576
5576	extracellular region	"74 out of 1272 genes, 5.8%"	"177 out of 6473 background genes, 2.7%"	2.77E-09	0.00%	PHR2:RPS42:HGT1:GSC1:GOR1:XOG1:ECM33:POR1:ACS2:RBT4:PHO100:ENO1:C1_08780W_A:LIP1:LIP10:FGR41:CHS3:SIM1:RBE1:SOD4:KAR2:PLB4.5:MSB2:C2_08160C_A:YWP1:APE3:IPP1:MP65:GCN1:IFF11:ARF3:TOS1:UTR2:MNT1:LAP41:SAP8:KRE9:YCK2:TDH3:EVP1:DAG7:MDH1-1:BGL2:SOD1:ECE1:RBT1:C4_04140W_A:SAP10:GDH3:PRA1:PET9:YNK1:GRE3:SCW11:CHT2:PGA4:SUN41:PLB1:SAP6:SAP5:C6_03150C_A:SAP4:ACB1:RPS18:CYP1:PRX1:CPY1:CR_01280C_A:RHO1:PRE6:ALS3:LPD1:AAT21:CHT3	5628:9986:19773:110085:31965:42645:32154:46658:324:51286:329:30427:5967:5759:5621:5886:5887:32153:35841:1903561:22627:9353:148:31307:5622:5737:34967:5840:936:5777:5797:35840:5635:71782:935:5743:5960:9277:15:5937:30428:34515:22626:31314:43332:31520:45121:42175:34270:99020:139:99021:1902716:30134:5934:144:16021:34099:5811:5935:30445:45009:30446:51285:62040:131:5829:328:5758:1990819:5783:5739:5794:5788:30287:5730:16020:32541:5634:1411:34399:5576:5741
30312	external encapsulating structure	"86 out of 1272 genes, 6.8%"	"219 out of 6473 background genes, 3.4%"	3.14E-09	0.00%	PHR2:TTR1:PMM1:XOG1:ECM33:SSA2:PFY1:OFR1:TKL1:TEF2:ENO1:PGA6:NIT3:SAM2:MCD4:RIB3:GND1:SIM1:RBE1:SOD4:EFT2:GPM1:UGA1:WH11:SSC1:YWP1:PST2:IPP1:DDR48:MP65:IFF11:TOS1:UTR2:KRE9:WSC1:ALS6:TDH3:C3_06920W_A:TPI1:MDH1-1:BGL2:PGA59:PGA62:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:SAP10:PDC11:PRA1:CDC11:PGA14:C5_01230C_A:CEF3:PTH1:ECM331:GRP2:YNK1:SCW11:CHT2:SAH1:CAR1:PGA4:RPS13:PGK1:SUN41:SAP6:SAP5:ALS9:HBR2:LEU2:CYP1:RBP1:UGP1:RPS3:SDH2:ALS3:SSB1:RPS20:ACO1:PGA13:CR_09240C_A:CHT3:XYL2	5628:9986:32160:5619:42645:46658:324:31966:5881:329:46809:5759:5621:5886:32153:35841:1903561:22627:5622:5737:34967:5940:31097:5840:936:5777:35840:935:5743:30688:9277:5749:15:5937:30428:19897:22626:31314:43332:1400:45121:72687:5789:30134:144:16021:5844:31105:5811:5935:5876:30445:30446:51285:62040:1405:5829:5758:1990819:5783:5739:399:5730:16020:5634:1411:32168:9897:10494:34399:5576
5618	cell wall	"64 out of 1272 genes, 5.0%"	"163 out of 6473 background genes, 2.5%"	1.68E-06	0.00%	PHR2:XOG1:ECM33:SSA2:TKL1:TEF2:ENO1:PGA6:SAM2:MCD4:SIM1:RBE1:SOD4:EFT2:GPM1:WH11:SSC1:YWP1:PST2:IPP1:DDR48:MP65:IFF11:TOS1:UTR2:KRE9:WSC1:ALS6:TDH3:TPI1:BGL2:PGA59:PGA62:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:SAP10:PDC11:PRA1:CDC11:PGA14:CEF3:PTH1:ECM331:SCW11:CHT2:PGA4:RPS13:PGK1:SUN41:ALS9:CYP1:UGP1:RPS3:SDH2:ALS3:SSB1:RPS20:PGA13:CHT3:XYL2	5628:9986:32160:5619:42645:46658:324:31966:5881:329:46809:5759:5621:5886:32153:35841:1903561:22627:5622:5737:34967:5940:5840:936:35840:935:5743:30688:9277:5749:15:5937:30428:22626:31314:1400:45121:72687:5789:30134:144:16021:5844:31105:5811:5935:5876:30445:30446:62040:1405:5829:5758:1990819:5783:5739:399:5730:16020:5634:1411:32168:9897:10494:34399:5576
9277	fungal-type cell wall	"64 out of 1272 genes, 5.0%"	"163 out of 6473 background genes, 2.5%"	1.68E-06	0.00%	PHR2:XOG1:ECM33:SSA2:TKL1:TEF2:ENO1:PGA6:SAM2:MCD4:SIM1:RBE1:SOD4:EFT2:GPM1:WH11:SSC1:YWP1:PST2:IPP1:DDR48:MP65:IFF11:TOS1:UTR2:KRE9:WSC1:ALS6:TDH3:TPI1:BGL2:PGA59:PGA62:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:SAP10:PDC11:PRA1:CDC11:PGA14:CEF3:PTH1:ECM331:SCW11:CHT2:PGA4:RPS13:PGK1:SUN41:ALS9:CYP1:UGP1:RPS3:SDH2:ALS3:SSB1:RPS20:PGA13:CHT3:XYL2	5628:9986:32160:5619:42645:46658:324:31966:5881:329:46809:5759:5621:5886:32153:35841:1903561:22627:5622:5737:34967:5940:5840:936:35840:935:5743:30688:9277:5749:15:5937:30428:22626:31314:1400:45121:72687:5789:30134:144:16021:5844:31105:5811:5935:5876:30445:30446:62040:1405:5829:5758:1990819:5783:5739:399:5730:16020:5634:1411:32168:9897:10494:34399:5576
30446	hyphal cell wall	"35 out of 1272 genes, 2.8%"	"69 out of 6473 background genes, 1.1%"	2.83E-06	0.00%	PHR2:ECM33:SSA2:TEF2:ENO1:SAM2:SOD4:GPM1:WH11:YWP1:PST2:IPP1:DDR48:MP65:TOS1:UTR2:TDH3:TPI1:PGA62:DOT4:ECE1:HWP2:RBT1:HWP1:PGA30:PDC11:PRA1:PTH1:PGA4:RPS13:PGK1:RPS3:ALS3:RPS20:XYL2	5628:9986:46658:324:329:46809:5759:5621:5886:32153:35841:1903561:22627:5622:5737:936:35840:30688:9277:15:5937:30428:31314:45121:30134:144:5844:5811:30445:30446:62040:5829:5758:5739:5730:16020:5634:1411:9897:10494:34399:5576
71944	cell periphery	"206 out of 1272 genes, 16.2%"	"762 out of 6473 background genes, 11.8%"	3.73E-05	0.00%	KEL1:PHR2:TTR1:C1_01010W_A:C1_01750W_A:HGT1:HGT2:GSC1:PMM1:TOM20:MNN43:XOG1:ECM33:C1_03940W_A:POR1:SSA2:ERG3:C1_07590C_A:PFY1:OFR1:MLT1:OPY2:TKL1:TEF2:ENO1:ERG1:PGA6:C1_09210C_A:PET100:SAC1:SFH5:C1_10540C_A:NIT3:C1_10710C_A:CDC48:GIN4:SAM2:PHO84:LCB4:MCD4:RIB3:SPA2:BNI1:SEC2:ACT1:MYO2:GND1:SIM1:RBE1:MDG1:DDI1:POM152:ATP18:SOD4:KAR2:DCW1:MSB2:SRD1:C2_02410W_A:ZRT2:EFT2:GPM1:DCK1:SSY1:UGA1:WH11:PMT4:RTA3:SMF12:SSC1:C2_07640W_A:APM4:C2_08160C_A:YWP1:PST2:IPP1:C2_08860W_A:DDR48:C2_10010C_A:MP65:KIP2:BNA4:IFF11:ALI1:TOS1:UTR2:MNT1:ERG6:PAM17:PHB1:KRE9:WSC1:HGT4:HGT5:TEA1:YCK2:ALS6:ERV25:TDH3:C3_06920W_A:TPI1:EVP1:C3_07670W_A:ECM7:ATP2:MEP2:PGA53:MDH1-1:BGL2:PGA59:PGA62:DOT4:ECE1:HWP2:RBT1:HWP1:OSH3:PGA30:AXL2:SAP10:VPH1:CBR1:SEC3:PDC11:C4_06740C_A:PRA1:CDC11:PGA14:PET9:C5_01230C_A:CFL5:CEF3:CDC24:PTH1:ECM331:HSL1:GRP2:YNK1:C5_03370C_A:C5_04050W_A:SCW11:CHT2:SAH1:SFC1:CAR1:C5_04950C_A:PGA4:GNP1:RPS13:CDC14:COX15:PGK1:SUN41:EXO84:QDR3:C6_01520W_A:PMP1:PTK2:SLM2:SAP6:SAP5:ALS9:SNQ2:RVS167:HBR2:RVS161:C7_00270W_A:DFI1:LEU2:C7_00670C_A:KCH1:FMP45:CYP1:RBP1:ERG5:PMT1:CYR1:CR_01180W_A:ATP3:RHO1:VHT1:CR_03520C_A:SRV2:QDR1:CDC10:UGP1:RPS3:SDH2:YCP4:CR_06090W_A:STE2:ALS3:STT4:CR_07190W_A:RGD3:HGT14:SSB1:RPS20:ACO1:PGA13:CHS2:SSU1:CR_09240C_A:CR_09520C_A:CHT3:XYL2	5753:5628:276:9986:942:44853:42645:30122:30864:46658:31966:30133:51286:5881:30427:329:5816:5759:5621:71563:30894:1990023:120106:220:5887:32153:35841:9898:22627:31560:148:36266:5940:5840:42764:5797:36391:45261:97586:31562:5635:31931:935:30688:31982:15:43332:1400:31520:72687:30176:812:110115:139:5789:1902716:32432:31011:30134:5875:120105:31105:34098:5935:776:145:30445:62040:70850:5768:131:1990112:48471:5794:5938:71944:71341:1990498:32152:31305:70319:16020:5634:32168:9897:10494:5576:5741:1903754:97583:778:99070:32160:5654:110085:31965:5619:32154:324:8290:31234:1990528:16459:46809:16460:5886:5756:35267:1904511:15629:19898:35838:97582:44732:1903561:5641:31307:5737:5622:34967:31941:31097:142:936:5777:51233:1990615:30173:35840:31561:5884:31932:31521:837:133:10008:71782:5743:9277:5933:5749:5754:5740:97575:5937:19897:30428:22626:31314:90726:45121:70762:99020:839:99021:32175:144:5934:16021:5844:72686:120104:34099:5811:5742:5876:45009:30446:51285:1405:5829:71561:5758:1990819:5739:5783:120171:30479:33101:399:32151:5788:35339:32169:5643:5730:32541:1411:12505:30869:35974:34399:34993
31012	extracellular matrix	"34 out of 1272 genes, 2.7%"	"74 out of 6473 background genes, 1.1%"	0.0001	0.00%	TTR1:PMM1:SSA2:PFY1:OFR1:TKL1:ENO1:NIT3:RIB3:GND1:GPM1:UGA1:SSC1:IPP1:TDH3:C3_06920W_A:TPI1:MDH1-1:PDC11:C5_01230C_A:GRP2:YNK1:SAH1:CAR1:PGK1:SAP6:SAP5:HBR2:LEU2:CYP1:RBP1:RPS3:ACO1:CR_09240C_A	9986:42645:329:5759:22627:30688:15:43332:30445:62040:16020:5634:9897:10494:5576:324:46809:5886:1903561:5622:5737:34967:31097:5777:5743:9277:19897:5844:5811:30446:51285:1405:5829:5758:5739
62039	biofilm matrix	"34 out of 1272 genes, 2.7%"	"74 out of 6473 background genes, 1.1%"	0.0001	0.00%	TTR1:PMM1:SSA2:PFY1:OFR1:TKL1:ENO1:NIT3:RIB3:GND1:GPM1:UGA1:SSC1:IPP1:TDH3:C3_06920W_A:TPI1:MDH1-1:PDC11:C5_01230C_A:GRP2:YNK1:SAH1:CAR1:PGK1:SAP6:SAP5:HBR2:LEU2:CYP1:RBP1:RPS3:ACO1:CR_09240C_A	9986:42645:329:5759:22627:30688:15:43332:30445:62040:16020:5634:9897:10494:5576:324:46809:5886:1903561:5622:5737:34967:31097:5777:5743:9277:19897:5844:5811:30446:51285:1405:5829:5758:5739
62040	fungal biofilm matrix	"34 out of 1272 genes, 2.7%"	"74 out of 6473 background genes, 1.1%"	0.0001	0.00%	TTR1:PMM1:SSA2:PFY1:OFR1:TKL1:ENO1:NIT3:RIB3:GND1:GPM1:UGA1:SSC1:IPP1:TDH3:C3_06920W_A:TPI1:MDH1-1:PDC11:C5_01230C_A:GRP2:YNK1:SAH1:CAR1:PGK1:SAP6:SAP5:HBR2:LEU2:CYP1:RBP1:RPS3:ACO1:CR_09240C_A	9986:42645:329:5759:22627:30688:15:43332:30445:62040:16020:5634:9897:10494:5576:324:46809:5886:1903561:5622:5737:34967:31097:5777:5743:9277:19897:5844:5811:30446:51285:1405:5829:5758:5739
