GOID	GO_term	Cluster frequency	Background frequency	Corrected P-value	False discovery rate	Gene(s) annotated to the term	Directly Annotated GOID List
12505	endomembrane system	"71 out of 440 genes, 16.1%"	"628 out of 6473 background genes, 9.7%"	0.00229	0.00%	ROT1:GEM1:VPS17:CWH8:C1_02760W_A:VPS16:SEC21:SEC34:C1_07440W_A:CDC42:C1_08730W_A:KEX2:LKH1:SFT2:WBP1:IRA2:AKR1:C1_13840W_A:POM152:SLA1:FAB1:C2_02870W_A:SPO7:VPS33:PMT4:APM4:C2_08170W_A:RNA1:C3_02080W_A:C3_03060W_A:C3_04260W_A:HST6:NUP159:AGP2:C4_02400C_A:C4_03110W_A:VPS11:PRI2:C5_00040C_A:ERV46:VPS1:VPS22:PIKA:OBPA:C5_01920C_A:C5_02050W_A:C5_02110W_A:VPS4:C5_03140C_A:MID1:C5_04640C_A:APM1:CHC1:C6_02930W_A:C6_03180C_A:CDC50:SNF4:KEX1:MDM12:LIG1:TEP1:C7_02860C_A:CHS6:ACC1:VTC3:SEC63:VPS21:CR_08470W_A:CR_08650C_A:CSM1:CR_10800C_A	8250:5628:9986:70772:5654:110085:5658:31965:30122:32154:324:1990816:70867:51286:16604:30427:329:42765:5816:5886:1990964:5825:5887:32153:9898:1903561:30121:1990072:5641:815:71521:30126:5737:5940:5777:30897:30173:33254:97586:31562:71595:5635:31521:837:30132:10008:70971:12507:30140:31588:30130:138:32865:97575:5801:5802:30428:1990530:33620:43332:31902:30127:90726:70762:43529:33106:30176:5789:1902716:139:5769:97658:814:30904:33551:30134:44614:5934:16021:42406:5771:5770:5811:5935:5639:30445:30446:62040:51285:1990070:131:5768:5829:328:31207:5739:5783:5794:30905:5938:44613:70382:30479:1990071:61957:5788:33263:5643:5730:5637:17119:16020:32541:5634:1411:140224:12505:34044:34399:781:5741
31410	cytoplasmic vesicle	"30 out of 440 genes, 6.8%"	"191 out of 6473 background genes, 3.0%"	0.00349	0.00%	VPS17:VPS16:SEC21:CDC42:LKH1:C1_13840W_A:FAB1:C2_02870W_A:VPS33:APM4:GYP5:C3_02080W_A:C3_03060W_A:ATG9:C4_03110W_A:VPS11:ERV46:VPS1:VPS22:C5_02050W_A:C5_02110W_A:VPS4:C5_03140C_A:APM1:CHC1:C6_03180C_A:CDC50:TEP1:CHS6:VPS21	5628:70772:5654:110085:31965:30122:407:32154:324:70867:51286:16604:30427:329:5886:32153:9898:1903561:30121:1990072:815:71521:30126:5737:5940:5777:30897:30173:31562:31521:30132:10008:70971:12507:30140:30130:5801:97575:5798:5802:30428:1990530:33620:43332:31902:30127:90726:30176:33106:1902716:5769:814:30904:30134:30659:5934:16021:5771:5770:5935:30445:30446:62040:51285:1990070:131:5768:5829:328:5739:5794:30905:5938:30479:70382:1990071:61957:33263:16020:5634:1411:12505:34044:61908
97708	intracellular vesicle	"30 out of 440 genes, 6.8%"	"191 out of 6473 background genes, 3.0%"	0.00349	0.00%	VPS17:VPS16:SEC21:CDC42:LKH1:C1_13840W_A:FAB1:C2_02870W_A:VPS33:APM4:GYP5:C3_02080W_A:C3_03060W_A:ATG9:C4_03110W_A:VPS11:ERV46:VPS1:VPS22:C5_02050W_A:C5_02110W_A:VPS4:C5_03140C_A:APM1:CHC1:C6_03180C_A:CDC50:TEP1:CHS6:VPS21	5628:70772:5654:110085:31965:30122:407:32154:324:70867:51286:16604:30427:329:5886:32153:9898:1903561:30121:1990072:815:71521:30126:5737:5940:5777:30897:30173:31562:31521:30132:10008:70971:12507:30140:30130:5801:97575:5798:5802:30428:1990530:33620:43332:31902:30127:90726:30176:33106:1902716:5769:814:30904:30134:30659:5934:16021:5771:5770:5935:30445:30446:62040:51285:1990070:131:5768:5829:328:5739:5794:30905:5938:30479:70382:1990071:61957:33263:16020:5634:1411:12505:34044:61908
5634	nucleus	"131 out of 440 genes, 29.8%"	"1410 out of 6473 background genes, 21.8%"	0.0092	0.00%	SET1:SWI4:RAD16:ORC1:C1_03360W_A:C1_03460C_A:C1_04120C_A:RPN13:ACS2:CHL4:C1_05360C_A:SPT20:C1_05930C_A:SPO22:CCS1:C1_07360W_A:C1_08110W_A:NTG1:MED15:DIP2:CDC42:C1_08700W_A:HST1:ARG81:CEF1:WBP1:IRR1:POM152:ZCF9:C2_01530C_A:SLA1:LIG4:C2_04870C_A:C2_04990W_A:RPC40:C2_06230W_A:C2_07110C_A:SWR1:BLM3:C2_08380C_A:RDH54:ULP3:C3_00380C_A:C3_00530C_A:C3_00660W_A:C3_00940W_A:BMS1:UTP20:SCM3:C3_01800C_A:RNA1:C3_02350W_A:C3_03260W_A:HBR3:MBP1:MAK21:AHR1:ECM29:TCC1:C3_07630C_A:NUP159:MLH1:C4_00800W_A:MDN1:C4_02400C_A:C4_02600C_A:C4_02820W_A:TYS1:C4_03740W_A:C4_05340W_A:PRI2:TOP2:C4_07060W_A:C4_07100C_A:C4_07220C_A:C5_00060C_A:HAP5:VPS22:PIKA:C5_01930W_A:HSP12:C5_02110W_A:RIX7:CKB2:FGR27:RFC3:C5_04640C_A:SSD1:ASH2:CDC14:C6_02690C_A:LYS14:C6_02930W_A:SNF4:SPB1:TSM1:HXK1:SMC6:LIG1:C7_02110W_A:POL3:C7_02860C_A:SPT6:CR_00060C_A:MMS22:BUD22:PWP2:CR_01410C_A:SRP40:SMC5:PRP42:SEC63:CR_04170W_A:CR_05100W_A:NOC2:CWT1:CR_05580C_A:DBP8:CR_05910W_A:PPZ1:CR_06840W_A:CR_06970C_A:DCP2:CR_08650C_A:CR_09800C_A:UGA3:SPT7:CR_10410C_A:CR_10470C_A:MCD1:CSM1	5666:8250:5669:5956:118:942:445:97047:51286:16604:785:5881:329:30427:5816:43625:1990964:775:71006:1990023:31261:32153:98562:9898:5664:109:1990526:779:31463:46695:5940:31562:31511:932:19005:8541:5635:32133:31389:30688:34515:33620:43332:30176:795:812:5789:1902716:794:814:5827:32807:5663:30874:42406:35327:30687:120105:8023:228:62128:36436:5935:61672:776:5639:30445:178:5686:124:5768:131:446:502:31207:974:5682:5938:44613:70382:34456:34388:5685:5656:5680:48189:5819:5637:16020:5634:176:32116:10494:5576:31391:34506:778:33186:110085:5654:31965:5658:32154:324:5886:5825:30691:44732:1903561:30686:5641:71004:113:71521:5737:32221:34967:5847:5736:51233:31521:837:31499:5743:31588:5729:5933:32545:31934:97575:19897:5802:30428:30915:90726:70762:48188:43596:16602:32040:97658:33551:5934:44614:16021:98745:31390:72686:46540:35861:34990:177:30446:51285:32389:5829:33309:5739:5783:30907:30479:97587:32390:5657:5643:5730:70274:1411:140224:12505:30869:34399:30690:70847:781
43227	membrane-bounded organelle	"222 out of 440 genes, 50.5%"	"2700 out of 6473 background genes, 41.7%"	0.02416	0.00%	PSD1:ROT1:GEM1:SET1:C1_01290C_A:VPS17:SWI4:CWH8:C1_02760W_A:RAD16:ORC1:C1_03360W_A:C1_03460C_A:C1_04120C_A:RPN13:ACS2:VPS16:CHL4:SEC21:C1_05360C_A:SPT20:C1_05930C_A:C1_05980W_A:SPO22:CCS1:SEC34:C1_07360W_A:C1_07440W_A:C1_08110W_A:NTG1:PLB5:MED15:DIP2:CDC42:C1_08700W_A:C1_08730W_A:KEX2:HST1:ARG81:CEF1:URA1:VPS41:LKH1:SFT2:C1_11010C_A:WBP1:IRA2:C1_13010W_A:AKR1:C1_13840W_A:IRR1:SOD6:POM152:ZCF9:C2_01530C_A:SLA1:FAB1:C2_02490C_A:C2_02870W_A:BNA31:LIG4:HSP78:C2_04330C_A:C2_04380C_A:C2_04870C_A:C2_04990W_A:RPC40:VPS33:C2_05980C_A:PMT4:C2_06200C_A:C2_06230W_A:C2_07110C_A:SWR1:APM4:BLM3:C2_08170W_A:C2_08380C_A:GYP5:RDH54:ULP3:C3_00380C_A:C3_00530C_A:C3_00660W_A:C3_00940W_A:BMS1:UTP20:SCM3:C3_01800C_A:RNA1:C3_02080W_A:C3_02350W_A:C3_03060W_A:C3_03260W_A:NPR2:C3_03590W_A:HBR3:MBP1:C3_04260W_A:MAK21:NCE102:ATG9:AHR1:REV3:HST6:ECM29:TCC1:C3_07630C_A:NUP159:MNR2:MLH1:C4_00800W_A:C4_00820W_A:MDN1:AGP2:C4_02400C_A:C4_02600C_A:C4_02820W_A:TYS1:C4_03110W_A:C4_03740W_A:C4_05340W_A:VPS11:PRI2:TOP2:C4_07060W_A:C4_07100C_A:C4_07220C_A:C5_00040C_A:C5_00060C_A:ERV46:HAP5:VPS1:VPS22:MAS2:PIKA:OBPA:C5_01920C_A:C5_01930W_A:C5_02050W_A:HSP12:C5_02110W_A:RIX7:CKB2:VPS4:C5_03140C_A:FGR27:MID1:RFC3:C5_04640C_A:SSD1:ASH2:APM1:FET34:CDC14:C6_01550C_A:ATG15:CHC1:C6_02410W_A:C6_02690C_A:LYS14:C6_02930W_A:C6_03180C_A:CDC50:SNF4:SPB1:ATM1:TSM1:HXK1:C7_00300W_A:PEL1:KEX1:MDM12:SMC6:C7_01960W_A:LIG1:C7_02110W_A:ECM42:TEP1:POL3:C7_02860C_A:CHS6:SPT6:CR_00060C_A:MMS22:ACC1:BUD22:PWP2:CR_01130W_A:CR_01410C_A:NUE1:SRP40:SMC5:VTC3:PRP42:SEC63:CR_04170W_A:CR_05100W_A:NOC2:CWT1:CR_05580C_A:DBP8:CR_05910W_A:PPZ1:CR_06840W_A:CR_06970C_A:MIS11:PTC6:VPS21:DCP2:CR_08470W_A:CR_08650C_A:PDK2:CR_09140C_A:CR_09800C_A:UGA3:SPT7:CR_10410C_A:CR_10470C_A:MCD1:CSM1:CR_10800C_A	5666:8250:5628:5669:5956:9986:118:942:30122:407:445:31966:97047:70867:16035:51286:16604:785:5881:30427:329:5816:43625:5759:1990964:775:71006:1990023:31261:97042:5887:32153:98562:9898:5664:109:1990526:779:30121:1990072:31463:30126:46695:5940:33254:97586:31562:31511:932:19005:8541:5635:32133:70971:31389:30140:30688:138:32865:5801:34515:33620:43332:43529:30176:33573:795:812:139:1902716:5789:794:814:5827:30134:35859:32807:5663:30874:42406:35327:30687:120105:8023:228:62128:36436:5935:61672:776:5639:30445:178:5686:62040:124:131:5768:446:502:31207:5794:974:30905:5682:5938:44613:70382:34456:34388:5685:1990071:61957:5656:5680:32126:48189:5819:31305:5637:16020:5634:176:32116:10494:5576:31391:34506:5741:778:33186:70772:5654:110085:5658:31965:32154:324:1990816:42765:5886:5825:19898:35838:1990130:30691:44732:1903561:30686:71004:5641:815:71521:113:5737:32221:5847:34967:5780:30897:5777:5736:51233:30173:31521:837:30132:10008:5743:31499:12507:31588:5729:9277:30130:5933:32545:31934:97575:5798:19897:5802:30428:30915:1990530:31314:31902:17087:30127:90726:45121:70762:43596:48188:16602:33106:32040:5769:97658:30904:33551:30659:44614:5934:16021:70250:98745:5771:5770:31390:72686:46540:5811:35861:177:34990:30446:32389:51285:1990070:5829:5758:328:5760:33309:5783:5739:31304:30907:30479:5779:97587:33101:32390:5788:33263:5657:5643:17119:5730:32541:70274:5775:140224:1411:12505:30869:34044:34399:30690:61908:781:70847
43226	organelle	"243 out of 440 genes, 55.2%"	"3010 out of 6473 background genes, 46.5%"	0.02747	0.00%	GCN20:PSD1:ROT1:GEM1:SET1:C1_01290C_A:VPS17:SIZ1:SWI4:CWH8:C1_02760W_A:RAD16:ORC1:C1_03360W_A:C1_03460C_A:C1_04120C_A:CDC3:RPN13:ACS2:VPS16:CHL4:SEC21:C1_05360C_A:SPT20:C1_05930C_A:C1_05980W_A:SPO22:SUI2:CCS1:SEC34:C1_07360W_A:C1_07440W_A:FUN12:C1_08110W_A:NTG1:PLB5:MED15:DIP2:CDC42:C1_08700W_A:C1_08730W_A:KEX2:HST1:ARG81:CEF1:URA1:VPS41:C1_10090C_A:LKH1:SFT2:C1_11010C_A:WBP1:IRA2:C1_13010W_A:AKR1:C1_13840W_A:IRR1:SOD6:POM152:ZCF9:C2_01530C_A:SLA1:FAB1:C2_02490C_A:C2_02870W_A:BNA31:LIG4:HSP78:C2_04330C_A:C2_04380C_A:C2_04870C_A:C2_04990W_A:RPC40:RFC1:VPS33:C2_05980C_A:PMT4:C2_06200C_A:C2_06230W_A:C2_07110C_A:C2_07440C_A:SWR1:APM4:BLM3:C2_08170W_A:C2_08380C_A:RPL3:GYP5:RDH54:C3_00160C_A:ULP3:C3_00380C_A:C3_00530C_A:C3_00660W_A:C3_00940W_A:BMS1:UTP20:SCM3:C3_01800C_A:RNA1:C3_02080W_A:C3_02350W_A:C3_03060W_A:C3_03260W_A:NPR2:C3_03590W_A:HBR3:MBP1:C3_04260W_A:MAK21:NCE102:ATG9:DYN1:AHR1:REV3:HST6:C3_07110W_A:ECM29:TCC1:C3_07630C_A:NUP159:MNR2:MLH1:C4_00800W_A:C4_00820W_A:MDN1:AGP2:C4_01730C_A:RGA2:C4_02400C_A:C4_02600C_A:C4_02820W_A:TYS1:C4_03110W_A:C4_03740W_A:C4_05340W_A:VPS11:VPS13:PRI2:TOP2:C4_07060W_A:C4_07100C_A:C4_07220C_A:C5_00040C_A:C5_00060C_A:ERV46:HAP5:VPS1:VPS22:MAS2:PIKA:OBPA:C5_01920C_A:C5_01930W_A:C5_02050W_A:HSP12:C5_02110W_A:RIX7:CKB2:HSL1:VPS4:C5_03140C_A:FGR27:MID1:RFC3:C5_04640C_A:SSD1:ASH2:APM1:FET34:CDC14:C6_01550C_A:ATG15:CHC1:C6_02410W_A:C6_02690C_A:SAC6:LYS14:C6_02930W_A:C6_03180C_A:CDC50:SNF4:SPB1:ATM1:TSM1:HXK1:C7_00300W_A:C7_00410C_A:PEL1:KEX1:MDM12:SMC6:C7_01960W_A:LIG1:C7_02110W_A:ECM42:TEP1:POL3:C7_02860C_A:CHS6:SPT6:CR_00060C_A:MMS22:ACC1:BUD22:PWP2:CR_01130W_A:CR_01410C_A:NUE1:CR_02910W_A:SRP40:SMC5:VTC3:PRP42:SEC63:CR_04170W_A:CR_05100W_A:NOC2:CWT1:CR_05580C_A:DBP8:CR_05910W_A:PPZ1:KIP1:CR_06840W_A:CR_06970C_A:MIS11:PTC6:VPS21:DCP2:CR_08470W_A:CR_08650C_A:PDK2:CR_09140C_A:CR_09800C_A:UGA3:SPT7:CR_10190C_A:CR_10410C_A:CR_10470C_A:MCD1:CSM1:CR_10800C_A	5666:8250:99079:5669:9986:118:30122:97047:16035:51286:5881:5759:1990023:120106:5887:32153:98562:30121:22627:46695:33254:97586:110131:31562:8541:31389:30140:32177:32865:44232:34515:33620:795:812:139:1902716:5789:794:5827:35859:32807:5663:30874:42406:5875:35327:120105:8023:36436:61672:776:178:62040:124:131:5768:502:1990316:5794:5938:44613:34456:34388:5685:61957:1990498:5680:31305:5637:10494:31391:5741:778:70772:32160:110085:5658:31965:324:42765:5825:35838:1990130:30691:44732:1903561:30686:71004:5641:71521:113:5737:32221:5847:34967:5780:5736:51233:5868:31521:30132:10008:12507:5729:32545:31934:97575:30428:22626:5850:17087:30127:45121:43596:16602:120095:5769:97658:44614:5934:144:70250:98745:31390:120104:177:34990:30446:32389:51285:1990070:5829:71561:328:33309:5783:31304:30479:5779:97587:33101:32390:235:5788:17119:5730:32541:5775:140224:30869:61908:70847:5628:5956:942:407:445:31966:70867:785:16604:329:30427:5816:43625:1990964:31261:71006:775:97042:22625:5664:9898:109:779:1990526:1990072:31463:30126:5940:36391:31511:19005:932:5869:5635:32133:70971:30688:138:5801:43332:1400:43529:30176:33573:32432:814:30134:30687:228:31105:62128:5935:30445:5639:5686:446:31207:974:30905:5682:43614:70382:5656:1990071:32126:48189:5819:16020:5634:176:32116:32168:5576:34506:33186:5654:5619:32154:1990816:5886:19898:815:5622:31097:142:5777:30897:30173:61499:837:31499:5743:31588:9277:5933:30130:5798:19897:5802:30915:31314:1990530:31902:90726:70762:48188:33106:33290:32040:30904:33551:30659:16021:5771:5770:72686:46540:5811:35861:5876:5758:5760:5739:30907:32151:33263:5657:5643:70274:1411:12505:34044:34399:30690:30286:781
31982	vesicle	"34 out of 440 genes, 7.7%"	"257 out of 6473 background genes, 4.0%"	0.036	0.00%	VPS17:VPS16:SEC21:PLB5:CDC42:LKH1:C1_13840W_A:SOD6:FAB1:C2_02870W_A:VPS33:APM4:GYP5:C3_02080W_A:C3_03060W_A:NCE102:ATG9:C4_03110W_A:VPS11:ERV46:VPS1:VPS22:C5_02050W_A:C5_02110W_A:VPS4:C5_03140C_A:APM1:FET34:CHC1:C6_03180C_A:CDC50:TEP1:CHS6:VPS21	9986:30122:51286:32153:30121:31562:30140:33620:1902716:62040:131:5768:5794:5938:61957:70772:110085:31965:324:35838:1903561:71521:5737:31521:30132:10008:12507:97575:30428:30127:45121:5769:5934:70250:30446:51285:1990070:5829:328:30479:33101:61908:5628:407:70867:16604:30427:329:9898:1990072:30126:5940:70971:5801:43332:30176:33573:814:30134:5935:30445:30905:70382:1990071:32126:16020:5634:5654:32154:5886:815:5777:30897:30173:9277:30130:5798:5802:1990530:31902:90726:33106:30904:30659:16021:5771:5770:5739:33263:1411:12505:34044
5768	endosome	"20 out of 440 genes, 4.5%"	"123 out of 6473 background genes, 1.9%"	0.06349	0.25%	VPS17:VPS16:SEC21:LKH1:C1_13840W_A:FAB1:C2_02870W_A:VPS33:C3_03060W_A:VPS11:VPS1:VPS22:C5_02050W_A:C5_02110W_A:VPS4:APM1:C6_03180C_A:CDC50:TEP1:VPS21	32153:30121:33620:62040:5768:5794:61957:70772:324:5737:10008:5769:30446:1990070:5829:328:30479:5628:16604:329:1990072:30126:5801:814:30445:30905:1990071:16020:5634:5654:5886:815:5777:30897:5802:1990530:31902:33106:30904:5771:5770:33263
30897	HOPS complex	"4 out of 440 genes, 0.9%"	"6 out of 6473 background genes, 0.1%"	0.08689	1.11%	VPS16:VPS41:VPS33:VPS11	324:5737:5829:329:30897:33263
99023	vesicle tethering complex	"10 out of 440 genes, 2.3%"	"41 out of 6473 background genes, 0.6%"	0.09647	1.20%	VPS16:SEC34:C1_08730W_A:VPS41:C2_02870W_A:VPS33:C3_03060W_A:VPS11:SEC3:SEC10	51286:32153:145:131:324:5737:5934:1990070:5829:17119:329:1990072:5801:43332:5935:1990071:16020:30897:33106:33263:1411
