# SignalP-5.0	Organism: Eukarya	Timestamp: 20210412190349
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
C3_03580C_A	OTHER	0.000389	0.999611	
C2_05660W_A	OTHER	0.001171	0.998829	
C7_02860C_A	OTHER	0.002310	0.997690	
C3_05180W_A	OTHER	0.000915	0.999085	
C7_04210C_A	OTHER	0.001288	0.998712	
C3_03780W_A	OTHER	0.003298	0.996702	
C5_03540C_A	OTHER	0.000872	0.999128	
C1_11000C_A	OTHER	0.000135	0.999865	
C6_02620C_A	OTHER	0.003521	0.996479	
C6_01680C_A	SP(Sec/SPI)	0.978011	0.021989	CS pos: 15-16. VIS-TN. Pr: 0.6043
C3_07440W_A	OTHER	0.000818	0.999182	
C5_00570W_A	OTHER	0.000934	0.999066	
C7_03470W_A	OTHER	0.001348	0.998652	
CR_04450C_A	OTHER	0.001160	0.998840	
C5_02590C_A	OTHER	0.000275	0.999725	
C3_06560W_A	OTHER	0.000478	0.999522	
C7_03770C_A	OTHER	0.008613	0.991387	
CR_10410C_A	OTHER	0.000810	0.999190	
C6_03170C_A	OTHER	0.003054	0.996946	
C6_03630W_A	OTHER	0.001028	0.998972	
C4_00810C_A	OTHER	0.000934	0.999066	
C7_01960W_A	OTHER	0.000308	0.999692	
C5_00750C_A	OTHER	0.003208	0.996792	
C1_09850C_A	OTHER	0.000493	0.999507	
C2_08600W_A	OTHER	0.000676	0.999324	
C1_02200C_A	OTHER	0.000501	0.999499	
C1_07240W_A	OTHER	0.000235	0.999765	
C6_00540W_A	OTHER	0.000345	0.999655	
C1_00530C_A	OTHER	0.000353	0.999647	
C1_10500W_A	OTHER	0.001548	0.998452	
C3_01400W_A	OTHER	0.000230	0.999770	
C5_01490C_A	OTHER	0.000642	0.999358	
C4_03410W_A	OTHER	0.000291	0.999709	
C1_02150W_A	OTHER	0.001193	0.998807	
CR_01960C_A	OTHER	0.002715	0.997285	
C2_00490W_A	OTHER	0.004632	0.995368	
CR_10470C_A	OTHER	0.001914	0.998086	
C2_08790W_A	SP(Sec/SPI)	0.958766	0.041234	CS pos: 20-21. TSC-LT. Pr: 0.6021
C1_10330C_A	OTHER	0.000856	0.999144	
C1_08320W_A	OTHER	0.002757	0.997243	
C6_01370W_A	OTHER	0.000664	0.999336	
C6_01290C_A	OTHER	0.001345	0.998655	
C3_01800C_A	OTHER	0.000555	0.999445	
C1_10880W_A	OTHER	0.000142	0.999858	
C4_06540W_A	OTHER	0.006048	0.993952	
CR_02670C_A	OTHER	0.000470	0.999530	
C7_03120W_A	OTHER	0.008324	0.991676	
C7_02320W_A	OTHER	0.000220	0.999780	
C7_02760W_A	OTHER	0.000408	0.999592	
C7_03780C_A	OTHER	0.002693	0.997307	
C3_06260C_A	OTHER	0.000617	0.999383	
C1_14340C_A	OTHER	0.001600	0.998400	
C2_00260C_A	OTHER	0.000547	0.999453	
C1_08870C_A	OTHER	0.000586	0.999414	
C6_02240C_A	OTHER	0.000585	0.999415	
C1_12080W_A	OTHER	0.000601	0.999399	
C4_04120C_A	OTHER	0.003784	0.996216	
C6_01280W_A	OTHER	0.001770	0.998230	
C2_10250C_A	OTHER	0.000671	0.999329	
CR_01070W_A	OTHER	0.000264	0.999736	
C2_02860W_A	OTHER	0.000266	0.999734	
C7_01770W_A	OTHER	0.045520	0.954480	
C4_04160W_A	OTHER	0.000680	0.999320	
C7_03330C_A	OTHER	0.001470	0.998530	
C6_02780C_A	OTHER	0.002176	0.997824	
C6_00150W_A	OTHER	0.000463	0.999537	
C3_05400C_A	OTHER	0.002004	0.997996	
CR_04750W_A	OTHER	0.000168	0.999832	
C2_02590W_A	OTHER	0.000701	0.999299	
C1_14350W_A	OTHER	0.000327	0.999673	
C1_01600W_A	OTHER	0.002068	0.997932	
C1_09870W_A	OTHER	0.000565	0.999435	
C3_05460W_A	OTHER	0.000823	0.999177	
C2_03310C_A	OTHER	0.000760	0.999240	
CR_00010C_A	OTHER	0.000636	0.999364	
C1_13810W_A	OTHER	0.000999	0.999001	
C4_06000W_A	OTHER	0.009505	0.990495	
C5_00240W_A	OTHER	0.000373	0.999627	
